"Code","Station Name","Latitude UTM (m)","Longitude UTM (m)","Elevation (masl)","Annual Rainfall (mm)","Hurst Exponent"
19002,"AGUA BLANCA",346981.33,2826081.89,2193,732.761904761905,0.394698066549142
19003,"ALLENDE",397278.18,2796742.85,454,1065.56666666667,0.568406319520281
5151,"ALTO DE NORIAS",274856.65,2875066.59,920,237.633333333333,0.667164842135566
19024,"ANAHUAC",387982.39,3013339.54,194,485.209523809524,0.461220925752506
19005,"ARAMBERRI II",416830.96,2665878.86,1080,466.761904761905,0.506784183770061
19112,"BENITEZ",452354.91,2734641.4,300,770.633333333333,0.411618237631651
19007,"CABEZONES",425123.86,2764168.32,460,887.823809523809,0.516652080642558
19035,"CAMACHO",441523.44,2750892.71,300,860.809523809524,0.556489845620379
19032,"CARBONERA",319412.62,2745091.32,2035,407.923809523809,0.703633488752194
19009,"CASILLAS",377668.38,2787245.76,1279,558.352380952381,0.472883382534714
19011,"CERRO PRIETO",461102.07,2758143.9,261,756.266666666667,0.545298032343569
19012,"CIENEGA DE FLORES",382634.23,2870918.23,380,570.947619047619,0.416814434430827
5149,"CIENEGA DE LA PURISIMA",345993.62,2803261.3,2420,586.771428571429,0.744166703507133
19144,"CIENEGUITAS Y CRUCITAS",400750.96,2711905.84,2530,595.138095238095,0.709942908865686
19105,"DOCTOR GONZALEZ",405474.7,2859904,370,643.590476190476,0.426046641322036
5162,"DOS DE ABRIL",240566.58,2807835.35,1550,372.02380952381,0.482588539673272
19117,"EJIDO MARIN",397572.84,2860424.61,403,572.452380952381,0.480459525208417
19015,"EL CERRITO",380077.41,2821959.16,510,1034.2380952381,0.366070386548714
19016,"EL CUCHILLO",474335.94,2844485.74,145,616.780952380952,0.564192632072205
19114,"EL CUERVITO",519116.42,2863177.65,167,548.195238095238,0.60240144286837
19115,"EL CUIJE",332369.09,2777914.06,1875,408.380952380952,0.665967662453571
19170,"EL HOJASE",363964.05,2889161.28,500,517.633333333333,0.515737621154761
19018,"EL PAJONAL",360399.58,2819904.03,2576,584.419047619048,0.41909349542601
19154,"EL POPOTE",449756.79,2754059.08,300,795.466666666667,0.552668240048271
19020,"EL POTOSI",366538.88,2748246.84,1890,341.271428571429,0.687734119714095
19074,"EL REALITO",464878.67,2797874.33,230,745.728571428571,0.553987434596896
19067,"EL RUCIO",354128.19,2732097.03,1940,301.219047619048,0.645360294185357
19021,"GARZA AYALA",394525.36,2930538.47,257,594.919047619048,0.52235161846991
19169,"GARZA GONZALEZ",437417.63,2857221.57,200,626.52380952381,0.51494137810849
19121,"GATOS GNEROS",464598.95,2776405.04,258,734.02380952381,0.537158149863792
19022,"GENERAL BRAVO (DGE)",482401.35,2853700.95,106,603.404761904762,0.66985951176874
5016,"GENERAL CEPEDA",250923.11,2809671.61,1400,150.4,0.764546543415013
19098,"GENERAL TREVINO",451803.5,2900414.36,153,541.228571428571,0.544509087370247
19190,"GUADALUPE LA JOYA",467920.22,2783348.34,227,762.742857142857,0.553375693914744
19124,"HIGUERAS (DGE)",398329.78,2871894.68,494,574.514285714286,0.5470871334972
5142,"HIPOLITO",258685.18,2844473.64,1150,174.028571428571,0.537505624429246
19027,"ITURBIDE",408500.3,2734830.88,1462,658.938095238095,0.416725133623341
19111,"LA ASCENCION",407644.47,2690265.47,1980,485.161904761905,0.640903794876464
19069,"LA BOCA",386478.62,2812981.16,460,1122.60476190476,0.432294032230541
19096,"LA HUASTEQUITA",353934.47,2836465.9,720,411.52380952381,0.286057670813041
19106,"LA PAMONA",478471.26,2764134.22,195,675.519047619048,0.423637844598144
19155,"LA POZA",397254.52,2733863.83,1750,378.966666666667,0.69470764174384
5170,"LA ROSA",260194.29,2824496.06,1680,214.066666666667,0.486662543762508
19028,"LAMPAZOS (SMN)",352179.12,2995956.21,285,405.209523809524,0.442492140732229
