Latitude UTM (m),Longitude UTM (m)
209437.0,2802152.0
209437.0,2803152.0
209437.0,2804152.0
210437.0,2796152.0
210437.0,2797152.0
210437.0,2798152.0
210437.0,2801152.0
210437.0,2802152.0
210437.0,2803152.0
210437.0,2804152.0
210437.0,2805152.0
210437.0,2812152.0
210437.0,2814152.0
210437.0,2816152.0
211437.0,2795152.0
211437.0,2796152.0
211437.0,2797152.0
211437.0,2798152.0
211437.0,2799152.0
211437.0,2800152.0
211437.0,2801152.0
211437.0,2802152.0
211437.0,2803152.0
211437.0,2804152.0
211437.0,2805152.0
211437.0,2806152.0
211437.0,2807152.0
211437.0,2812152.0
211437.0,2813152.0
211437.0,2814152.0
211437.0,2815152.0
211437.0,2816152.0
212437.0,2795152.0
212437.0,2796152.0
212437.0,2797152.0
212437.0,2798152.0
212437.0,2799152.0
212437.0,2800152.0
212437.0,2801152.0
212437.0,2802152.0
212437.0,2803152.0
212437.0,2804152.0
212437.0,2805152.0
212437.0,2806152.0
212437.0,2807152.0
212437.0,2811152.0
212437.0,2812152.0
212437.0,2813152.0
212437.0,2814152.0
212437.0,2815152.0
212437.0,2816152.0
212437.0,2817152.0
213437.0,2794152.0
213437.0,2795152.0
213437.0,2796152.0
213437.0,2797152.0
213437.0,2798152.0
213437.0,2799152.0
213437.0,2800152.0
213437.0,2801152.0
213437.0,2802152.0
213437.0,2803152.0
213437.0,2804152.0
213437.0,2805152.0
213437.0,2806152.0
213437.0,2807152.0
213437.0,2808152.0
213437.0,2810152.0
213437.0,2811152.0
213437.0,2812152.0
213437.0,2813152.0
213437.0,2814152.0
213437.0,2815152.0
213437.0,2816152.0
214437.0,2794152.0
214437.0,2795152.0
214437.0,2796152.0
214437.0,2797152.0
214437.0,2798152.0
214437.0,2799152.0
214437.0,2800152.0
214437.0,2801152.0
214437.0,2802152.0
214437.0,2803152.0
214437.0,2804152.0
214437.0,2805152.0
214437.0,2806152.0
214437.0,2807152.0
214437.0,2808152.0
214437.0,2809152.0
214437.0,2810152.0
214437.0,2811152.0
214437.0,2812152.0
214437.0,2813152.0
214437.0,2814152.0
214437.0,2815152.0
214437.0,2816152.0
215437.0,2794152.0
215437.0,2795152.0
215437.0,2796152.0
215437.0,2797152.0
215437.0,2798152.0
215437.0,2799152.0
215437.0,2800152.0
215437.0,2801152.0
215437.0,2802152.0
215437.0,2803152.0
215437.0,2804152.0
215437.0,2805152.0
215437.0,2806152.0
215437.0,2807152.0
215437.0,2808152.0
215437.0,2809152.0
215437.0,2810152.0
215437.0,2811152.0
215437.0,2812152.0
215437.0,2813152.0
215437.0,2814152.0
215437.0,2815152.0
215437.0,2816152.0
215437.0,2817152.0
215437.0,2818152.0
216437.0,2795152.0
216437.0,2796152.0
216437.0,2797152.0
216437.0,2798152.0
216437.0,2799152.0
216437.0,2800152.0
216437.0,2801152.0
216437.0,2802152.0
216437.0,2803152.0
216437.0,2804152.0
216437.0,2805152.0
216437.0,2806152.0
216437.0,2807152.0
216437.0,2808152.0
216437.0,2809152.0
216437.0,2810152.0
216437.0,2811152.0
216437.0,2812152.0
216437.0,2813152.0
216437.0,2814152.0
216437.0,2815152.0
216437.0,2816152.0
216437.0,2817152.0
216437.0,2818152.0
217437.0,2794152.0
217437.0,2795152.0
217437.0,2796152.0
217437.0,2797152.0
217437.0,2798152.0
217437.0,2799152.0
217437.0,2800152.0
217437.0,2801152.0
217437.0,2802152.0
217437.0,2803152.0
217437.0,2804152.0
217437.0,2805152.0
217437.0,2806152.0
217437.0,2807152.0
217437.0,2808152.0
217437.0,2809152.0
217437.0,2810152.0
217437.0,2811152.0
217437.0,2812152.0
217437.0,2813152.0
217437.0,2814152.0
217437.0,2815152.0
217437.0,2816152.0
217437.0,2817152.0
217437.0,2818152.0
217437.0,2826152.0
218437.0,2794152.0
218437.0,2795152.0
218437.0,2796152.0
218437.0,2797152.0
218437.0,2798152.0
218437.0,2799152.0
218437.0,2800152.0
218437.0,2801152.0
218437.0,2802152.0
218437.0,2803152.0
218437.0,2804152.0
218437.0,2805152.0
218437.0,2806152.0
218437.0,2807152.0
218437.0,2808152.0
218437.0,2809152.0
218437.0,2810152.0
218437.0,2811152.0
218437.0,2812152.0
218437.0,2813152.0
218437.0,2814152.0
218437.0,2815152.0
218437.0,2816152.0
218437.0,2817152.0
218437.0,2818152.0
218437.0,2819152.0
218437.0,2820152.0
218437.0,2821152.0
218437.0,2823152.0
218437.0,2824152.0
218437.0,2825152.0
218437.0,2826152.0
218437.0,2827152.0
219437.0,2794152.0
219437.0,2795152.0
219437.0,2796152.0
219437.0,2797152.0
219437.0,2798152.0
219437.0,2799152.0
219437.0,2800152.0
219437.0,2801152.0
219437.0,2802152.0
219437.0,2803152.0
219437.0,2804152.0
219437.0,2805152.0
219437.0,2806152.0
219437.0,2807152.0
219437.0,2808152.0
219437.0,2809152.0
219437.0,2810152.0
219437.0,2811152.0
219437.0,2812152.0
219437.0,2813152.0
219437.0,2814152.0
219437.0,2815152.0
219437.0,2816152.0
219437.0,2817152.0
219437.0,2818152.0
219437.0,2819152.0
219437.0,2820152.0
219437.0,2821152.0
219437.0,2822152.0
219437.0,2823152.0
219437.0,2824152.0
219437.0,2825152.0
219437.0,2826152.0
219437.0,2827152.0
219437.0,2828152.0
219437.0,2829152.0
220437.0,2793152.0
220437.0,2794152.0
220437.0,2795152.0
220437.0,2796152.0
220437.0,2797152.0
220437.0,2798152.0
220437.0,2799152.0
220437.0,2800152.0
220437.0,2801152.0
220437.0,2802152.0
220437.0,2803152.0
220437.0,2804152.0
220437.0,2805152.0
220437.0,2806152.0
220437.0,2807152.0
220437.0,2808152.0
220437.0,2809152.0
220437.0,2810152.0
220437.0,2811152.0
220437.0,2812152.0
220437.0,2813152.0
220437.0,2814152.0
220437.0,2815152.0
220437.0,2816152.0
220437.0,2817152.0
