Latitude UTM (m),Longitude UTM (m)
428195,3061870
428173,3061854
428138,3061829
428042,3061759
426668,3060762
426653,3060751
421737,3057184
420564,3056332
420223,3056085
420216,3056080
420173,3056049
420140,3056025
420103,3055998
420092,3055990
419926,3055870
419773,3055759
419763,3055751
419594,3055628
419270,3055394
419051,3055235
418812,3055061
416522,3053399
416435,3053336
416260,3053210
416107,3053098
415110,3052375
414077,3051626
413971,3051548
413862,3051470
412463,3050455
412035,3050144
412030,3050140
412027,3050139
411236,3049565
411044,3049425
411040,3049422
410868,3049297
408577,3047635
408534,3047604
408885,3044256
409030,3042867
409081,3042385
409082,3042376
409204,3041213
410359,3040759
410373,3040754
412329,3039985
413093,3039684
416669,3038279
416676,3038276
420777,3036664
422069,3036157
422138,3036130
422447,3036009
422453,3036006
423543,3035578
423685,3035522
423735,3035502
423758,3035493
423791,3035480
423808,3035474
423816,3035471
423871,3035449
423880,3035445
423968,3035411
424291,3035284
424851,3035064
424938,3031992
424943,3031838
425000,3029821
425000,3029819
425008,3029722
425145,3028010
425145,3028009
425255,3026650
425255,3026642
425300,3026082
425301,3026073
425481,3023834
425481,3023834
425498,3023623
425507,3023512
425513,3023439
425622,3022080
425897,3018667
425901,3018607
426001,3017365
426997,3014480
427087,3014220
427111,3014151
427631,3012646
427631,3012645
428009,3011549
428056,3011415
429066,3008490
429584,3006989
429591,3006970
429620,3006885
429626,3006868
429634,3006844
429774,3006439
429998,3005792
430869,3003270
430899,3003182
430961,3003003
431102,3002593
431651,3001004
432110,2999675
432275,2999197
432492,2998570
432701,2997964
433679,2997177
433688,2997169
433956,2996954
433976,2996938
434528,2996493
434676,2996374
435542,2993896
434462,2991846
434275,2991493
434268,2991480
434219,2991387
433105,2989272
432506,2988144
432054,2987284
431244,2985746
431027,2985332
430597,2984516
429911,2983211
429393,2982226
428670,2980853
428353,2980245
427360,2978340
427107,2977854
426500,2978031
425144,2978356
423931,2978646
423542,2978740
423650,2977278
423651,2977274
423668,2977038
423859,2974465
423875,2974480
423892,2974491
423896,2974495
423905,2974501
423913,2974507
423921,2974514
423927,2974520
423932,2974526
423938,2974532
423940,2974535
423942,2974539
423947,2974546
423951,2974552
423954,2974560
423975,2974614
424000,2974679
424003,2974686
424013,2974711
424018,2974723
424019,2974731
424020,2974740
424021,2974749
424021,2974759
424021,2974768
424021,2974777
424021,2974786
424021,2974796
424021,2974798
424021,2974805
424022,2974814
424023,2974822
424025,2974831
424026,2974840
424027,2974848
424029,2974857
424030,2974866
424034,2974874
424038,2974883
424038,2974884
424042,2974892
424046,2974901
424052,2974907
424058,2974914
424063,2974921
424072,2974926
424080,2974930
424089,2974935
424098,2974937
424106,2974939
424115,2974941
424124,2974942
424132,2974944
424141,2974946
424150,2974948
424159,2974950
424167,2974953
424176,2974955
424185,2974958
424194,2974961
424203,2974962
424212,2974964
424221,2974966
424230,2974967
424238,2974968
424246,2974968
424255,2974968
424263,2974969
424271,2974968
424279,2974967
424287,2974967
424295,2974966
424303,2974965
424311,2974964
424320,2974964
424328,2974964
424336,2974964
424344,2974964
424352,2974965
424360,2974965
424369,2974966
424379,2974967
424387,2974968
424388,2974968
424397,2974969
424406,2974971
424415,2974972
424424,2974974
424432,2974977
424440,2974980
424448,2974982
424456,2974985
424464,2974987
424472,2974990
424480,2974992
424488,2974995
424496,2974998
424504,2975000
424512,2975003
424521,2975005
424528,2975009
424536,2975012
424543,2975016
424551,2975020
424558,2975023
424566,2975027
424573,2975030
424581,2975034
424589,2975037
424596,2975041
424604,2975045
424606,2975046
424611,2975049
424617,2975054
424624,2975058
424631,2975062
424638,2975067
424644,2975071
424651,2975076
424658,2975080
424665,2975085
424672,2975089
424678,2975093
424685,2975098
424692,2975102
424699,2975107
424706,2975111
424712,2975116
424719,2975120
424726,2975124
424733,2975129
424740,2975133
424743,2975135
424746,2975138
424753,2975142
424760,2975147
424766,2975152
424773,2975157
424779,2975162
424786,2975167
424792,2975171
424799,2975176
424805,2975181
424812,2975186
424819,2975191
424825,2975196
424832,2975201
424838,2975206
424845,2975211
424851,2975215
424858,2975220
424864,2975225
424871,2975230
424877,2975235
424884,2975240
424890,2975245
424896,2975251
424902,2975256
424908,2975262
424914,2975267
424920,2975273
424926,2975278
424932,2975284
424938,2975289
424945,2975295
424951,2975300
424957,2975306
424963,2975311
424969,2975317
424975,2975322
424980,2975328
424986,2975334
424992,2975340
424997,2975346
425003,2975353
425009,2975359
425014,2975365
425020,2975371
425026,2975377
425031,2975383
425037,2975389
425043,2975395
425048,2975401
425054,2975407
425059,2975414
425065,2975420
425071,2975426
425077,2975431
425083,2975437
425083,2975437
425089,2975442
425095,2975448
425102,2975453
425108,2975459
425114,2975464
425120,2975470
425126,2975476
425132,2975481
425139,2975486
425145,2975491
425152,2975496
425158,2975501
425165,2975506
425171,2975511
425178,2975516
425185,2975520
425193,2975525
425200,2975529
425208,2975533
425215,2975538
425223,2975542
425231,2975546
425238,2975551
425246,2975555
425253,2975559
425261,2975564
425269,2975568
425277,2975571
425286,2975575
425294,2975579
425302,2975583
425311,2975587
425319,2975589
425327,2975591
425336,2975593
425344,2975595
425352,2975597
425361,2975599
425370,2975599
425380,2975599
425390,2975598
425399,2975598
425407,2975596
425416,2975593
425424,2975591
425433,2975589
425441,2975586
425449,2975582
425456,2975577
425464,2975572
425472,2975568
425480,2975563
425488,2975560
425496,2975557
425503,2975554
425511,2975552
425519,2975549
425529,2975547
425539,2975546
425549,2975545
425557,2975546
425565,2975547
425573,2975549
425581,2975550
425589,2975552
425596,2975553
425604,2975555
425612,2975556
425620,2975558
425628,2975560
425636,2975561
425644,2975563
425652,2975565
425657,2975566
425659,2975567
425667,2975569
425675,2975570
425684,2975573
425692,2975576
425700,2975579
425709,2975582
425717,2975585
425726,2975588
425734,2975590
425741,2975595
425747,2975601
425754,2975606
425758,2975614
425761,2975621
425765,2975629
425769,2975637
425771,2975646
425773,2975655
425776,2975664
425778,2975672
425780,2975681
425783,2975690
425785,2975699
425786,2975707
425787,2975716
425788,2975724
425789,2975733
425790,2975741
425791,2975750
425792,2975758
425793,2975767
425794,2975775
425795,2975784
425799,2975793
425803,2975803
425806,2975812
425811,2975820
425816,2975827
425821,2975834
425830,2975840
425839,2975845
425848,2975851
425855,2975857
425863,2975864
425870,2975870
425877,2975877
425881,2975885
425884,2975892
425887,2975900
425891,2975908
425893,2975916
425895,2975924
425897,2975932
425900,2975940
425902,2975947
425904,2975955
425905,2975964
425905,2975974
425906,2975983
425907,2975992
425907,2976001
425906,2976010
425904,2976018
425903,2976027
425901,2976035
425899,2976044
425898,2976052
425896,2976061
425894,2976069
425893,2976077
425891,2976085
425890,2976093
425888,2976101
425886,2976108
425886,2976110
425885,2976116
425883,2976124
425881,2976132
425879,2976140
425877,2976148
425876,2976156
425874,2976163
425872,2976171
425870,2976179
425868,2976187
425866,2976195
425865,2976203
425863,2976210
425861,2976218
425859,2976226
425857,2976234
425856,2976242
425854,2976250
425852,2976258
425850,2976266
425848,2976274
425847,2976282
425845,2976290
425843,2976298
425841,2976306
425839,2976314
425838,2976322
425836,2976330
425834,2976338
425832,2976346
425831,2976354
425828,2976362
425825,2976370
425823,2976378
425820,2976386
425818,2976394
425815,2976402
425812,2976410
425810,2976418
425807,2976426
425805,2976434
425802,2976442
425799,2976450
425797,2976458
425795,2976466
425794,2976474
425792,2976482
425790,2976490
425789,2976498
425787,2976506
425786,2976514
425784,2976523
425783,2976531
425783,2976540
425783,2976549
425783,2976559
425783,2976568
425783,2976577
425783,2976587
425784,2976595
425786,2976604
425787,2976613
425788,2976621
425789,2976622
425790,2976631
425792,2976639
425793,2976648
425795,2976656
425798,2976664
425800,2976672
425802,2976679
425804,2976687
425807,2976695
425809,2976703
425813,2976710
425816,2976718
425820,2976725
425824,2976733
425827,2976740
425831,2976748
425835,2976755
425838,2976763
425842,2976770
425848,2976776
425853,2976783
425859,2976789
425865,2976795
425871,2976802
425876,2976808
425882,2976814
425888,2976821
425893,2976827
425900,2976832
425907,2976838
425913,2976843
425920,2976848
425926,2976854
425933,2976859
425939,2976864
425946,2976870
425954,2976874
425962,2976879
425970,2976883
425978,2976888
425985,2976893
425993,2976897
426002,2976900
426010,2976903
426019,2976906
426027,2976909
426036,2976911
426043,2976913
