"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"19002","2002-09-01",370,178.6,5.2
"19002","2010-06-01",512,237.7,7.06
"19003","2008-09-01",789.5,429.7,6
"19003","2010-06-01",93.5,436.5,-5.69
"19005","2001-09-01",340.5,132.9,5.18
"19005","2008-09-01",256,85.2,5.04
"19005","2010-07-01",331.5,178.3,5.13
"19005","2011-06-01",237,57.7,5.29
"19005","2013-09-01",437.5,195.8,6.03
"19007","2018-09-01",464,283.2,5.15
"19009","2010-06-01",387,196.1,5.52
"19009","2010-07-01",392,222.3,5.78
"19009","2011-06-01",218,62.1,5.31
"19009","2013-09-01",542.3,348.5,5.6
"19011","2008-09-01",550.9,385.6,5.39
"19012","1999-08-01",211,80.2,5.17
"19016","2010-09-01",64.6,254.3,-5.09
"19018","2008-08-01",372,126.3,6.34
"19018","2014-09-01",0,263.4,-6.83
"19020","2006-08-01",150,36,5.07
"19020","2008-08-01",227,97.5,5.75
"19021","2008-08-01",343.5,149.8,6.06
"19022","2005-07-01",49.3,253.5,-5.44
"19024","2004-06-01",267,54.5,5.32
"19024","2017-09-01",385.5,201,5.03
"19027","2010-06-01",392.4,181.4,6.48
"19027","2010-07-01",509,326.7,5.38
"19027","2018-09-01",455,279.1,6
"19028","2008-07-01",0,147.5,-5.44
"19028","2010-07-01",410.5,239.7,5.22
"19028","2010-09-01",48,245.7,-6.01
"19033","2013-09-01",916,499,7.18
"19033","2014-09-01",503.5,332.8,5.31
"19039","2000-09-01",263.4,70.3,6.26
"19039","2001-09-01",200.6,354.3,-5.22
"19042","2015-06-01",240.5,101.2,5.34
"19044","2017-05-01",237.9,36.3,6.71
"19044","2018-06-01",242,86.7,5.17
"19045","2008-09-01",212.6,117.1,5.2
"19045","2010-09-01",273.2,159.3,5.73
"19047","2005-07-01",62.5,201.6,-5.18
"19047","2008-08-01",261,114.7,5.06
"19047","2010-08-01",438,16.8,10.84
"19047","2013-09-01",305.4,153.2,5.7
"19048","2010-06-01",280,104.2,6.51
"19050","2007-06-01",179,49.2,5.08
"19050","2008-09-01",209,57.3,5.49
"19050","2009-05-01",287,38.4,6.44
"19050","2009-06-01",150,25.1,5.22
"19050","2010-05-01",304,76.8,5.88
"19050","2010-06-01",334,128.2,5.33
"19052","2004-09-01",386.6,192.5,5.28
"19052","2010-07-01",605.4,366.1,5.99
"19053","2013-09-01",495,305.2,5.32
"19053","2018-09-01",145,315.4,-5.33
