Code,Station Name,Latitude UTM (m),Longitude UTM (m),Elevation (masl)
19002,AGUA BLANCA,346981.33,2826081.89,2193
19142,AGUALEGUAS,445184.82,2910039.26,717
19003,ALLENDE,397278.18,2796742.85,454
5151,ALTO DE NORIAS,274856.65,2875066.59,920
19024,ANAHUAC,387982.39,3013339.54,194
19004,APODACA,379970.74,2853373.62,430
19005,ARAMBERRI II,416830.96,2665878.86,1080
5003,ARTEAGA (SMN),313982.19,2816067.93,1660
19112,BENITEZ,452354.91,2734641.4,300
19006,BUSTAMANTE,348918.63,2937489.12,1981
19007,CABEZONES,425123.86,2764168.32,460
19008,CADEREYTA,402085.3,2830670.84,330
19035,CAMACHO,441523.44,2750892.71,300
19072,CAMARON,392783.84,3018282.31,204
19032,CARBONERA,319412.62,2745091.32,2035
19009,CASILLAS,377668.38,2787245.76,1279
19010,CERRALVO (DGE),438248.47,2885797.18,280
19099,CERRALVO (SMN),438328.31,2885058.46,296
19011,CERRO PRIETO,461102.07,2758143.9,261
19012,CIENEGA DE FLORES,382634.23,2870918.23,380
5149,CIENEGA DE LA PURISIMA,345993.62,2803261.3,2420
19013,CIENEGA DEL TORO,365538.3,2774992.35,2140
19144,CIENEGUITAS Y CRUCITAS,400750.96,2711905.84,2530
19097,COLOMBIA,425123.99,3064447.41,137
19146,CONGREGACION CALLES,405475.57,2789053.74,455
19105,DOCTOR GONZALEZ,405474.7,2859904,370
5162,DOS DE ABRIL,240566.58,2807835.35,1550
19014,DULCES NOMBRES,441516.35,2654561.19,675
19148,EJIDO DIECIOCHO DE MARZO,380786.94,2753253.77,1814
19166,EJIDO HORCONES,360256.66,3006265.54,242
19117,EJIDO MARIN,397572.84,2860424.61,403
19110,EL ALAMO,423179.53,2930395.96,180
19113,EL BRASIL,500862.68,2862025.6,134
19015,EL CERRITO,380077.41,2821959.16,510
19016,EL CUCHILLO,474335.94,2844485.74,145
19114,EL CUERVITO,519116.42,2863177.65,167
19115,EL CUIJE,332369.09,2777914.06,1875
19170,EL HOJASE,363964.05,2889161.28,500
19127,EL OASIS,417867.95,2973719.92,132
19018,EL PAJONAL,360399.58,2819904.03,2576
19129,EL PENUELO,320464.36,2717814.06,1840
19154,EL POPOTE,449756.79,2754059.08,300
19020,EL POTOSI,366538.88,2748246.84,1890
19074,EL REALITO,464878.67,2797874.33,230
19079,EL REFUGIO DE LOS IBARRA,362421.56,2703739.38,1858
19067,EL RUCIO,354128.19,2732097.03,1940
5174,EL TUNAL  ,311246.1,2816229.29,1670
19119,ESPINAZO,339311.12,2906245.59,954
19120,FRESNILLO,411532.04,2923548.4,230
19085,GALEANA (DGE),391383.63,2744829.26,1644
19021,GARZA AYALA,394525.36,2930538.47,257
19169,GARZA GONZALEZ,437417.63,2857221.57,200
19121,GATOS GNEROS,464598.95,2776405.04,258
19022,GENERAL BRAVO (DGE),482401.35,2853700.95,106
19074,GENERAL BRAVO (SMN),481870.97,2852748.06,129
5016,GENERAL CEPEDA,250923.11,2809671.61,1400
19098,GENERAL TREVINO,451803.5,2900414.36,153
19123,GRUTAS DE GARCIA,347260.88,2859989.16,1043
19190,GUADALUPE LA JOYA,467920.22,2783348.34,227
19124,HIGUERAS (DGE),398329.78,2871894.68,494
19025,HIGUERAS (SMN),398208.02,2870541.89,520
5142,HIPOLITO,258685.18,2844473.64,1150
19026,ICAMOLE,331075.28,2870250.35,640
19027,ITURBIDE,408500.3,2734830.88,1462
19125,JARITAS,420767.34,3034564.68,198
19029,LA ARENA,412296.21,2847550.84,280
19111,LA ASCENCION,407644.47,2690265.47,1980
19069,LA BOCA,386478.62,2812981.16,460
