Acmx,SNHT,RMSE,POD,Code,Name
0.37,4.8,34.6,86,19002,AGUA BLANCA
0.23,3.2,49.5,84,19003,ALLENDE
0.19,15.1,24,83,5151,ALTO DE NORIAS
0.18,4.6,34.7,87,19024,ANAHUAC
0.19,9.7,29.7,92,19005,ARAMBERRI II
0.22,8.9,31.2,92,19112,BENITEZ
0.2,2.8,31.7,84,19007,CABEZONES
0.24,5.6,27.1,88,19035,CAMACHO
0.16,13.7,25.7,97,19032,CARBONERA
0.21,11.9,25.2,90,19009,CASILLAS
0.18,5.9,29.1,94,19011,CERRO PRIETO
0.12,5.2,24.8,86,19012,CIENEGA DE FLORES
0.3,8.5,62.1,85,5149,CIENEGA DE LA PURISIMA
0.17,7,25.4,94,19144,CIENEGUITAS Y CRUCITAS
0.15,7.3,22.3,92,19105,DOCTOR GONZALEZ
0.2,4.1,28.9,80,5162,DOS DE ABRIL
0.15,17.4,43.5,46,19148,EJIDO DIECIOCHO DE MARZO
0.2,3.3,24.1,93,19117,EJIDO MARIN
0.13,4.5,41.7,82,19015,EL CERRITO
0.19,6.7,34.5,84,19016,EL CUCHILLO
0.21,7.1,38.2,87,19114,EL CUERVITO
0.2,4.7,20.5,94,19115,EL CUIJE
0.15,11.3,25.2,88,19170,EL HOJASE
0.11,4.8,30.9,92,19018,EL PAJONAL
0.14,4.8,25.2,89,19154,EL POPOTE
0.17,6.6,18.4,97,19020,EL POTOSI
0.14,7.9,29.5,93,19074,EL REALITO
0.2,2.6,29.3,42,19079,EL REFUGIO DE LOS IBARRA
0.17,7.6,17.8,90,19067,EL RUCIO
0.16,5.3,28.6,91,19021,GARZA AYALA
0.2,2.4,31.5,93,19169,GARZA GONZALEZ
0.14,2.3,24.6,91,19121,GATOS GNEROS
0.26,7,35.8,94,19022,GENERAL BRAVO (DGE)
0.18,8,10.5,85,5016,GENERAL CEPEDA
0.21,7.9,34,89,19098,GENERAL TREVINO
0.19,11.7,29.6,67,19123,GRUTAS DE GARCIA
0.13,8.6,26,92,19190,GUADALUPE LA JOYA
0.13,5.6,30.4,83,19124,HIGUERAS (DGE)
0.26,15.5,25.1,81,5142,HIPOLITO
0.16,6.7,25,80,19027,ITURBIDE
0.14,5.3,23.6,81,19111,LA ASCENCION
0.16,8,47.8,93,19069,LA BOCA
0.14,4.9,27,93,19096,LA HUASTEQUITA
0.14,5.9,24.1,88,19106,LA PAMONA
0.25,13.1,29.9,92,19155,LA POZA
0.3,6.9,16.3,92,5170,LA ROSA
0.17,4.9,27.2,39,19033,LAGUNA DE SANCHEZ
0.12,4.5,24.5,86,19028,LAMPAZOS (SMN)
0.18,7.4,32.3,80,19163,LAS BRISAS
0.23,9.8,43,91,19147,LAS CRUCITAS
0.21,3.3,27.5,94,19039,LAS ENRAMADAS
0.24,6.3,20.8,43,19151,LAS MARGARITAS
0.12,4,25.7,88,19037,LAS PRESAS
0.16,6.2,24.4,88,19042,LOS RAMONES
0.46,7,8.5,87,19043,MADERO
0.16,9,25.3,89,19044,MAMULIQUE
0.17,2.8,24.7,95,19047,MIMBRES
0.11,3.1,16.8,92,19045,MINA
0.13,4.4,23.6,90,19048,MONTEMORELOS
0.21,4,38.8,97,19052,MONTERREY (OBS)
0.14,11.2,24.6,95,19091,PABLILLO (DGE)
0.14,3.8,39.2,93,19173,PALMITOS (GE)
0.22,8.4,34.4,90,19071,PARAS
0.41,23.1,31.7,21,5148,POTRERO DE ABREGO
0.13,4.8,29.8,84,19053,RAYONES
0.15,8.5,28.6,84,19133,SABINAS HIDALGO
0.14,2.2,19.6,89,19134,SALINAS VICTORIA
0.14,17.7,21.9,91,5048,SALTILLO (DGE)
0.29,1.6,32.7,90,19180,SAN ANTONIO EL SALERO
0.15,3.6,22.5,92,19108,SAN CRISTOBAL PURISIMA
0.11,17.1,31.3,88,19101,SAN DIEGO
0.22,4.9,20.4,28,19135,SAN FRANCISCO DE BERLANGA
0.09,7.1,18.3,97,19160,SAN IGNACIO DE TEXAS
0.17,2.4,27.9,82,19136,SAN ISIDRO
0.21,4.5,14.9,49,19137,SAN JORGE
0.32,3.4,23.1,94,19050,SAN JOSE DE RAICES
0.13,4.7,24.6,85,5145,SAN JUAN DE LA VAQUERIA
0.19,12.6,20.3,96,19057,SAN RAFAEL
0.13,9.2,17.6,96,19182,SAN ROBERTO
0.14,11.4,20.4,98,19138,SANTA ANA
0.13,6.1,20,98,19059,SANTA ROSA
0.2,6.3,34.4,90,19193,SANTA ROSA I
0.1,5.6,25.2,91,19178,SIERRA MORENA
0.17,14.2,34.1,79,19063,VALLECILLO (DGE)
0.2,10.4,29,82,19141,VILLALDAMA
0.28,5,53.9,90,19162,VISTA HERMOSA
0.17,10.1,25.9,66,5148-2,POTRERO DE ABREGO-2
0.25,11.5,61.7,50,19033-2,LAGUNA DE SANCHEZ-2
0.26,6.2,13.6,63,19135-2,SAN FRANCISCO DE BERLANGA-2
0.2,18.1,20.9,45,19137-2,SAN JORGE-2
0.19,3.4,57.2,17,19123-2,GRUTAS DE GARCIA-2
0.2,8.9,30,46,19148-2,EJIDO DIECIOCHO DE MARZO-2
0.21,5.6,16,49,19079-2,EL REFUGIO DE LOS IBARRA-2
0.22,10.4,32.5,52,19151-2,LAS MARGARITAS-2
