Year,January,February,March,April,May,June,July,August,September,October,November,December
1965,9,18,0,22,76,,13,28,65,27,,
1966,80,29,0,11,92.5,23,11,52,88,40,0,3
1967,15,10,32,0,23,0,22,90,266,0,0,0
1968,0,0,0,10,,39,31,15,165,85,18,3
1969,0,1.7,0,0,16,69,143,116,102,19,35,6
1970,0,22,0,13,23,84,62,57,132,0,0,0
1971,12,0,0,13,54.5,221,77,138,162,89,13,4
1972,0,0,15,43,23,83,84,46,42,39,32,0
1973,47,0,0,0,18,128.5,35.8,99.5,21,29,0,
1974,19,0,31,,0,0,0,74,221,14,16,9
1975,0,0,25,0,0,33,152,172,56,74,44,53
1976,25,0,7.3,74,79,29,322,136,93,91,81,27.2
1977,48,23,0,19,0,28,18,51,128,54,5,3.5
1978,0,0,23,27,61,,,,,,,
1980,,,,0,,,121,104.2,80.2,82.4,12,23
1983,,30,10,0,91,32,46,52,149,37,2,0
1984,90,25,0,,43,55,148,,,,,
1985,33,16,3,66,54,64,56,85,41,33,3,0
1986,0,0,,38.8,65,37,80,27,115,46.2,37,
1987,,,,,178,0,94,61,0,14,6,0
1988,,,18.2,51.8,51.2,82.1,133.3,140,67.9,13.5,4.5,10.5
1989,9.5,0,1,40.5,4,30.5,39.5,97.2,82,48,25.5,59.5
1990,20.3,40,38.7,17.6,49,2.5,153.7,207.5,103,109.9,12,0
1991,13.5,23.5,0,14,49,88,144,34.6,202.5,29.5,10,68.5
1992,141,39.5,21.5,37,140.5,41,76.5,111,88,60.5,50.5,44
1993,8.5,11,40,16,91,241.5,54,45,213,30.4,12.5,5
1994,10,2,45.5,60.5,80.5,61.5,137,63.3,61.5,41,6,42
1995,12,10.2,14.5,2.5,70,64.5,106,171.5,45.5,,,
1997,,,,,,,67,49.8,82,90.5,39,12
1998,1,7,0,13.5,1,61.5,126,146,326,67,2,0
1999,0,0,3,24.5,9.5,44,64.5,128,143,77,0,0
2000,0,2,16.2,19.5,71,174.5,84.5,157,155,101.5,46.5,10
2001,11,25,46.5,42,18.5,62,17,84,201,21.5,18,17
2002,0,8.5,3.5,27,60,137,201,59,370,143,20.5,6
2003,31,,,,,,,,,,,
2004,31,29,39,42,43,151,83.5,145,140,10,19,0
2005,23,54.5,23,4,56,14,380,99,25,64,2.5,4
2006,8,0,22,11,25,4,75,71,314,50,5,77.5
2008,10,0,13,24.9,47.5,34.5,79.5,246,222,57,1,1
2009,1,0,26,1,65,44,52,158,277,55,57.5,27.5
2010,23,41,13,42,107.5,512,362,65,259,14,0,0
2011,1,0,0,12,0,128,82.5,93,2,5,5,0
2012,3.5,71,58,5,21,41,122.5,49,161,29,13,4.5
2013,41,0,0,13,139,34,155,56.5,292,45,63,82
2014,21,0,55,13,87,79,68.5,110,238,33,113,44
2015,21,55,175,49,61.5,54,23,37,79,95,13,5
2016,43,3,36,11,80.5,102,145.5,182,,,,
2017,2,8,34,37,8,25,77.5,139.5,156.5,,,
2018,0,12,2,,,116.5,25,39,220.5,37.5,11,
