Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,5.9,7.6,7,41.1,5.2,,,,,,,10.9
1980,14,11.8,,0,74.7,13,3,127.5,42,74,49,15.5
1981,78.5,,42.5,145.5,194,111.6,51.3,,11.5,,,
1982,0,8,22.5,31.5,78,45.5,4,57,,39.5,24.1,
1983,,82.3,9.6,,58,,,19.1,74.3,66,2,8.2
1984,124,,,,,64.6,87,,,,,
1985,41.5,36,27.5,155.9,153.5,112,41.5,27.5,57,81.7,42,7
1986,11,3,0,32.8,135.5,171.5,0,3.5,99.2,72,17.2,
1987,21.1,28.4,0,0,24.5,64.4,28.8,190,,,,
1988,,,,,,21.5,233.5,187,164.2,60.2,0,0
1989,10.7,13.3,0,72,0,39.3,6.5,68,11.7,1,10,43.3
1990,2,31.4,12.3,,11.7,0,34,86,164.7,6.5,23.5,0
1991,55.1,8,3,13.9,33,125.5,35,,88,17,5.5,54.6
1992,91.3,,,,,,,28.8,0,39,40,18.6
1993,8.3,28,10,1.1,0,65.9,0,0,8.7,2,4.4,2.3
1994,41.4,0,55,6,62,46,81,0,40.5,2,0,4
1995,0,8.5,11,15,14.5,5,69,150.5,18,4,,26
1996,0,20,0,50,0.3,0,20.5,68.5,62.5,8,0,3
1997,2.5,,,,,,,,,,,
2001,7.5,0,27.5,21.3,12.6,42,15,2.5,227,0,63,23
2002,0,0,0,3,12,60,180,170,260,210,100,0
2003,28.7,170,90,60,80,80,50,160,250,310,30,10
2004,20,10,110,150,100,0,60,112,,81.9,44.5,
2005,66.5,88.5,5,0,193.3,2,325.5,0,75,129,16.5,9
2006,0,6,7.5,3.5,23,23,39.5,133.3,54.9,37.5,0,59.5
2008,40.5,6,0,7,36,0,328,498.5,187.5,4,0,14
2009,5.7,15.6,18.5,,57.2,3,23,44,147.6,73.5,36,25
2010,59,32.5,15,117,85,166,115.8,21,266.5,0,0,0
2011,18,0,15,0,7.5,27,51,31,19,26,0,62
2012,2,49.5,6,48,93.5,89,83,34,64,38,7,
2013,21,0,0,42,147,62.5,97.5,4.7,155.9,,25.2,75.5
2014,0,3,15,3,56.4,9.5,56.8,86,288.5,63.5,36.3,31
2015,14.5,21,101,,191,86.3,0,63.03,50,40.07,16,0
2016,19.5,0,37,25.5,99.2,44,18.11,174.9,96.3,9.9,18.5,12.5
2017,16,0,41,37.5,29.5,38,5.5,16.5,61.1,53.7,20.7,57
2018,0,26,0,,47.5,60.5,0,0,294,36,14,23
