Year,January,February,March,April,May,June,July,August,September,October,November,December
1961,27,12,36,69,44,81,5,100,117,81,18,0.3
1962,11,4,18,21,30,202,0,46,203,163,107,35
1963,14,11,42,59,139.5,35,77,174,297,108,22,54
1964,10,13,,73,179,50,53,14,307,65,28,14
1965,25,30,27,76,50,82,56,122,159,113,91,60
1966,68.5,115,84.5,116.5,198,410,12,226,170,159,101,0
1967,20,76,62,84,8,36,92,494,481,45,57,15
1968,24,35,44,156,34,234,147,166,292,158,40,0
1969,46,31,53,73,36,129,48,202,326.5,291,83,18
1970,15,86,0,85,52,117,232,82,291,77,0,0
1971,3.7,0,4,33,39.6,59,104.5,98.5,374,235,69,24
1972,21.5,28,81.5,96,318,276.5,216,20,178.5,84,25,8
1973,54,98,10,44,106,741,111,359,190,106,85,33
1974,25,0,91,11.5,53.5,149,10.5,3,569.5,100,9,8
1975,16,32,33,19.6,190.5,80,402,287,332,56,6,49
1976,15,4,50,116,81,126,322.5,124,283,86,157,31
1977,38,39,3,70,85,71,44,192,177,104,24,3
1978,33,42,12,33,74,39.5,79,215,798,184,39,22
1979,14,14,27,105,41,227,102,140,138,0,22,115
1980,25.5,26.5,4,57,142,51,32,67,125.5,111,44,21
1981,119,25.5,53.5,195.5,230.5,311,57,191,161.8,62,1,3
1982,,35.1,27,142.5,93.3,11,18.5,13,206.5,116.7,31,61.5
1983,53.5,42,50.5,0,272.5,62.5,188.1,118.5,270.6,98.5,55,12.5
1984,165,5,,,161,73.5,114,,,,,
1985,52,40.5,14,110,69,294,0,65,103.5,135,4,6.5
1986,0,9,26,104.5,113.5,,220,45,304.5,78.5,70,117.00
1987,50,63,35.5,68,79.5,356.1,146.2,241.5,,,,
1988,55.5,21,17.5,80,69.5,209,130.5,236.5,406,41,0,9
1989,30,41.5,8.5,54,15.5,51,44.5,44.5,251,192,28.5,74
1990,17.5,21.5,47.5,122,141.5,16,101.5,58,316.5,80,19.5,17
1991,26.5,47.5,35.5,123,167.5,172.5,46,30.5,262,42,29.5,54
1992,142.5,33.5,40,136.5,100.5,63,1,210.5,212,129,48,39
1993,33.5,46.5,51.5,23,151,295.5,28,58.5,387.5,50.5,31,19.5
1994,67.5,31,50.5,19.5,41.5,101,36.5,83.5,210.3,67.2,39,46
1995,28.5,27,50,,,,,,,,,
1996,,,,,,,,,30.1,129.1,7.2,10.2
1997,18.7,6.1,72,121.2,128.8,68.1,21.4,69.3,42.8,226.4,36.7,14.8
1998,7.7,17.9,13.7,9,0,12.5,28.3,262.2,232,38.7,63.3,5.2
1999,0,0,25.8,5.7,34.1,103.9,145.3,0,127,25.7,0,
2000,0,33.9,12.6,13.7,100.1,104.7,20.5,93.3,72.1,279.1,44.5,23.4
2001,47.1,5.3,68.7,78,15.4,99.6,25.9,25.8,564.9,42,131.2,24.4
2002,4.3,,,,,,118.6,93.2,407.2,308.2,8.6,5.3
2003,179.2,20.2,40.4,0,45.2,80.7,33.3,249.3,529.2,70.6,54.6,0
2004,0,38.7,221.3,167,19.4,23.3,28.8,253.8,415.3,70.1,10.3,6
2005,40.6,135.1,55,29.6,127.7,17.8,397.4,33.3,,361.2,12.5,14.30
2006,0,,,,,,,,,,,
2008,25.5,12,34.5,91.5,58,1,169,169,789.5,130,2,14.5
2009,32.5,16,22.5,9,62.5,58,17,88.5,351.5,90.5,20.5,48.5
2010,,,20,299.2,,93.5,444.8,17.5,,35.3,0,
2011,21.7,0,23,0,32.6,130.6,84.7,106.8,87.5,89,2.5,27.3
2012,18,86.7,18,55.5,72.3,81.1,35.1,116,190.8,53,63.1,7
2013,34,2,45,59.5,187.5,48,45,33.5,545.5,49,153,111
2014,28,29.5,38.5,31.5,58,39,23,76,423,377,70.5,96
2015,43,,181,117,152.5,161,0,41,198,101.3,28.5,6.00
2016,48,0,23.5,62,216.5,109,40,366,131,191.5,129,55
2017,26.5,4,70,29,140.5,52.5,43,54,247,147,8,62.5
2018,27,72.5,5,176.5,37,148,33,7,452,40,,
