Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,,,29,107,66,2.5,48.5,17.8,11,74.7,0,2
1982,0,5,1,,,0,0,19,9,15,44,
1983,20,24.5,2.5,0,67,20,0,129,26.5,11,0,0
1984,6,8,0,,,33,56,14.5,29,0,11,0
1985,,3,0,17,52,17,12,4,18,21,12,41
1986,,,,,,,,,18,31,16,41
1987,16,40,0,7,37,,,,46,19,0,0
1988,0,0,0,,,,,,56,0,0,0
1989,11,8,0,10,0,9,16,32,35,0,22,46
1990,24,0,30,12.5,,,,,,,,0
1991,8,2,0,0,9,123,40,6,13,5,0,39
1992,0,0,0,10,3,17.5,5,65.5,0,30,12,20
1993,7,1,2,0,55,26,42,7,60,1,21,2
1994,2,2,6,5,1,42,25,10,23.1,19,0,28
1995,2,3,1,0,0,0,5,77,0,0,5,9
1996,0,0,0,0,9,1,48,32,36,25,16,0
1997,6,5,21,40,35,,0,8,22,5,20,13
1998,0,0,0,0,8,16,0,64,33,0,4,
1999,0,0,0,0,0,46,21,,,0,0,0
2000,0,0,0,0,0,,40,9,7,25,3,0
2001,5,20,22,0,0,10,0,20,14,0,35,3
2002,0,4,0,0,20,0,78,17,12,39,5,
2003,22,28,28,0,0,22,28,9,131,40,1,0
2004,23,13,21,34,5,30,25,28,33,7,36,0
2005,20,38,2,,,32.5,8.8,5.5,0,15,0,0
2006,18,0,1,0,28,30,19.3,3,78.5,37,,48.7
2007,25.5,0,1,0,17,63,,,,,,
2008,0,0,0,0,10.5,20,14.5,48,29.5,0,0,1
2009,0,0,3.5,0,28,59.6,0,11.5,114,16,18,
2010,14,28.5,4.5,3.5,0,19.5,43.1,8.5,,0,,
2011,0,0,0,0,0,0,12,3,37.5,,,7.5
2012,3,12.5,24.5,3,7,3,10,4.5,128.5,14.5,1,
2013,12,0,0,0,10.5,20.5,9,5.5,95.5,14,96,
2015,4.2,0,,83,29,38,,60,90,315.5,10,0
2016,120,0,60,0,360.08,,30.1,240,298,15,124,22.8
2017,0,0,38.5,2,0,10,40,66,133,0,0,91
2018,10,0,0,11,73,0,0,62,292,29,0,40
