Year,January,February,March,April,May,June,July,August,September,October,November,December
1964,,,15.2,2.7,,16.5,,12,153,54.5,23,10.5
1965,6,14,15,31,77,65.5,10,44,165,3,18,74.5
1966,43,62.5,36,63,112,151.5,6.5,53.5,91,53.5,19.5,0
1967,20,30,56,7,11.5,4,0,282.5,,43.5,50,22.5
1968,12.5,23,1,40,79,64.5,95.5,55,115,114,23.5,0
1969,2.5,18.5,14.5,19.5,60,55,17,93,83.5,95,27.5,17
1970,18.5,69.5,2,22.5,20.5,34.5,56.5,44.5,152.5,65,0,0
1971,3.5,2,0,0,25.7,76,32,113.5,235,70,18,11
1972,3,15,10,21,109.8,132,32.5,11.5,53,54,15.5,2
1973,23,35.5,0,22.5,10.5,173,45,81.5,63.7,57.5,11,25.5
1974,5.5,0,12.5,2.5,33,57,6.5,7.5,240,40,0,5
1975,14.5,14.5,4.5,64.5,65,0,124.5,168,201,8,3,
1976,4,2.5,37.5,55.5,45,101,405.5,49,99.5,52.5,92.5,18.5
1977,14.5,38.5,4.7,34,17,72.5,2.5,70,80,58,9.5,6
1978,15,12,0,35,8.5,25,11.5,102.5,247.5,142,38,4
1979,0,0,46.5,15,57,155.5,32.5,11,96.5,0,17.5,68
1980,7.5,8,3.5,0,91,4,39.5,97,68.5,52,35,12
1981,69,29.5,34,145,99,87,57.5,71.5,76.5,16.5,6,0
1982,0,11,16.5,58,81.5,12.5,4.5,21,43,8,,61
1983,26,42.5,21.5,0,112,20.5,123,99,63.5,35.9,3.5,3.5
1984,52.5,0,2,0,51,40,42,7,91.5,31,9,19
1985,25,22,10.5,97.5,60,41.5,4.5,43,48,105,3.5,5.5
1986,0,1.5,0,54.3,117.5,120,3.5,8.5,148,52.5,72,127.5
1987,28,26.5,29,48,28.5,76,89.5,49,105.5,42,11,3
1988,31,32,11,22,111.5,172,21.5,193,294.3,26,0,6
1989,,17,0,0,7.5,0,32,64.5,62,23,16,26
