Year,January,February,March,April,May,June,July,August,September,October,November,December
1971,3.5,0,7,0,7.6,2.3,26,100,83,98,12,5
1972,9,7,20,18,51,132,116,58,10,28,16,0
1973,33,23,0,60,30,,51,124,126,31,0,7
1974,8,0,22,18,10,61,66,5,186.2,14,1,2
1975,0.3,0,0,0,28.9,51.5,128.1,75,124.5,43.5,5.5,15
1976,7.1,0,27.5,75.8,65.5,19.8,113.9,43,129,13,25.8,22.8
1977,2,8,0,61.5,51,12.5,36,110.5,230.5,75.5,1.5,0
1978,3,8.4,43.5,35.5,34,46.5,85.5,44,327.5,58.9,8,9.5
1979,4,6.5,7.3,59.1,53.8,105.5,45.9,51,57.9,4,3,57.5
1980,17.5,47,1.5,26,72,15.5,62.3,18.5,72,52.7,20.5,38.5
1981,48.8,11,24.5,49.4,130.3,211.1,59.3,135.2,134.8,27,16.5,4.5
1982,0,21,8.5,81.2,76.3,0,10.5,12.3,68,57,1.5,21.3
1983,19,1.4,0,0,111.2,16,137.6,,33.5,11,11,
1984,105,0,3,0,57,50.9,76.5,40.5,159,0,0,4.5
1985,11,12,0,84.5,19.5,42,25,78,59.5,71,0,22
1986,0,4.5,4,49,7.5,128.5,21.5,8,120.5,127.5,17.3,32.5
1987,55,13,11,31.2,113.5,128,30,37.5,58,12,12.5,4
1988,25,19.5,6.5,57.5,58.2,63.5,58.5,187.5,129.5,10.5,4,7.5
1989,11.6,6,2,32,16.5,9.5,27,88.5,39.5,23,17,63.5
1990,3,15,15,18,54,13.5,79,42.5,120,66,1.5,0
1991,1.5,22,1,4.5,21,90.5,120,53.5,141,35,7,47
1992,105,12.5,62.5,43,84.5,20.5,36,57,85.5,49,28.5,13
1993,5.5,4.5,10,4.5,59,80,12.5,15,388.5,9.5,46,10
1994,28,0,14,21,23.3,14,27,88.5,43.5,76.8,6,42
1997,,,,,,,4,33,88,79,,7
1998,2.5,1.5,3.5,7,16.7,6.5,25.5,51.2,109.5,53,0,0
1999,0,4,0,0,0.5,29.2,108,11,140.3,32.5,7.5,5
2000,5,3.5,2.5,1.5,4.5,51.2,2,58.5,70,134,7.3,13.3
2001,6,2,17.5,37.2,43.5,59.4,51,156.5,340.5,20.5,23.5,1
2002,8.5,21,0,49,70.8,83,65,13.9,85.3,64,6,0
2003,20.5,12,18,38.5,43.5,18,40,125.2,43.5,146.8,0,0
2004,13,12.5,47,35,41.7,34,14,64.6,58.6,27,2,4.5
2005,2.5,64.5,35.5,49,52.3,3.5,141,29.2,116,98,9,9.5
2006,5,0,19.5,65.5,46,25,36.5,81,55.8,46,20,
2008,0,3,8.5,64,141.5,39,52,75.5,256,48.5,2,1
2009,4,0,8.5,3,61.5,3.5,0,7.5,33,46.5,54.5,
2010,9,20.5,2.5,69.5,28,157,331.5,14,133.5,16.5,0,0
2011,10,0,4.5,0,2,237,114.5,22,59.7,39,9.5,5
2012,9,51,17,5.5,35.5,85,62.5,43,14,35.5,12.5,0
2013,59.5,3.5,0,30,97,28.5,69.5,82.5,437.5,18.5,52.5,131.5
2014,16,16.8,41.2,55.6,114.1,116.3,27.3,30.6,219.2,48.8,33.4,3
2015,33.2,22.6,85.1,34.4,68.8,97.7,4.5,48.8,44.6,102.5,3.9,3.8
2016,42.1,0,21,26.8,79.5,67.1,45.7,58.8,83,84.8,80.4,1.2
2017,2.2,0.9,33.8,12.3,20.2,26.7,83.8,62.3,90.5,82.1,3.8,11.5
2018,19.8,5.1,18.9,99.9,15.7,24.4,7.8,18.8,144.33,76.8,21,2.5
