Year,January,February,March,April,May,June,July,August,September,October,November,December
1942,0,6,0,0,13,69,105.3,34,56,58.6,0,0
1943,6,0,4,6,6,18,40,18.2,30,,0.3,73.5
1944,21.5,17.7,18,0,5.1,34,16,72.5,7.5,0,,
1945,,,,0,20,42,46.1,4.3,20.5,20.5,0,8
1946,8.8,1.7,0.4,79,1.9,19.5,4.8,63,4.7,10.3,26.5,22
1947,22,0.2,0,7,9.1,21.5,30.5,55,13,13,11,22
1948,8,14,2,13,9,65,64,57,149,41,0,0
1949,0,2,3,14,7,37,81.5,75,61,25,0,15
1950,0,0,34,12,9,,34.5,31.5,54.5,17.5,0,0
1951,0,0,28,12,13,13,35.5,52,171,42,14,2
1952,0,0,0,19.5,4.5,92,,13.5,4,0,,1
1953,0,10,11,11,3,25,56,72,15.5,49,2,26
1954,0,7,0,36.5,21,14,47,58,6,12,0,0
1955,2,1,0,1,61,27,84,69,16,0,19,0
1956,0,0,0,21,11,,21,29,20.5,1,18,22
1957,0,22,11,,25.5,30.5,31,50,56,10,20,12
1958,16,15,8,14,13,63.5,44,44,186,101,21,10
1959,15,63,0,18,52,34,,58,78,112,13,5
1960,7,10,1,17,5,24,60,150.5,18,65,22,35
1961,1,0,6.5,10,27,54.5,72,13.5,48,1.5,2,0
1962,0,8,0,12,23,39,45,74,40,24,11,22
1963,2.5,3,0,20,89,77,37,29,107,20.5,10,12
1964,33,0,4,1,64,50,31,64,82,1,36,27
1965,4,16,0,38,26,82,93,34.5,53,33,31,46
1966,31,6,11,17,97,18,71,80,31,25,0,12
1967,0,31,33,29,0,30,90,82,226,67,0,2
1968,31,23,8,33,40,15,79,75,124,41,20,6
1969,8,6,0,4,8,38,120,43,26,5,29,40
1970,28,24,2,0,12,139,100,68,62,3,0,0
1971,4,0,1,0,28,138,9.7,121,111,50,0,15
1972,7,1,0.8,57,68,54,175,73,64,33,4,2
1973,18,11.6,0,6,22,58,34,100,106,21,0,5
1974,1,0,20,13,16,4,16,28,38,18,11,17
1975,10,69,0,1.5,44,291,70.1,88.5,212,8,0,34
1976,20,0,10,315,203,120,103.9,187,82.8,81,120.3,322
1977,23,2,1,37.5,143,268,268,552,153,75,9,0
1978,5,55,0,159,118,51.7,82.7,69.1,239,27,3.2,5.7
1979,4,31,39,3,17.8,96.6,,,,,,
1982,30,31,56,23,,,,,41.1,71.5,78.5,90
1983,,,,,67,23.5,,,26.5,15,2,
1984,,1,0,0,20.5,40.5,47.5,51,,65.5,1.5,
1985,23.5,11,2.5,12,30.5,4.3,,0,,,,0
1988,0.3,12.7,2,29,23.5,36,160.5,104,41,0.6,0.5,0
1989,0,0,0,6,2,8.8,21,38.3,,,,
1991,,0,0,0,0,0,5.5,0,53,3.5,2,34
1992,72.3,7,13.5,12,72,2,79,36,47,0,18,20
1993,5,4,4,0,18,133,27,89,60,10,10,5
1994,0,0,7,26,0,14,38,9,10,30,0,15
1995,5,3,0,0,3,10,20,95,23,18,0,
1996,0,0,0,2,16,25,57,85,21,0,0,0
1997,4,0,,56.2,17.1,53.8,96.6,15,31.2,85.8,29.5,16.7
1998,0,0,1.1,0,2,18.5,54.8,55.1,88.1,31.4,0,0
1999,0,0,0,6.3,6,39.5,,,,,,
2000,,,,,,,,48.5,0,55,55.5,7
2001,,,14,0,17.5,,17,25.5,,,,
2002,0,,,77,8,14,60,50,110,88,64,
2003,31,,,,,,,,,,,1
2004,19.5,12,8,6,27,105,20,121.1,2,13,92,0
2005,5,221,13,0,54,14,196.3,216.8,23,0,0,0
2006,0,2,3,4,7,115,41,30,82.6,10,2,8.4
2007,0,0,3,,25,30,23,20,0,0,0,0
2008,0,0,0,0,6,4,23,30,0,6,0,
2009,,,,,6,,0,0,0,0,0,
2010,0,2,0,0,0,41,7,2,0,0,,
2011,0,0,0,0,,7,7,,1,1,0,0
2012,0,9,0,4,,4,,9,10,,,
2013,2,,,,119,13,49,4,36,2,,
2015,,,,0,92,325,110,,,,26,0
2016,273,0,222,40,368,401,522,419,150,0,125,47
2017,0,0,129,19,19.3,0,0,86,203,33,0,97
2018,0,170,0,0,45,9.9,19.8,9.8,70.2,22.9,3.7,11.8
