Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,15.5,4,5,10,109.5,0,38,,79,59,29.5,28.5
1981,74.5,6,12,63,189,214.3,21,,94.3,100.9,1,8
1982,0,,28,100.6,148,0,6,27.5,164,112.5,41.5,
1983,30,46.5,36.5,0,,,139.5,180,230,,18,5
1984,169.5,3,,,,,51,,,,,
1985,36.5,17,1,192.5,62.5,183.5,3.1,53,35,13.5,0,43
1997,,,,,,,37,21.8,77.6,127.9,28.5,12.5
1998,0,3.5,39,8,0,15.5,26.5,81.7,222.9,86.4,26,4.4
1999,0,10,23.8,50.7,61.2,265.3,159,4,159,102,11,27
2000,14,13,49,17.5,162,25,10,84,104.8,113,,
2001,,16.5,48,27,69.9,81,131.5,75,297.5,54,52,0
2002,5,18,37,21.5,27.5,194,71,104,275,197.5,18,0
2003,71.5,9,19,23,11,75,53,294.5,298.5,207,3,20
2004,8,9,110,75,80,84,55,106,182.5,60,6,4
2005,14,70.5,31,7.5,67.5,0,367,15,66.5,307.4,3.5,13.5
2006,0,5.5,15,0,87,13,74.3,16,217,36,21.5,
2008,10.8,5,21,84,103,26,138,136,214,122,0,10
2009,3.26,0.4,9,50,72,54,3,112,150,68,70,47
2010,15,21,4,224,105,52.2,161.5,29,258,0,27,0
2011,33,0,16,11,20,96,116,33,37,50,5,28
2012,6,83,35,130,13,69,2,35,44,71,95,
2013,33,2,9,19,88,,93,32,372,22,52,159
2014,13,19,49,13,148,14,37,60,268,80,58,47
2015,41,43.8,2,41,144,80,0,64,101,84,36,4
2016,60,1,53,68,173,159,6,44,78,133,24,16
2017,17,8,109,43,135,105,22,49,75,92,3,19
2018,28,7,3,85,189,92,12,7,307,20,19,6
