Year,January,February,March,April,May,June,July,August,September,October,November,December
1961,25.8,3,59,19.5,87.3,449.8,29.3,114,114.9,47,25,5.2
1962,21.1,3,13.3,27.9,32.7,120.7,0,67.5,127.7,93,59.7,36.8
1963,1.5,12,8.1,105.5,174.7,38.1,66.2,86.5,225,114.5,48,65.2
1964,4.3,10,45.1,36,187,27.2,77.8,30,213.6,50.7,12.8,0
1965,23,11.5,15,41,2,103,30.3,22.5,149.1,44.5,35.3,32.3
1966,66.5,61.2,25.2,110.7,116.5,238.3,76.8,122.5,86.7,166.2,13.6,0
1967,16.1,25.4,72.4,48.8,9.3,55.4,60.1,571.7,276.2,60.5,33.3,8.5
1968,35.7,23.1,30,149.8,54.5,148.6,73.8,159.3,88,144,17.5,0
1969,11,,53,85.5,49.5,,31.5,185.5,,152,76,14
1970,4.5,71.5,2,40.5,94,88,162,97.5,249,41,0,0
1971,26,0,3,12.5,47,77.7,33,144.5,186.5,219,13,7
1972,8,10.4,82.5,57,215.5,433,114.5,26.5,151.5,58.5,9,11
1973,52.5,54.5,2,65.5,109.5,247.4,45.5,218,105.5,140.5,12,16
1974,4,0,81.5,0,48.5,90,70,22,371.5,34,5,2
1975,7.5,26,2,16,197.5,73.5,185.9,243,105,24.5,2,39
1976,7.5,2,59,60.5,81,52,280,96,315,126,104,44
1977,23.5,23,5.5,125,106,2,68,77,266,45,9.5,7.5
1978,21.5,19,28,34,134.5,67.5,65.5,165.5,640,257.5,13.5,11.5
1979,13,15,7.5,73,32.5,131,54.5,111.5,149,5.5,8,110
1980,10.3,9,2.5,19.5,91,26,7,135.5,134,93.3,38.3,7.1
1981,104.5,11.9,27.6,139.6,132.8,211.3,42.9,199.4,203.6,54.2,10.3,9.3
1982,0,,12.1,86.8,39.4,0,27,31,16.1,82,9.9,
1983,32.4,31.5,52.8,0,196.7,14.5,145.9,132.8,,66.2,45.5,
1984,178.2,4.5,158.7,,210.3,,75,,,,,
1985,31.4,23.1,9.6,140.1,138.1,79.3,0,221,27.2,71.1,27.3,34.2
1986,1.5,23,38.5,144.8,155,172.7,2.7,40.3,171.2,78.9,99.4,60.3
1987,47.1,34.4,41,41.4,104.5,134.3,89.7,71,260.3,98,11,11.5
1988,35.9,15,22.2,50,108.1,90.6,72.8,378.8,386.3,14.4,3.5,2
1989,33.5,17.4,0,29.6,16.4,95.2,53.7,264,165.7,116.7,11.6,
1990,45.5,42.2,42.5,95.8,91.6,3.5,63.3,207,191.4,78.5,10.4,2.7
1991,,87.5,30.6,61.9,50.7,155.3,49.3,132.5,206.4,24.4,37.7,
1992,126,22.4,32.4,38.7,104.8,43.8,8.7,147.6,57.9,142.9,48.7,17.5
1993,26.8,29.3,29.7,64.1,79.3,241.1,9.4,14.1,257,23.4,24.2,22.4
1994,61.4,17.9,32.4,35.2,51.9,33.4,74.5,152.2,138.4,38.3,38.8,
1995,6.1,19.3,41.7,,111.6,77.7,105.8,328.4,59.7,83.9,59,
1996,7.3,2.1,3.1,20.9,1,34.8,7.8,271.5,164.9,77,,16.6
1997,16.6,19.9,40.2,114.5,69.4,4.8,9.7,42.4,79.6,353.9,10,
1998,,14.3,24.1,4.2,0,17.2,61.6,119.9,207.4,65.5,,
1999,0,0,32.7,,36.7,,136.6,7,143.2,56.9,1,
2000,4.7,24.3,13,4.2,101.6,50.5,21.3,95.7,194.5,203,32.7,
2001,9.2,13.1,34.1,52.5,36.3,111.7,127.4,35.7,465.6,57,45.7,
2002,3.5,17.2,32.4,27.9,10.8,204.2,81.7,32.8,350.9,154.6,22.3,
2003,79.1,13.1,35.6,16.1,86.3,181,31.6,193.2,339.8,148.9,3.8,
2004,5.6,10.4,107,113.2,73.9,63.8,41.3,75.3,260.8,50.9,3.5,
2005,9.7,73.4,43.2,28.4,72.9,9.3,398.2,7.1,101.8,324,47.9,
2006,1.9,10.2,13,28.3,54.4,4.2,93.7,22.4,236.6,50.2,58.1,
2008,23.3,10.4,16.2,,,,,153.9,378.5,82.7,4.3,7
2009,32.3,7.3,7.9,36.2,108.5,53.1,12.5,94.7,242.6,158.8,117.9,
2010,45.8,28.8,8,218.6,74.5,275.9,402.5,50.3,407.1,11.1,0,
2011,21.4,0,42.4,3.2,18,103.5,84.3,55.4,53.7,48.6,20,
2012,12.7,96.2,39.3,31,57.1,83.5,22.2,53.5,125.3,63.1,103.4,
2013,31.1,0.3,25,23.1,66.6,28.5,89.6,120.2,538,20.1,65.7,
2014,20.7,9.7,30.5,16.4,97.5,42.8,44.6,65.7,384.4,53,60.8,
2015,52,55.9,147,133,132.7,144.4,0,58.7,89.4,115.6,25.4,
2016,32.6,0,43.6,74.2,176.5,66.6,5.8,194.1,201.8,73.8,123.1,4
2017,16.7,84.8,74.3,45.5,83.1,7.7,35.6,68.1,127.1,122.8,6,
2018,34.8,24,1.5,92.9,76.9,90.8,42.1,44.6,464,52.8,25.4,
