Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,5,19.1,40.5,11.3,84.1,4.8,32.5,79.2,306.3,111.8,1.5,0.4
1949,21.4,22.4,83.4,198.1,28.8,76.9,6.2,77,58,102.8,2.7,76.1
1950,0.2,11.5,75.5,33.8,21.1,77.5,40.2,18.1,102.1,147.6,8.2,0
1951,17.8,1,67.8,17.6,268.4,85.9,2.8,155.5,232,137.5,1.8,5.8
1952,2.5,6.8,59.8,68.9,63.6,62.8,67.1,4,44,47,33.8,1.2
1953,0,16.1,26.1,7.5,3.4,13.2,36.7,332.8,69,157.6,1.5,21.9
1954,88.7,14.4,0.5,40.6,50,14.7,58.3,43.7,113.9,135.2,51.5,0
1955,15.5,58.1,5.8,8.7,78.3,31.9,46.2,140.5,401.8,20.2,14.9,2.5
1956,2.2,9,8.3,70.4,123,27.8,9.8,41,50.7,,45.2,2.2
1957,6.7,40.3,32.2,208.5,167.2,92.5,0,47.9,97,219.2,19.5,15
1958,14,69,8.5,28,157,52.5,25,47.2,211.5,207.5,33.5,9.5
1959,22,40,10.5,39,99,95.5,30,47.5,42.4,57.1,13.5,1.2
1960,5,15,13.1,31.1,14.3,58.6,14.7,107.9,189,71.2,32.3,22.3
1961,23,2.9,49,25.4,22.3,163.5,31.4,145.4,94.4,30.9,26.5,3.9
1962,4.7,2.9,13.8,34.2,45.2,149.2,3.5,6.7,89.2,43.5,37.6,30.9
1963,6.8,4.4,5.3,29,94,12.1,6.9,42,261.6,49.2,19.8,63.7
1964,8.9,6.6,54.8,50.9,269.9,,102.3,38.1,131.6,85.5,9.1,12.7
1965,13.1,28.3,13.7,33.4,9.7,55.8,8.8,148.6,233.4,37.2,32.4,57.3
1966,58.3,54.5,18.6,95.3,212.9,161.1,59.1,233.5,56.5,212.6,11.1,0.3
1967,20.8,18.4,59,24.3,6.1,136.3,41.1,447.9,241.3,34.5,54.8,11.9
1968,22.8,27.7,26.5,139.9,135.1,166.3,36.5,118.6,79.6,40,22.1,5.2
1969,10,,18,101.9,,99.7,34.2,137.1,228.9,184.8,67.9,5
1970,1.9,58.2,3.8,19.5,128.1,49.9,84.9,118.3,228.4,31.4,0,0.8
1971,,0.4,0.2,3.5,45.7,115.9,35.4,107.6,232.4,150.1,13.1,10.8
1972,,5.5,54.8,63.6,233.3,317.6,66.5,22,96.4,81.6,14.2,5.6
1973,55.1,40.2,2.2,78.4,97.6,451.4,73.4,262.5,94.6,187.5,13,22.7
1974,15.6,0,28.3,18.2,28.9,56.7,73.1,4.6,261.7,8.8,5.9,
1975,6.8,21.4,0.3,20.1,146,14.1,363.7,248.2,122.1,21.1,3.6,35.1
1976,6.8,6,61.4,99.3,85.5,106,260.2,83.7,299.2,60.5,104.5,21.3
1977,24,22.5,9.5,77,89.5,40.5,3.5,31,193.5,58.5,19,16.5
1978,19,18,5.5,20.5,147.5,107,17.5,46.5,446.5,362.3,15.5,22.5
1979,12,15,2.5,42.5,17,110,44.7,142.8,112.1,0.6,9.5,102.9
1980,8.9,5.7,3.4,12.3,99.8,5,17.9,44.9,82.1,81.9,39.7,16.2
1981,100.9,9.6,31.2,142.7,177.2,336.2,17.9,187.6,93,58.3,5.9,
1982,0,19.1,15.6,176.2,68.9,1.4,1.8,19.9,98.4,84,24.3,48.3
1983,34,55.7,46.4,0,265.6,9.7,186,138,132.6,49.4,39,9.7
1984,157.5,5.2,0.9,0,150.3,79.5,121.1,91.9,195.8,11,5,34.6
1985,38.1,9.8,3.7,148.2,128.3,88.9,19.6,26.4,34.2,139.7,8.9,46.2
1986,3.4,25.2,9.7,93.1,213.1,330,9.2,38.8,90.9,115.5,62.6,67
1987,67.3,26.8,33.9,30,65.3,232.1,158.2,66.9,154.8,45.6,8.1,5.9
1988,33.5,18.1,22,28.5,86.3,159.6,44,331.5,409.8,5.5,1.7,2.8
1989,17,16.4,0.4,20.9,4.5,58.1,52.6,72.8,94.3,30.5,7.2,87.1
1990,18,28.7,31.5,35.8,64.1,32.6,120.3,9.4,212.1,81.5,7.3,11
1991,12.5,86.8,29.2,3.2,75.8,133.4,87.7,1.7,143.7,100.9,38.6,41.5
1992,116.2,9,66.6,56.1,168.5,0,3.4,189.8,100.2,73,30.7,14.7
1993,15.3,37.7,53.7,28.8,80.3,250.3,7.6,23.5,329.7,13.4,40.8,11.6
1994,74.1,25.8,26.6,56.5,30.6,65.8,85.1,177.5,109.94,34.5,20.1,37.4
1995,28.6,24.2,29.5,8.8,58.8,104.8,,299.7,31.1,27.8,53.3,20.7
1996,5.3,6.5,2.7,13.8,4.4,25.7,6.6,136.9,57,89.5,9.7,4.3
1997,21.6,14.8,,156.4,135.31,87.9,24.5,43.7,26.7,101.1,11.6,4.8
1998,5.9,3.2,30,3,0.5,30,5.8,61.9,199.4,75.1,25.4,4.8
1999,0,6.7,16.5,12.4,89.8,255.1,169.1,4.9,98.3,64.8,7.2,29
2000,2.4,8.1,21,17.2,132.7,25.7,0.5,46.7,58.7,146.7,16.3,32.1
2001,17.6,5.6,38.4,78.5,104.9,97.3,91.3,93.3,371.4,60.6,,
2002,7.5,20.1,34.8,34.1,39.2,191.7,16.8,27.6,219.4,185.4,17,
2003,68.8,12.8,45.1,8.2,107.8,88.3,49.7,359.5,468.6,156.6,,
2004,9.2,8,45.9,124.2,51,56.3,30.2,122.8,294.9,35.5,,
2005,10.3,85.6,36.8,,41.8,2,389.7,88.4,71.7,285.1,,
2006,1,7.7,15.6,5.1,58.1,2.4,69.7,8.2,255.7,116.3,,
2008,29.9,10.1,22.4,51.5,104.8,40.2,168.8,176.1,294.3,175.7,,7.2
2009,34,17.1,10.2,52,62.9,36.4,0,,271.4,93,88,
2010,27.9,34,7.4,206.2,54.8,217.8,199.4,15.1,344.3,0,0,
2011,25.1,0,16.5,34.6,24,94,95.7,46.2,34.7,49.8,17.5,30.9
2012,4.3,95.6,20.4,43,14.5,89.2,29.3,109.8,70.3,51.5,68.5,0.7
2013,37.8,1.3,15,31.9,119.3,25.8,135.2,106.9,370.2,21.6,57.2,172.8
2014,28.5,18.6,32.3,22.2,152.7,59.3,87.6,55.3,296.2,101.5,70.7,56.4
2015,52,50.9,176,53.5,294.1,67.1,8.3,58.5,118.6,156.3,43.9,7.1
2016,61.4,0,68.9,172,163.6,95.9,12.7,63.1,113.1,101.3,63.8,20.3
2017,19,8,76.9,58.6,142.5,102,46.1,31.8,174.9,152.3,3.8,33.5
2018,53.5,46.3,1.9,110.8,103,96.5,18.9,19.3,243.5,56.1,24.5,14
