Year,January,February,March,April,May,June,July,August,September,October,November,December
1965,15,22,0,89,57,23,63,66,66,47,30,80
1966,65,45,23,58,118,53,156,92,80,25,18,5
1967,70,0,82,33,5,25.5,72,134,77,28,25,10
1968,18,40,64,75,45,25,90,103,85,31,0,8
1969,16,11,1,4,10,41,37,50,45,20,4,10
1970,20,13,0,0,30,54,10,100,33.5,15,0,0
1971,0,0,7.5,0,66,202,35,100,78,156,5,6.5
1972,3.5,4,29.5,23,89,129.5,138.5,48.5,45,84,30.5,4
1973,52,22,0,1,86.5,121.5,46,144,133,22.5,0,5
1974,2,0,21.5,13,2,21,49,150,45.5,11,0,7.5
1975,12.5,8,0,0.5,18.5,62.5,140,68.5,21,14,0,52.5
1976,0,0,2.5,27,36,14,212,27.5,115,34.5,136,72.5
1977,21,2.5,0,49,45.5,81,33.5,70,39,17,0,0
1978,5,17.5,14.5,22.5,90,34.5,91.5,64.5,116.5,69,4,10.1
1979,11,8,7,42.5,38,120,21.5,52,2.6,0,1,84
1980,15.5,16.4,0,4,13.5,9.5,70,52.5,8,85,41,17
1981,86,15,21.5,48.1,147.8,68,28,25.5,98.8,42,0,5
1982,0,2.5,0.5,66.5,27.5,12,66,36.5,38,138,32,5.5
1983,26,0,6,0,,10.5,64.6,75,73.5,4.5,1,0
1984,146.5,10.5,3,0,23.5,113,51.2,64.2,192.1,17,0,
1985,,12.5,1.5,68,24.5,110.5,69,41.5,14,43.5,14,8.5
1986,0,16,0,70,42.5,191,120,44,28,56.5,85.5,40.5
1987,65,,,,,,102.5,35.5,63.5,5.5,15,22.5
1988,10,3.5,7,75,,22.5,87.5,115,36,3.5,,
1989,,,,,,,,47,7,0,34,34
1990,45,40,56,34,108,47,120,50,27,0,0,0
1991,0,0,0,0,0,67,98,14,82,10,0,37
1992,10,0,1,7,10,10.5,0,0,,0,0,0
1993,0,0,0,0,33,142,33,7,80,8,22,7
1994,6,0,16,0,49,123,3.2,41,32,40,13.2,26
1995,12,0,0,0,28,0,54,73,51,15,14,20
1996,0,18,0,0,0,13,61,21,62,5,0,0
1997,10,38,43,105,45,43,44,54,10,31,32.3,0
1998,8,0,0,0,0,23,8,69,49,0,0,3
1999,0,0,2,0,7,25,18,37,19,11,0,0
2000,0,0,0,0,19,44,8,48,7,24,44,3
2001,8,25,0,56,33,14,0,9,34,3,18,
2002,0.5,15,0,11,8,4,105,21,19,89,14,1.8
2003,34.2,5.6,21.3,0,21,40,143,17,179,40,0,4
2004,30,10,0,0,0,79,80,33,55,0,17,0
2005,20,20,0,0,15,26,159,82,37,98,7,5
2006,23,0,2,66,40,33,60,63,105,63,0,40
2007,18,18,2,8,29,101,146,32,74,0,0,0
2008,20,0,0,10,31,13,78,204,91,15,0,0
2009,28,0,11,8,35,29,75,13,,,,
2010,,,10,49.8,72,15,97,66,49,5,0,0
2011,1,0,0,2,3,11,27,5,56,10,0,0
2012,5,65,2,4,18,20,100,29,64,2,2,18
2013,66,0,0,15,58.8,73,113.8,26.5,39.7,75.6,22.4,119.5
2014,22.8,1.3,28,39.2,75.3,196.1,88.4,46.6,70.6,25.8,95.3,41.7
2015,14,47.2,128.9,32.6,160.3,156.3,25,22.7,42.1,72.2,13.1,3.3
2016,36.6,1.6,19.9,10.3,92.6,37.2,61.2,124.4,20.9,30.1,40.4,0
2017,13.5,0.8,70.5,53.5,18.7,36.6,104.2,71.8,95.5,4.8,0,48.6
2018,0,29.8,1,56.6,18.7,85.8,79.7,29.1,177.4,17.4,14.7,20
