Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,,,0.3,41,120.5,24.5,38.1,83,75.6,5.5,15,3.5
1957,0,29,5,13,55.5,63.5,4,50,34,34.5,3,2
1958,15,19.5,9.5,12,41.2,125.2,25.8,57.8,73.5,234.8,49,
1959,,,,,,98.8,50.5,29,39.8,92,6.2,16
1960,3,,0,1,10.8,,33.5,112.8,,,,
1962,,,,19.5,0.7,77,0,12,,,18,16.5
1963,0,0,3,43,98.9,121,3,63.4,136,52.3,30,
1964,,12,15,,,,,,181.5,14,28,28
1965,2,,,,21,6,15,24.3,98.2,33.5,7.8,24
1966,37.9,24,13.1,38,53.5,256.5,152,103,12.8,144.4,9.5,3
1967,,,,,5.5,43,20,305.9,311,19,19.5,57.5
1968,15.7,35,0,23.4,34,58.5,43.8,45.5,51,38.5,0,6.8
1969,4,22.5,1.5,8.5,37,72.5,83,177,63.4,12,18.5,20
1970,6.5,41.5,27,24.5,76,92.5,118.5,45.5,204.5,17,16,0
1971,3,0,5.5,0,27.5,22,105.5,147.5,140,15,11,0
1972,13,0,55,6,162,13.5,78.3,51.8,71.5,37,46.5,13.5
1973,33,17,21.5,44.5,68,390,39,55.5,34,49.5,26.5,13
1974,9.5,0,14.5,14,33.5,,13,5.5,80.5,154.5,0,7
1975,23,7.5,7.5,11.5,2.5,19.5,71.5,31,91,0,4.5,25
1976,23.5,9,24,31.5,17.5,18.5,170,42,190,60,69,
1977,,,,,,98,59,96.5,196.6,34.2,4,0
1978,9.4,6.1,10,17.9,18.9,26.1,53,117.2,335.6,69.8,0,3
1979,7,7,2,86,41,,72,73,35,0,,
1980,2,0,0,,,,,,166.5,127,47,10
1981,93,,17,,160.9,147.3,67.9,,82.7,19.7,5.1,0
1982,0,1,0,65.2,179.1,0,,71.6,68.2,120.3,17.8,
1983,41.8,14.8,20.1,,110.5,65.6,139.9,89.7,108.3,29.2,0,0
1984,140.6,8.3,,,73.4,30.2,72.7,,,,,
1985,45.1,3.7,25.7,68.9,86.8,76.1,15.5,57,106,0,0,
1986,0,,,,,247.1,,31.5,10,,,
1987,,,,,,,,,,,8.7,0
1988,41,0,0,51,54.3,49,139,173,36,,,
1989,0,0,13.5,0,0,0.4,0,0,,,,
1990,,,,,,,,62,,365,0,0
1991,0,12.8,0,0,0,0,,,315,124,0,56
1992,178,33,8,41,104,28,42,155,130,33,59,27
1993,0,,0,0,63,100,71,3,181,66,15,63
1994,4,0,0,25,105,95,39,42,85,39,0,49
1995,5,0,0,0,41,11,11,111.9,45,0,5,
1996,0,0,0,0,0,46,12,160.9,29,72,0,0
1997,34,12,70,93,45,11,55,107,157,71,2.9,7
1998,0,0,0,4,8,54,52,57,81,47,0,0
1999,0,0,3,10,14,92,72,26,,62,0,0
2000,0,0,14,3,17,62,32,56,109,77,40,11
2001,0,38,50,22,23,46,15,119,250,27,10,10
2002,7,13,0,37,85,28,84,55,175,60,21,0
2003,17,25,8,0,26,72,76,122,143,81,0,0
2004,7,0,90,25,0,141,114,65,97,7,9,0
2005,4,40,31,0,48,19,329,57,25,36,20,4
2006,3,0,19,4,42,38,110,36,,,,
2008,0,0,0,47,42,11,72,119,235,35,0,0
2009,0,0,17.5,13,56,44,0,36,90,76,4,25
2010,0,6,0,92,66,387,392,,,12,37,0
2011,36,0,24,30,0,218,31.4,37.7,29.2,6.5,9.5,36.5
2012,12,56.6,15.1,11.1,38.4,77.8,33.3,70,155,0,4,
2013,30.8,0,0.2,8.1,78.5,43,49.6,108.1,542.3,50.3,55.8,111.9
2014,21.8,3.8,32.3,14.7,30.1,93.9,88.48,63.3,306.6,39.2,74.4,24.6
2015,12.3,50.3,87.3,89.5,52.3,38.1,11.2,58.1,25.1,77.2,11.2,0.9
2016,49.8,0,27,38.3,129.1,43.8,98.5,114.4,15.6,81.1,62.5,21.9
2017,11.2,3.6,41.2,13.9,63.8,38.7,38.6,81.8,153.8,73.1,0,118.3
2018,3.3,49.2,0,76.3,33.6,61.8,65.1,101.1,285.9,21.1,12.3,15.6
