Year,January,February,March,April,May,June,July,August,September,October,November,December
1961,1.3,0,0.8,11,0,12.2,34,16.4,100.2,97,24.1,1.7
1962,0,0,30.2,101.3,55.2,94,12.3,36.5,76.2,1.5,30,20.3
1963,0.4,1.2,0.9,81.6,77.3,118.5,1.4,,228.6,146.7,,25.2
1964,33.5,0.7,3.8,,131.4,8.2,17.9,,33.6,56.3,34.1,4.9
1965,11.5,5.6,14.2,22.5,69.4,10,0,18.3,87.5,30,36.7,56.2
1966,49.1,42.4,33.2,133.7,131.1,279.3,21.3,205.1,41,39.9,0,14.2
1967,7.8,14.7,27.4,3.9,1.5,69.8,8.4,,409.6,25.7,39.7,3.9
1968,15.4,19.3,15.2,162.3,199.7,65.1,101,,,,,
1970,,,,,,,,,,45.6,0,2
1971,23.6,0.5,0,0.3,16.1,97.8,92,91,177.8,101.4,0,11.5
1972,0,15,11.6,13.6,129.3,287.4,50.9,25.6,166.5,41.7,30.2,6.5
1973,20.9,36.9,0,8.8,24.3,411.3,95.7,100.7,302,110.3,12.9,17.3
1974,24.8,0,10.8,3.7,49.8,57.8,1.4,2.2,105.6,67.7,2.6,6.4
1975,20.4,9.9,5.4,35.6,192.8,32.9,207.3,95.9,203.7,29.4,0.2,23.3
1976,9.1,,23.2,80.9,73.3,125.2,263.5,72.2,76.9,81.5,114.4,20.3
1977,15.5,31.1,4.5,13.6,109.3,20.6,20,103.8,98.9,37,7.4,11.7
1978,12.9,12.9,0,21.3,59.5,44.5,28.7,109.3,242.9,104.2,11.1,6.9
1979,5,1,2.9,,3.5,82.7,26,75.9,76.4,,0.8,45.1
1980,4.8,7.2,2.5,0,100.1,65.5,61.9,93.7,64.1,24.4,40.9,19
1981,65.3,25.5,57.8,99.7,178.7,102,76.5,89.7,59.9,59,1.5,3
1982,0,13.3,42.2,32.6,250.1,22.5,9.5,12.2,15.6,29.1,6.8,32.9
1983,36.1,120.3,21.7,0,,36.5,59.6,91.8,147.8,20.3,38.8,5.6
1984,143.1,,,,53.1,59.3,57.2,,,,,
1985,37.1,22.7,48.2,129.4,166.8,114.2,54.7,29.4,50.6,97.9,12.3,16.2
1986,6.2,5.3,1.1,119.8,223.4,220.4,0,4.6,88.5,60.1,25.1,31.1
1987,19.2,350,36.7,103,107.2,206,83.1,222.6,41.6,29.4,15.1,6
1988,37.7,26.6,50.9,60.7,67.1,59.4,159.6,229.8,297.8,171.6,0,1.5
1989,12.7,21.7,0.2,48.4,3.2,30.5,52,119.6,36.8,0,12.7,49.3
1990,1.1,10.2,27.7,38.3,8.3,,44.1,79.2,125.3,37.7,15.7,0
1991,19,,10,6.5,,,73.3,8,191.5,3.3,7.1,36
1992,115.6,24,10,86.8,147.9,0.4,18,111,71,1.5,61,10
1993,5,21,45,17,23.2,214.4,0,0.1,156,29,38,2
1994,49,6,42,21,29.3,40,10.1,10,56,34,9,26
1995,11,8.4,0.8,11,86.5,59,66.5,64.4,,,,
1996,2,0,0,14,0,23,12,148,57,68,12,7
1997,13,23,239,180,111,11,9,4,0,123,9,15
1998,0,0,41,0,35.5,26.2,35,142,162,20,72,0
1999,0,0,46,0,103,121,84,12,74,15,0,17
2000,9,3,15,57,157,49,23,24,56,116,10,18
2001,24,25,47,16,57,186,0,29,220,0,55,58
2002,0,0,40,13,0,25,252,85,151,139,54,2
2003,25,19,10,39,22,23,405,98,355,330.1,22,20
2004,19,12,113,185,98,16,20,57,279,345,18,12
2005,14,80,14,4,,0,456,2,51,217,31,35
2006,,8.6,1.2,5,128,31,34,196,238,117,,61
2008,20,8,5,11,18,15,253,498,159,10,8,5
2009,5,24,6,54,61,34,13,30,148,174,34,14
2010,46,43.6,22,345.3,141.2,159.8,335.6,8.7,309.1,2.8,0,0
2011,11.5,0,11.7,0,0,51.3,,,,,,
