Year,January,February,March,April,May,June,July,August,September,October,November,December
1947,,,,7.3,2.4,3,1.7,233.9,126.8,18.6,9.5,14
1948,8.5,25.6,65.6,22.1,108.2,46.1,20.3,82.8,344.4,65.4,0,0.2
1949,10.3,43,3.4,106.9,3.3,17.2,13.2,12.3,47.7,28.4,0,8.4
1950,0,14.3,26.7,34,47.8,59.2,25.5,3.2,1.4,,4.6,0
1951,0.9,0,20.1,46.1,120.9,34.3,13.2,22.6,160.1,83,4,5.5
1952,0,4.7,69.7,15.9,52.6,63,5,7.2,14.6,20,33.2,1.8
1953,0,18.5,24,14.4,0,1.4,45.4,476.8,62.5,127.1,0,10.8
1954,17.8,4.8,0.3,163.2,137.9,13.4,56.7,51.7,28.2,81.8,70.8,0
1955,21.8,4.7,0.3,1.3,51.3,0,37.1,58,223.5,27.1,16.3,3.3
1956,1.3,7.5,5.8,28.5,12.9,70.8,28.9,15.5,50,0.4,4.1,0.5
1957,0.2,12.8,2.8,141.6,65.7,32.9,0,0,59.4,93.8,56,24.4
1958,91,69.8,7.3,6,98.2,56.1,132.4,132.3,302,291.8,5.6,1.2
1959,0.3,35.1,0,13,29.4,6.4,21.5,59.9,51,87.8,11.6,
1960,1.2,48.1,2.2,10.3,1,0,108.5,162,148.6,68.5,1.5,11.9
1961,1.3,0,0.8,11,0,3.2,34,16.4,100.2,97,24.1,1.8
1962,0,0,30.2,101.3,55.2,94,12.3,36.5,76.2,1.5,30,20.5
1963,0.4,1.3,0.9,81.6,77.4,118.5,1.4,,228.6,146.7,,25.2
1964,33.5,0.7,3.2,,131.4,8.2,17.9,,33.6,56.3,34.1,4.9
1965,11.5,5.6,15.3,24.8,69.4,10,0,18.3,112.8,26.9,37.8,70.2
1966,49.1,42.4,33.2,135.2,131.1,279.3,21.3,205.2,41,39.9,6.6,14.2
1967,7.8,14.7,28.4,3.9,1.5,69.8,8.4,,409.6,25.7,42.7,3.9
1968,15.4,19.3,15.2,162.3,199.7,65.1,81,117.7,193.2,60.9,13.2,1.1
1969,0.2,3.3,10.9,13.1,87.2,16.8,0,97.5,96.3,91.1,21.3,3.5
1970,34.7,43.4,5.6,34,82.6,80.1,76.5,22.8,159.5,22.8,0,2
