Year,January,February,March,April,May,June,July,August,September,October,November,December
1958,,,,,113,36,3.7,21,129.9,194.5,12,8
1959,0,53,17,22,51,146,15.1,67,83,49,5.2,0
1960,4,0,10,4,0,59,37,54,163,89,34,7
1961,13,,44,15,36,25.4,55,71,133,35,18,0
1962,5,0,1,17,65,242,15,5,88,23,54,20
1963,1,1,2.5,53.5,105,39,69,17,212,96,14,71
1964,5,6,25,11,139,14,4,119,119,47,7,11
1965,13,25,,4,0,54,40,25,155,54,34,34
1966,50,60,43,128,204,131.5,29,71,75,54,2,106
1967,9,0,0,24,0,9.5,0,246,180,22,45,0
1968,11,25,27,78,116,27,51,68,16,52,10,0
1969,20,7,34,68,23,98,27,111,103,167,70,3
1970,0,26,13,10,116.8,22.5,108,68,174,9,0,0
1971,3,5,0,0,32,40,43,121,169,91,2,6
1972,8,1,55,59,213,223,150,2,41,33,0,4
1973,39,27,0,6,40,267,58,201,193,134,0,15
1974,18,0,7,14,77.5,83,30,0,22,17,0,1
1975,1,23,0,7,287,,131,142,146,0,36.5,35
1976,0,0,72,97,82,40.5,76.6,90,126,78.5,73,15.5
1977,5,16.5,3,49,104,20,57,21.5,164,13,38,8
1978,19,18.5,10,10,91,56,69,77,258,208,5,13
1979,4,10.5,8,10,25,160,2,108,195,0,0,93
1980,6,4.5,0,34,173,2,,91.5,24,86.5,62,24
1981,107,0,20.5,94.4,289.5,187.5,33,121.5,93.5,44.5,,20
1982,0,0,30,33,79,0,,,102,99,19,
1983,,,44,5,160.4,25,44,220.5,86,20.5,82,6
1984,159.5,1,,,81,50.5,84.5,,,,,
1985,29.5,27.5,20.5,188.5,108,125,9.5,49,76,42.5,,
1986,0,32.5,16,55.5,101.5,187,7,71.5,58.5,92.5,22,71.5
1987,69.5,14.5,17,23.5,68.5,157,,,,,,
1990,19.5,12.4,42,24,41.1,76,16.5,21,112.9,55,1,1.7
1991,10.9,46.9,2.9,27.2,96.8,121.1,40.1,46.5,112.8,74.1,18.2,51.3
1992,129.6,15,46.1,67.3,163,57,11.5,43.1,34.5,36.5,37,18.2
1993,5.9,23.6,26.5,31.7,150.5,106.1,10.7,11.6,452.7,10.3,30,13.6
1994,63.2,8,31.5,64.4,24.3,58.4,64,105.6,97.4,37.5,16.3,41.6
1995,6.6,9.7,17.5,2.8,116,101.6,,,,,,
1997,,,,,,,23,3,46,124,11,5
1998,3,3.4,19,3.5,0,31,43,45,117.1,149.5,52.7,3.2
1999,0,0,24.1,8,61.6,104.8,73.5,34.9,98.1,53.5,1,28.3
2000,1.7,3.6,13.7,3.5,99,62.8,2.4,119.3,79,130.5,42,28.2
2001,17.5,8,38.6,91.4,56.3,63,126.5,40.8,235,5.6,49.3,2.7
2002,2.3,15.7,0,11.8,44.5,114,103.2,31,243.8,181.1,13.8,1.5
2003,26.4,14,32.3,21,67,127,23.5,241.1,387.2,165.6,13,14.5
2004,8,9,79.3,102.5,18,47.5,28.3,73.4,343.1,13.5,5.1,6.5
2005,12.3,84.3,50.5,10,52.2,0.5,410.9,43,34.1,202.5,15,23
2006,0,6.5,13.5,36.5,81.8,53,21.5,22.5,320.4,54.8,23.5,84.3
2008,49.3,4.4,9.5,73.2,72,28.6,132.5,185.7,550.9,171.7,6.5,8.1
2009,16.8,7,11.2,111,65.2,15.7,4.7,20.5,181.6,89.4,64.7,35.1
2010,26,40.4,9.6,232.3,31.1,218.1,284.1,10.5,244.7,1.4,0,0
2011,29.1,0,66.2,9.3,22.5,78.4,28.7,46.4,5.4,19.3,12,31.8
2012,5.1,102.8,9.9,39.1,70.2,66.1,1,152.1,90.2,14,41.3,0
2013,37.6,1,9.2,10.3,182.7,56.5,110.7,35.8,376.6,11.8,43.3,169.9
2014,36.5,11.5,30.5,3.1,77.9,64.5,55.6,45.5,230.6,163,66.5,70.8
2015,48.6,40.9,98.7,72.8,259.7,107.5,15.9,28.1,46,165.9,45.3,6.3
2016,63.5,0,43.2,57.3,127.7,78.9,20,58.7,62.3,99.8,64.2,26.8
2017,21.3,0.5,136.7,84,55.5,70.5,14.1,15.5,113.5,142.7,9.4,30.4
2018,26.8,55.5,0,65.7,163,53,34.5,30.5,104.5,33.6,9.5,9.2
