Year,January,February,March,April,May,June,July,August,September,October,November,December
1942,25,28.6,11.9,70.6,19.3,158.2,56.8,36.3,148.4,48.9,0,0
1943,39.2,0,18.5,29.4,26.4,19.9,64.7,16.9,304.2,41,19,60.8
1944,9.5,13.6,25.8,2.7,70.1,90.8,73.5,401.4,196.1,22.1,43.5,54.7
1945,65.4,57.2,9,13.2,30.8,40.7,62.3,64.6,32.8,67.6,7.8,1
1946,11.8,23.9,3.4,79.9,62.1,25.7,28.7,141.7,144.1,27.5,32.6,10
1947,29,4.7,5.8,4.4,16.6,87.9,54.8,287.8,49.7,70.4,47.2,8.7
1948,2,20.9,31,15.7,81.6,131.9,74.7,43,159.5,71.2,18.4,0
1949,36.1,23.1,11.4,45.2,24.7,119.9,2.5,13.2,89.5,37.3,2.7,21.3
1950,,7.9,35.2,26.1,5.2,17.5,176.4,0,38.8,,3.4,2.3
1951,9.2,0,23.2,1.5,84.1,48.1,37.2,75,255,182.5,10.5,15.2
1952,5.3,9.4,70.2,21,2.3,37.2,26.4,0,31.6,0,0,0
1953,0,10.7,44,28.5,0,28.8,0,564.3,45.5,66.1,0,16
1954,3.5,8.9,0,24.5,92.4,34.9,24,50.4,0,43.1,18.7,11
1955,22.3,24.9,5.2,0,74.7,0,72.6,68.1,116.3,67,26,0
1956,4.2,17.5,6.7,35.2,51.5,0,22,15,85.2,0,23.3,13.6
1957,20.7,21.3,5,146.9,76.7,87.7,0,26,93.8,102.8,28.9,44.9
1958,40.2,50.2,4.2,13.7,99.7,101.5,45,84.3,343,225,46.9,23.4
1959,44.2,115.3,2.2,40.3,37,96,129,91.2,90,76.7,24.3,26.3
1960,27,64.5,43.8,7.3,43.7,15.9,58,224.7,205.3,160.4,65.8,49.3
1961,60.6,4.2,48,25,14,90.2,67.5,85,71.6,109.7,40.1,18.2
1962,31.8,5.7,10.8,39.9,35.6,178.5,0,64.2,94.9,148.8,75.7,58.3
1963,13,27.5,32.5,33,125.1,50.4,14,26,361.5,90.3,24.1,75.5
1964,18.9,21.4,59.4,72.1,121.5,49.9,20.7,,118.7,48.7,41.1,23.3
