Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,0,19,0,36,91,121,,,,50.3
1981,159,41,66.2,135.2,160.5,,55.5,,169.9,,,
1982,0,0,30.3,52.6,146.6,62.6,100.7,66.2,122,95.1,150.3,50.3
1983,83.1,,45.8,0,125.5,59.7,86.8,117.7,184.5,25.4,0,0
1984,250,0,0,0,31.3,131.6,109.5,80.6,84.7,18.6,0,33
1985,78.2,55.4,10,55,130,78.4,81,70,105.2,70.4,25.2,25
1986,20,40,0,44,49,175,25,161,100,183,,0
1987,84,113,0,25,198,82,169,148,78,8,39,100
1988,20,10,0,40,36,28,218,143,280,0,15,0
1989,8,0,0,43,18,60,83,163,79,73,19.3,140
1990,63,162,67,20,103,,,158,,,,
1991,,,,,,,,,,122,,
1992,47,0,0,82,0,79,211,148,136,34,120,0
1993,0,0,2,0,66,209,214,125,151,93,25,
1995,10.5,0,21,0,,,2,78,0,0,0,30
1996,,17,0,25,39,22,52,55,105,45,16,0
1997,10,4,74,132,99,43,80,22,72,82,72,42
1998,0,2,0,0,0,,194,54,77,36,10,0
1999,0,0,17,0,22.5,102,,30,16,34,0,0
2000,0,0,5,0,120,74,98,90,10,90,20,0
2001,0,51.3,100,29,80,,0,0,0,0,0,0
2002,4,38,0,96,27,65,228,0,0,0,17,0
2003,53,115,9,20,38,46,198.1,83,207,171,5,0
2004,85,45,98,20.5,20,232,270,152,152,0,40,0
2005,50,90,40,0,20,5,116,,,,10,1.5
2006,18,0,0,20,0,0,216,165,268,111,0,87
2007,42,0,10,36,12,92.6,250,58,0,8,40,0
2008,13,0,0,0,0,13,61,138,165,,,
2009,0,0,20,0,0,30,22,,,,,
2010,0,0,0,25,0,44,0,0,,,,0
2011,0,0,0,0,0,0,22,0,70,0,0,0
2012,0,93,71,0,0,0,38,0,150,0,0,0
2013,0,0,0,0,85,104,0,0,0,42,,
2015,87,20,,0,130,237,108,141,60,,,
2016,35,0,268,27,67,63,250,120,117,70.6,158.6,20
2017,0,0,38,42,0,20,115,102,150,10,0,13
2018,0,68,0,63,20,120,26,70,178,0,5,0
