Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,16,,,,,26,32,43,18,20,21,14.5
1957,1,24,14.5,35.7,76,63,13,50,30.5,59,3,1.5
1958,30.5,36,23,24.5,201.5,,14,128,202.5,211,71.9,72
1959,47,58,13,67,132,60,100,120,75,106,8,38
1960,20,19,0,,34,,,,,,,
1963,0,0,0,43.5,121.5,8,15,36.8,36,2,17.9,67.4
1964,,,,,84,59,28,19,100,14,35,
1965,19,7.5,0,44,,36,43,39,77,31.2,32,79
1966,32.5,7,,36.5,100,76,50,119,17.3,64.5,3.9,1.5
1967,74,7,16.5,2,55,35,76,,89,15,23,5
1968,5.7,11.3,78,27,14.6,26.8,43,26.5,85,53.4,1.8,34
1969,17,3.8,5,13,3.5,47.9,35,62,69,20,17,8.2
1970,3.6,7.7,5,40,4.8,16.3,11.5,32,56.5,7,15.5,0
1971,1.3,0,0,0,52.5,122,23,126.1,44,51,0,0
1972,20,3.6,8.3,7,64.5,52.8,6.7,6.6,5.5,3,4.5,0
1973,11,8.7,0,18,42.9,225,43,126,136,50,0,0
1974,15,0,43,25,42,5,0,73,79,20,0,12
1975,12,7,0,0,46,64,161,83,68,10.5,0,70
1976,0,0,98,51,108.5,100,535.3,26,73.1,97.2,165,49.6
1977,60.5,0,0,141.9,114.7,14.3,34.6,95.5,100.4,38.3,14.2,0
1978,12.3,19.3,15.5,71.8,96.9,39.3,72.1,98.3,229.6,52.7,32.3,0
1979,20.1,50.1,14.1,52.7,106.2,50.5,48,73.8,10.2,0,0,102
1980,11,24,0,20,40.9,0,20.6,121,48,130,50.5,14
1981,118,25,30,57,,,,,,32.9,3,2.2
1982,0,0,8.3,133.5,55.1,17.2,80,114,40,56.5,37,25
1983,34,14,21,0,133.5,135,147,91,0,23,21,0
1984,187,11,8,0,26,86,14,66,34,57,1,30
1985,71,22,20,100,51.5,53,10,63.7,126,16.6,6.5,11
1986,0,2,0,61,25,,27,37,96,,,
1987,68,16,0,104,81,48,105,35,63,6,13,29
1988,14.2,0,27,80,45,25,86,140,140,20,0,0
1989,,0,18,32,4,22,13,44,28.5,,,
1990,33,77,51.2,27,168,13,140,137,114,106,3,2
1991,4,16,0,22,84,28,111,48,110,17,3,60
1992,209,54,56,26,93,43,53,51,51,47,66.2,40
1993,7,3,11,15.2,31,106,16,20,86,49,33,24
1994,6,0,16,11,88,152.5,42.5,30.5,57,74,7,47.2
1995,14,7,10,2,64,40,52,92,32,13,15,53.2
1996,3,10,4,11,35,38,32,110,117,16,0,5
1997,22.6,21,64,116,56,91,25,20,66,74,36,13
1998,0,3,3,12,3,43,47,109.5,23,62,0,0
1999,0,3.1,22,0,5.5,60,100,4,31,28,0,0
2000,0,3,20,3,56,94.5,14,40.2,8,60,26,22
2001,0,19,53,28,51,46,113,61,139,38,26,39
2002,11,23,2,65,36,37,,,,,,
2003,45,42,20,8,30.2,55,114,43,97,108,24,20
2004,7,28,41,31.5,57,112,94,81,63,25,10,0
2005,11,55,64,7,27,15,93.5,45,25,55.2,3,0
2006,12,0,24,6,101,,100.3,,,14.8,,
2008,,,,0,6,11,172,286,5,0,2,0
2009,0,0,0,0,0,0,15,10,,,,
2010,,,,,0,,,,23.1,0,0,0
2011,7,0,4,0,0,44,63,12,8,12,0,0
2012,0,61,25,14,42,73,71.5,29.5,60,7,17.8,0
2013,44,0,0,0,88,37,42,28,212,70,25,123
2014,29,4,48,18,,,,,,,,
