Year,January,February,March,April,May,June,July,August,September,October,November,December
1975,36.5,18,33.5,0,67.2,153.5,121,45.5,169.5,83.5,9,49.1
1976,5.5,0,29.5,38.7,62.7,32.4,57.4,111.2,120.2,,,
1977,12,22,6.5,99.5,116.9,78.1,33.8,104.8,213,44.6,13.5,0
1978,,,,,42.1,27.2,129.6,23.5,243.7,58.2,,16
1979,9.5,25.9,,,,,,,,,,
1980,,,,,,41.8,12.7,,,93.3,,
1981,,,,,,81.9,,,,,2.3,4.5
1982,0,,,97.5,47,,49,40.5,79,56.5,,4.5
1983,0,0,8,0,5,16,24,,0,4,0,
1984,2,1,0,0,7.5,7,11,3,24.2,9.5,0,0
1985,26,0,,31.9,0,0,0,44,14.1,50.6,1.5,
1986,,0,0,24.9,8.6,22.5,,,12.4,,5.6,
1987,,,,,,,32.5,56.6,21.6,1.5,24,32
1988,42.2,15.8,48.7,75.4,121.9,120,72.8,165,171.7,14.8,11.9,0
1989,8.4,0,1.4,75.4,24.6,41.9,66.5,54.4,68.4,15.2,44.2,130.9
1990,5.4,68.9,15.7,35.8,144.4,41.6,238.5,167.2,154.1,102.4,2.4,0
1991,12.7,57.6,0,4.6,76.2,153.8,114.5,55.4,169.8,17.5,3.1,75.3
1992,196.5,46.3,52.7,74.2,206.1,32.3,70.4,114.9,44.1,45.8,56.1,39.3
1993,7.7,0,15.2,8.9,79.5,154.5,64.1,29.2,211.6,55.4,64.2,14.4
1994,10.5,0,24.1,9.8,106.5,155.2,98.3,84.5,136.4,52.4,2.1,40.2
1995,23.4,0,0,,8.5,74.2,117.8,103.8,34.9,0,10.7,59.1
1996,4.8,12.5,28.2,1.1,28.8,63,135.9,294.6,69.2,15.3,2,0
1997,5.5,22,81.2,171.2,30.9,182.1,40.7,63.8,62.7,43.2,5.8,20.4
1998,0,1.1,3.1,5.8,12.3,90,8.8,33.3,59.7,33.3,0,0
1999,0,3.2,2.8,4.2,46.6,59.7,77.7,0,37.9,41.4,1.1,0
2000,4.4,2.4,0,1.8,53,183.9,41.6,48.5,3.4,114.1,13.7,13.4
2001,19,9.5,30,47.3,50.8,122,95.3,103,179,13.8,31.4,3.4
2002,14.4,42.5,0,45.8,34.3,81.1,193.8,59,172.7,88,27.2,1.4
2003,42.3,27.6,22.2,12.4,41.2,92,83.3,160.1,110.7,103.8,0,0
2004,33.8,25.1,77.5,18.3,50.6,108.3,89.2,103.9,111.2,15.8,4.1,5.9
2005,0,65,32.3,35.9,66.7,8.1,203,74.2,77,60.5,4.2,21.1
2006,9.5,0,21.3,35.5,79.9,49.2,58.2,56.5,130.8,43.4,15.2,12.7
2007,25.8,11,0,23.4,45.3,90,103.5,,,,25.3,0
2008,7.1,1.8,5.2,43.4,107.3,31.2,71.7,199.8,135.8,9.1,0,0
2009,0,0,4.5,,122.7,24.2,86.7,,,,,
2010,,,,46.4,120.4,373.2,141,37.7,77.2,3.4,0,0
2011,16.1,1,0,1.1,11.1,145.3,72.7,33.1,24.9,19.8,12.3,0
2012,15.8,94.7,43.3,16.5,53.6,114.9,64.5,65.3,39.4,19.2,7,13.2
2013,80.2,0,0,34.1,86.7,64.2,141,52.3,333.3,22.2,62.1,145.1
2014,40.5,8,29.1,22.1,191.4,49.5,141,52.3,333.3,22.2,62.1,145.1
2015,33.4,38.4,153,112.6,124.5,90.1,29.7,61.8,17.9,146.8,2.9,18.1
2016,71.4,6.4,59.5,30.1,130.5,55.6,28.8,78.5,10.7,46.9,69.9,0
2017,6.2,11.8,39,27.1,36.2,63.4,54.7,60.5,109.6,49.4,0,15
2018,55.1,12.9,0,146.8,51.9,54,62.7,44.5,224.6,52.1,26.9,9.5
