Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,37,6.5,61,99.5,86,109.9,40.5,28,2,122.5,0,0
1982,0,11.5,0,35.5,95.7,7.5,6.5,,0,134.5,0,52.3
1983,16,37,6,0,13,45,26,,8.5,15,38,0
1984,47.3,0,,,81.2,20.6,0,,,35,0,27.5
1985,18.5,6,7.5,77.2,47.5,40,76,0,51.5,131.2,29,5
1986,0,6.5,9,69.2,88,85.8,0,11.3,57.5,47.2,20.7,30.5
1987,11.9,58.9,31.6,53.3,93.3,81.5,97.6,40.2,1.5,13,20,18
1988,10,35.5,9.5,0,12.3,30.2,59,36.7,50.2,86.5,0,0
1989,42.8,18,21.4,78,2,61.8,12.5,160.5,0,52.1,9.5,37.5
1990,24.6,46.7,10.6,24.2,13.2,0,119.5,66.3,14.1,53.5,66.1,0
1991,31.7,62.8,2.5,47.8,97.8,24.5,27.6,3.2,47.5,6.2,0,63.5
1992,88.6,11,34.5,108.4,179.2,79.6,20.1,18.5,139.5,25.9,52,52.5
1993,25.8,25,7.3,31.1,80,103.5,0,32.1,175,106.5,37.7,0
