Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,108.1,24.8,30.1,203.3,189.1,228.2,51.6,68,206.7,53.5,21.8,5.7
1982,1.3,30.9,39.1,170.8,46.7,,0,,,,,
1983,50.9,16.8,,5,210,39,,124,151,32,32,11
1984,97,6,,,135,28,71,,,,,
1985,,,5,115,133,118,5,33.5,,93,0,10
1986,0,8,0,0,,82,104,13,260,108,72,41
1987,8,34,8,43,,225,71,,,,34.5,89
1988,58,12.5,28.7,134.4,92,121,,,431,47,57,4
1989,36,18,0,3,28,9,102.5,13,45,30.9,9,35
1990,25,16,42,64,147,0,40,134,201,58,30,18
1991,19.5,56,34,161.5,150,135,14,38,167,30,24,45
1992,164.5,26,,90,98,46,0,,167,77,107,20
1993,20,29.2,34,9.3,70.8,297.9,6.5,98.8,152.4,27.8,29.3,37.5
1994,70.7,25.9,48.9,13.5,19.9,111.1,41.2,112.6,146.1,44,56.8,
1995,7,24.4,32.3,6.3,60.2,106.8,61.1,413.4,70.2,48.9,42.3,
1996,9,4.3,5.5,29.4,1.9,31.4,30,326.4,73.7,159.2,5.2,
1997,18,23.9,85.8,159.8,61.4,84.6,7.2,27.1,86.1,233,25.1,
1998,2.7,11.2,21.1,19.1,0.4,23.8,20,155,178.4,136.4,64.5,
1999,0,0,51.6,4.5,31.3,178.7,86.2,101.6,126.1,77.2,0,
2000,3.6,57.1,12.1,36.9,56.5,64.1,41.9,42.8,55,234.7,32.2,
2001,7.5,24.3,42.6,52.7,55.1,39.3,34.8,46.3,477,83.4,96.9,
2002,2.7,9.8,50.3,,,,92.3,35.2,430.8,319.3,32.8,
2003,69.5,28.2,69.6,27.3,121.4,117.7,37.5,71.5,544.7,130.3,22.8,
2004,11,14,166.7,242.8,46.3,22,49,90.8,250.9,46.2,9,
2005,43.5,112.5,54.1,12,120.6,6.6,333.7,55.1,102.2,520.6,11.4,
2006,0,20.6,9.5,27.3,66.5,0.8,145.5,78.1,,,,
2008,55.2,,,,74.6,4.3,195.5,189,397.5,39.5,4,
2009,,,,,57.6,46.4,6.2,0,230,111.6,17.5,
2010,117.1,33.9,11.2,193,51.8,208.6,184.7,18,131.5,5,0,0
2011,16,0,2.5,2,3,263.5,3,18,52,80.5,3,26
2012,11,77,5,23,109.5,128,50,65.6,119,43,73.6,6.2
2013,38.2,0,36.5,71.2,142.7,,114.1,,,,,
