Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,49,8,44,79.5,18.3,14,0,7,97,37,21,6.5
1986,0,8,2,64,154,146.5,4.5,5,94,57.3,21,260
1987,20,32.5,2,23,63,207,98.5,41,54,,2,10
1988,43,17,20.5,74,17,70,16,214,94,8,0,0
1989,29,14,0,24,0,23,99,147,41,34,15,55
1990,2,13,34,14,38,0,102,80,0,11,3,0
1991,42,14,0,7,21,144,56,38,0,46,31,106
1992,108,14,7,114,169,9,0,10,15,45,61,113
1993,25,25.3,56.4,22,91,239,0,7,217,36,34,10
1994,126,12,11,,53,31,60,55.5,72,49,,36
1995,22,7,19,32,69,77,50,231,15,25,18,30
1996,8,2,0,0,0,31,34,212,117,74,22,3
1997,,30,103,121,64,58,2,2,28,83,49,9
1998,0,28,41,2,0,63,15,142,133,27,44,10
1999,3,0,21,11,10,50,87,84,103,20,6,18
2000,4,8,2,27,84,131,0,25,65,173,30,33
2001,33,31,26,,,,4,140,235,9,38,5
2002,0,2,1,25,0,90,196,62,207.2,95,39,3
2003,7,24,18,6,131,62,74,31,186,162,7,
2004,24.6,12.3,47.9,85.6,8.9,56.8,32.8,76.4,148,105.6,16.7,6.4
2005,24,76.4,12.9,6.5,64.2,1.7,80,14.5,71.2,277,9.7,14.9
2006,0,11.9,12.3,35.8,15.6,0,76.3,26.6,281.1,17.8,25.8,100.9
2008,19.4,0,6.1,21.1,18.7,0,188.9,186.2,282.9,6.5,3.5,6.5
2009,15,17.5,10.5,5.5,75.3,7.9,0,0,170.1,70.8,32.4,9.8
2010,33.6,27.6,7.9,145.5,30.9,99.5,287.8,5.9,286.9,0,0,0
2011,28.6,0,0,0,5.3,97.5,141.4,15,97.1,21.2,0,48.2
2012,2.4,41.6,18.2,8.7,86.6,84.4,15.6,40.5,45.2,12,50.1,4.2
2013,33.4,0,1.8,21.4,90.1,55.3,104.9,44.1,295.8,26.9,45.2,103.7
2014,11.5,8.9,34.1,5.5,30.5,40.1,33.1,15.5,220.1,43.6,59.9,74.9
2015,37.2,64.3,124.8,126.3,189.6,215.8,19.8,0,53.6,114.3,41,6.1
2016,30.1,0,14.5,29.7,138.3,65.6,26.4,143.7,108.4,27.8,53.4,32.2
2017,22.7,15.4,91.8,35.6,41.9,71.1,27.6,0,522.79,81.2,16.1,75.1
2018,29.1,16.1,0,48.2,31.2,0,59.6,0,249.5,106.5,26,23.5
