Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,0,15,0,115.2,,0,109,17.1,0,,,
1983,0,22,10,0,73.9,22.5,71.5,92.8,79.6,0,0,0
1984,93.6,5,0,0,30,62,159,25,52,0,0,17
1985,16,17,0,66,69,53,127,162,72.4,53,,
1986,12,25,0,77,,212.1,135,118,102.7,,17.2,49.9
1987,31.5,18.4,0,33.7,14.9,63.1,92.1,,101,0,,7
1988,0,1,0,26.7,,,,,50.5,,,
1989,0,,,,,,,,,,,52
1990,0,0,,,,,,,,,,0
1991,,,,,,74,97.6,80,100.2,60,10,
1992,128,6,0,,58.5,0,47.5,53,37,17,33,
1993,15,0,0,3,21,212,,63,35,0,0,0
1994,0,0,0,0,13,,,,,,,
1995,0,0,3,,,32,57.5,47,90,18,0,0
1996,4.8,,,0,77.1,15.5,75,53.4,63.5,41,0,
1997,,15,,,13,51,34,62,56,,25,10
1998,0,11,0,0,0,62,20,95,26,10,14,
1999,0,0,0,0,0,156,,,,,,0
2000,0,0,4,0,16,122,,44,72,30,30,
2001,0,0,28,30,0,28,0,26,93,0,5,0
2002,0,0,0,0,0,66,74,97,106,167,0,0
2003,4,0,17,0,0,30,6,34,42,70,0,0
2004,0,0,5,28,4,119,107,120,123,39,14,3
2005,16,14,3,3,40,16.5,79.5,38,37.5,23.5,3,
2006,25,0,0,5,0,26,67,126,113,0,0,28
2007,17,0,0,12,6,162,155,110,42,0,9,
2008,0,0,0,9,7,33,61,186,,30,0,0
2009,0,0,0,0,0,38,173,70,200,0,0,
2010,,,,,,,142,43,0,0,0,
2011,0,0,0,0,0,0,19,0,,0,,
2012,0,0,0,7,8,,0,27,92,,,
2013,4,0,0,0,14.7,21,,0,57,22,40,
2015,7,52.5,99.5,25,,128,,36,3,71.2,0,0
2016,37,,,,,,,170.5,31,3,61.5,25
2017,0,0,24,0,30,8,43.5,33.8,169,0,0,75
2018,0,0,0,22,0,51,20,119,158.5,90.2,4,
