Year,January,February,March,April,May,June,July,August,September,October,November,December
1984,26,0,0,,71.1,64.2,2.5,12.1,0,0,0,0
1985,0,19,0,79.5,63.5,104.5,,12,36.5,69,18,13
1986,,9,4,98,45,,101,42,162,116.7,66,63
1987,79,52,8,63,119,82,60,62,67,10,,34
1988,8,3,38,80,71,66,120,170,91.3,37,0,0
1989,16,4,0,26,10,28,52,35,48,11,60,116
1990,14,66,29,15,10.7,20,99,89,59,85,6,10
1991,4,30,0,29,86,41,99,59,107,31,6,51
1992,207,25,66,63,203,34,32,61,54,,40,45
1993,8,5,0,10,50,180,16,10,97,23,15,13
1994,0,0,36,28,104,95,36,78,33,75,13,43
1995,10,9,11,6,49,48,39,280,54,23,2,26
1996,2,10,0,0,15,46,50,12.8,42,72,0,0
1997,17,0,71,65,105,58,8,22,88,135.3,25,12
1998,0,0,12,11,3,82,11,52,62,74,0,0
1999,0,0,26,0,20,89,67,34,34,52,0,0
2000,4,0,8,4,10,232,0,65,64,63,18,35
2001,25,44,27,22,32,34,35,46,259,38,20,12
2002,8,6,0,74,113,,37,25,78,48,0,0
2003,36,16,6,0,13,60,42,130,89,,,0
2004,24,29,6,32,24,87,95,57,103,24,22,0
2005,0,41,67,14,48,29,225,56,12,60,6,8
2006,0,0,0,0,20,19,37,44,47,30,0,7
2007,15,8,14,32,64,159,139,69,74,0,,
2008,,,,,,92,31.9,29.7,38.3,25.9,0,0
2009,0,0,10,45,,100,15,95,,0,0,0
2010,,,0,155,175,447,692,40,320,0,0,0
2011,15.3,0,18.5,3.5,16,51,54.5,13,4,33.5,27.5,0.5
2012,3.5,130.7,48.5,40,50.5,82.7,75,45,45,4,10,
2013,125,0,1,10,,,,16,328.5,141,36.1,178.5
2014,35,2,58.03,33,119,156.9,122,100.3,274.2,47.6,113.3,36.7
2015,24.5,58.8,169.1,105.46,175.69,61.24,27.21,37.25,67.23,161.8,12,31.9
2016,59.6,0,32.5,26.5,95.2,82,163.6,118.6,13.7,91.5,72.8,19.5
2017,15,11.5,75.7,51.4,30.4,18.1,98.3,78.1,213.9,25.9,0,37.7
2018,45.1,54.3,8.2,49.6,37,49.1,77.8,15.4,401.5,50.8,24.9,14.9
