Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,,,,,27.4,28.8,0,9.8,31,,,
1983,,,,,22.3,15,7.5,14.7,5.2,29.7,12.5,5.2
1984,58.2,0,,,,7.5,2.9,,,,,
1985,43.6,24.4,0,122.4,146.8,25.1,24.5,6.4,47.3,76.2,22.3,0
1986,,9,6.9,57.9,30.4,111.5,0,5.5,114.1,70.2,31,57
1987,15.8,38.4,21.3,23.6,3.5,36.5,0,69.8,12.7,29.3,16.2,0
1988,4.5,18.9,2.8,0,0,15,74.7,222.8,385,13.9,0,0
1989,20.2,24.02,0,14.6,0,29.3,17.2,41.3,44.99,37.2,26.63,31.6
1990,,,,,,,,,,21.1,10,0
1991,25.7,7.9,2.5,,25,62,134,140.5,67,20,0,53
1992,49.2,13,7,22,19,40,11.5,27.5,41.5,11,29,24
1993,14.5,0,0,13,20.5,20.8,0,10,124,0,4,0
1994,25,0,25,0,40,8,0,27,,,0,0
1995,,0,,8,0,0,,,,,,0
1996,0,0,0,69,,,,,,,,
2001,,,,,,,,,,0,2,0
2002,0,0,0,8,18,45,77,52,151,50,13,0
2003,16.5,49,0,44.5,62,52,39,50,277,171,3,8
2004,29.5,5,0,52.5,0,61.2,19.2,28.1,59.3,0,47.2,0
2005,27.5,41.1,1.2,16.2,30,10.5,,0,0,138,,
2006,1.2,7.8,0,,3.9,10.5,0,15.5,186.6,62.5,4.7,75.5
2008,29,1,4,10.1,17.5,0,143.5,146,72,16.2,0,8.5
2009,2.5,5,6,6,84.5,1,10,12.5,32,18,45,23
2010,29,39,5,95,27,121,284,34,225.5,4,0,0
2011,10,0,9,0,1,24,0,28.5,0,0,3,45.5
2012,2,12,2.5,30,74,32,43.5,7,13.5,3,1,3
2013,11,4.5,0,17,81,59,18,7,210,10,18.5,19
2014,1,6.5,20,0,117,37.5,68,34.5,235.5,48.5,93,19.5
2015,51.5,37.7,90,223,44,49,6,1,80,41,15,0
2016,46,1,,,39.5,0,22.5,151.5,52,6.5,106,41
2017,18.5,7,22,0,172.7,56.5,24,16.5,209.6,23.2,10.5,78
2018,1,7.5,5.5,4.5,26,5.5,95.5,20,265.3,38.5,13.3,0
