Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,,,8.1,2.1,14.4,87.6,54.6,75,63.5,0,19,70
1980,7.2,6.8,0,0,72.3,0,19.8,115.5,119.5,46.8,38,18.2
1981,73.1,32.2,33,129.2,146.8,107.6,50.2,76.3,179.5,40.5,2,0.2
1982,0,13.5,13.2,29,52.3,17.5,14.8,1.5,44,38.5,16,52.5
1983,31.5,46.2,13.5,0,137,29.5,53,87.5,87.5,28,0,9.4
1984,108.3,2,,,102.3,18,38.5,,,,,
1985,47.6,13.3,24,137.2,27.1,38.5,23.3,17.3,120.7,124.8,12.5,7.2
1986,0.5,3.3,5.2,67.9,134.7,148,23,14.5,152.5,96.3,30.4,83
1987,17.1,24.1,9.6,13.1,74.7,220,103.7,97.5,67,13.5,5,18.3
1988,41.4,24.5,6.9,25.9,48,45,57,186.5,98.5,16,0,0
1989,24.3,14.6,0,16,15.5,6.3,68.6,56.8,22,11.5,9.5,43
1990,2,3.7,24,9,33,0,94,79.5,244.3,18,9.7,0
1991,,,,7,16.2,108,54.7,34.5,132,50,19,58
1992,79.1,17.8,3,57,101.6,4.8,1,21.5,19.2,51.5,32.4,40.6
1993,20,25.1,50.2,23,42.7,198.3,7,28,129.9,31.5,27,3.3
1994,77,12.8,19.1,6.2,24.9,23,51.4,31.5,33.7,24,14.8,27.6
1995,12.7,7.8,23.2,6.5,78.5,61.5,27.7,190.1,20.5,13,18,37.2
1996,7,0,0,0,0,30.5,47,160.5,66.9,45.3,12.1,4.2
1997,12.1,29.6,120.5,87.7,70.5,,0.1,1,56.6,68.9,31.5,6
1998,0,24.5,40.5,0,0,35.5,18,148.1,109.5,28.5,34.6,7.7
1999,0,0,25.5,20.5,10.7,119.2,142,111.5,73.2,6,6,19.2
2000,1,6.2,2.2,7.1,87.5,141.2,12.5,31.8,73.5,46.5,,9
2001,31.5,19,18.1,17.7,19.8,31,18.5,84.8,156.8,18.6,44.6,1.9
2002,0,1.9,1.5,6,10,115.5,160.5,11.1,213.5,113,18,2.5
2003,9.7,31.1,23.8,3.3,101,112,90,86,166,81.7,10.2,8
2004,19.3,7.4,52.7,134.2,13.3,17.7,56.1,107.5,106,121.2,16.3,
2005,12.1,63.3,13.7,11.8,33.2,5.2,155.7,15.6,40.5,103.3,24,11.5
2006,0,10.4,6,19.5,82,20.5,28.8,44,132.2,34.4,30,71.3
2008,30.2,6.8,5.7,30,38.5,2.8,150,248.9,218.5,11.8,2.9,4.8
2009,18.2,15,9.5,10.1,44.5,34.5,5.5,80.5,154.5,32.8,25.9,41.7
2010,38.5,22.3,13.2,103.3,26.2,134.5,213.6,2.6,243.7,3,0,0
2011,25,0,0,0,16.2,50.8,116.5,9.9,100,131.5,2.5,40.7
2012,1.2,39,1.5,4.5,3.8,,5.1,21,65.1,6.7,25.4,5
2013,5.3,0.3,0,42.3,87.3,33.1,42.4,41.2,297.2,25.6,45,96.4
2014,11.2,13.3,25.8,0,11,17.4,4.6,56.5,200.1,76.5,29.1,79
2015,19.5,52.2,82.8,88,145.4,135.2,2.5,9,47.5,108.3,24.5,0.1
2016,21.4,0.5,10.5,6.6,90.8,46.4,28.1,142.4,77.1,19.5,26.4,20.4
2017,19.1,6.7,85.3,30,60.9,50.7,15.4,28,388,67,11,49.1
2018,12.9,17.8,0.5,48.2,77.4,97.7,11.2,11,335.73,58.5,18.4,33.3
