Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,19,,0.5,0,28,0.5,12,66.7,41.6,39.5,46.5,16.5
1981,65,33.5,31,92,98,145.1,40,38.9,59.3,70.1,0,
1982,1,19.9,20.6,33.7,,74,21.5,,45,21,23.5,
1983,,,,0,,20,,91,40,53.5,8.5,6.5
1984,,0,,,68,,60,,,,,
1985,34.5,10,9,217,117,60,0,,,,,
1986,,10,,,,,,,,,,
1987,,,,,,,,144,0,30,10,12
1988,30,28,12,46,0,40,,135,141,20,0,0
1989,,20,10,111,30,29,98,64,92,0,15,43
1990,0,37,12,,25,,,34,100,,,
1997,,,,,,,26,0,75,90,16,15
1998,0,32.5,39,0,0,0,17,116,261,59,43,0
1999,0,0,55.5,0,17,95,72,37,82,20,0,15
2000,17,0,0,52,171,68,7,0,40,112,25,10
2001,28.5,20,32,20,23,33,18,0,121,0,40,6
2002,0,0,0,10,33,8.5,96.5,32,99,86,22,3
2003,14.5,27,12.5,29,78,35.5,26,78,280,80.6,56,3
2004,21,5,27,51,37,24,29,19,94,53.5,36,0
2005,24,48,8,0,90,0,155,6,5,104,22,5
2006,0,6,4,27,57,43,26.5,60,209,28,0,95
2008,39,6,0,15,41,0,236,194,105,4,6,4
2009,2,14,5,10,127,2,0,20,64,73.5,42,42
2010,54.5,34,11,140.5,14,147,310.5,14.5,201,0,0,0
