Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,,,,,,,16.5,16.5,20,0,0,34
1980,0,10.5,0,,28.5,0,24,55,32,20.1,30,0
1981,12,5,26,27,34.3,42,65.5,39.8,40.2,26.5,0,0
1982,0,7.1,0,80,68.5,0,0,0,23,12,7,41
1983,6,60,12,0,60,30,45,48,56,69,23,12
1984,56,8,31,53,31,14,32,,,,,
1985,6,43,20,40,30,32,7,,,,,
1986,,,,,,,,,,,,0
1987,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,8,3,21,37,16,42,20,152,27,0,0
1989,7,6,0,23,0,20,42,42,11,0,12,45
1990,0,28,7,27,0,,13,10,20,5,0,0
1991,8,18,0,0,0,57,0,0,37,45,8,10
1992,25,21,0,51,41,27,0,38,44,76,21,2
1993,5,17,22.4,2,43.4,120.3,0,0,50.5,12.5,10.3,5.1
1994,24.1,3.3,20.2,17.2,52.7,87.2,65.2,46.4,29.3,81.5,0,5.3
1995,3.7,0,6.2,4.2,103.7,10.4,46.3,106.8,65.1,6.2,19.6,16
1996,4,0,0,2,11.3,19.4,0,58.6,23.7,20.6,10.4,0
1997,2,5.2,36.7,78.9,44.8,0,0,0,32.2,12.5,27.6,6.2
1998,0,38.7,32.1,0,0,10.3,0,50.4,73.5,44.3,45.2,4.5
1999,0,0,26.3,0,,,,,,,,
2001,,,,,,,5,62,80,0,6,5.2
2002,0,0,0,4,2.7,93.5,37.9,0,40,40,0,0
2003,18,7.2,6.8,12.5,,10,20.5,9,40,43,5,0
2004,7.7,10.3,97,20,16,20.5,0,20,43,28,7,1
2005,0,17,10,0,8,0,88,0,5,8,5,4
2006,0,0,8,8,17,12,80,0,24.5,9.2,0,20.5
2008,25,0,0,19.4,5,6.5,55,50,47,0,20,0
2009,0,0,0,0,40,20,0,15,40,0,45,26
2010,40,20,10,47,35,170,96,5,80,0,0,0
2011,4,0,0,0,5,17,20.8,3.5,20,3,0,20
2012,1,,,,,40,5,,,,,
