Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,77.5,,46.5,114.5,145.2,209.4,95.3,315,95.8,141,32.5,
1967,25.5,55.5,44,53.5,18,69,55,693.5,,,46.5,
1968,35.5,35,12,20,65,152,188,245,213.5,115,51,3
1969,4.5,4,5.6,10,76,59,2,167,,,67,26
1970,9,114.5,0,0.5,89,93,157,27.5,689,61,0,2
1971,0,0,0,1.5,24.5,92,,,,99.5,1,16
1972,1,3,61.5,14,238,368,299.5,56,220.1,32.5,9.5,1.5
1973,49,60.5,3,3.3,68.5,743,159.5,281.5,143.5,45.5,2.5,1.5
1974,13.5,0.5,44,11.5,105.5,154,7.5,26,344,51.5,4,4.5
1975,6,0,0.5,52.5,71,66,357.5,182.5,174.5,32,1.5,1.5
1976,17,2,8.5,101,38,102,496.5,94,227,17.5,82.5,21.5
1977,13,26.5,0,24.5,57.5,37.5,0.5,225,,221,0,3.5
1978,23.5,12,12,20,118,94.5,19.5,262,506,193.5,33,13
1979,4,6.5,25,32.5,51.5,230,30.6,114,206.3,0,12.5,79
1980,8.5,11.5,1.5,14.5,101.5,9.1,140,266,,145,36,10
1981,104.8,25.6,31.5,243.5,38,,78,134,256,25.5,37.5,
1982,1.5,32.5,18.4,72,71,4,6,,,,,
1983,53,26.7,28.5,0,264,,,71.5,358.5,74,6,19
1984,94.3,2,,,154,76.5,176,,,,,
1985,58.5,15,16.5,69.7,159,147.5,10,66.5,124.5,133.5,21,4.5
1986,0,1.5,21.5,61.5,294,204,1.5,100,436.6,102,48.7,80.5
1987,42.2,73.3,25.2,59,57,144.8,,150,224,150.5,8.2,2.5
1988,44.5,6,4,32.5,50,212.9,81.1,158.7,473.3,39.5,9,3.5
1989,3.5,10,1.5,52,2,11.5,172.2,170.5,282.5,57.5,22.5,47.5
1990,13,,38,65.5,56,12,119.5,171.5,268.5,193,19,1
1991,19,33,10,50,113.5,184.5,42,68.5,280.5,34.5,,61.5
1992,89,21,25.1,129,93,2,14,138.5,79.5,118.5,37,26
1993,6.5,34,31,51.5,67,451.5,2,113.5,424.6,39.3,22.6,14.5
1994,,17,48,3.6,71.5,154.4,67.5,223.5,190.5,39.5,37,25.5
1995,11,25,28.5,4.5,89.5,50.5,98.5,435.8,42.5,20.5,19.5,27.5
1996,11.5,7,0,8,26.5,157.5,26,281.5,110,129,14,1
1997,8.5,22.5,62,105,62.5,31,2,53,109.5,224.8,38,5.5
1998,0,11.5,16,6.5,1,88.5,57.5,341,357.6,90,33.8,5.5
1999,0,0,11,17,51,170,,,,,0.5,12
2000,5,20.5,12.5,16,133.5,154.5,11.5,84,178.5,279,27,17.5
2001,19,16.5,28.3,28,26,131,133.5,58,344.5,107,43,4.5
2002,0.5,7.5,14,51.5,9,84,209,11,305.5,218,26.5,0.5
2003,102.5,27,,,,,,,,,,
2005,,,,,,,500.7,27.5,102.3,365.9,6,8
2006,3,15.5,6.5,11.9,31.9,12.3,98.1,100.8,252.4,139,31.1,59.6
2008,12.5,3,26,48.5,67.5,0,264,229.5,411,158,1.3,9
2009,15,14.5,20,4,27.6,9.7,35,87,322.2,31.5,33.3,24.5
2010,25.7,21.5,31,168.75,49.3,385.4,554.8,1.5,494.4,4.7,0,0
2011,15.2,0,6.7,1.1,12.5,127.5,73,50,35.5,192,4.1,24.5
2012,15.5,35.5,5.2,27,33.3,120.5,63.04,191.8,215,60.5,48,3
2013,21,1,27.1,16.1,133.9,45.3,94.1,150.5,648,42.8,105.7,81
2014,6,11,36,16.4,25,45.2,48.5,132.7,454.5,349.1,59,88
2015,19.5,74.1,116.2,58.7,177.6,174,1,65.9,182.3,89.8,24,4
2016,26.5,3.2,27,39,81.1,52,54,329.7,240,146,126.1,31.5
2017,11,2,103,56.6,121,130.5,28.5,37.5,335,141.5,7,56.5
2018,18.7,38.7,0.1,76,1.7,62,24,0,520,47,10,28
