Year,January,February,March,April,May,June,July,August,September,October,November,December
1939,30.9,0.9,12.5,48.3,122.1,57.7,78.1,32.1,88.9,65.9,6.5,1.6
1940,2.8,2.4,20.5,0,40.4,130.8,4.2,32,28.8,107,1.2,73.3
1941,59.1,30.3,17.2,41.1,13.6,130.8,24,17.5,270.4,9.1,5.6,29.8
1942,18.5,13.1,3.3,20.9,17.1,102.5,71.2,57.5,84.4,,,
1943,,,,,,,,,135.7,18.2,36.9,25.6
1944,8.1,0,19.1,0,94.8,79.3,66.8,224.4,127.6,29.9,18.9,6.7
1945,70.5,14.5,17.1,35.3,4.5,10.1,136.5,104.2,12.4,79.4,0.4,2.5
1946,14.1,35.5,0,26.6,113.9,23.5,28.1,24.7,84.5,128.9,1.2,0.6
1947,13.6,7.5,0,31.5,24,73.8,3.5,189.3,10.9,0.5,10.5,7.5
1948,0.6,10.3,18.7,53.6,58.3,69.6,55.5,81.5,240.1,74.3,1,1.2
1949,1.6,68.5,3,196.9,117.2,85,1.6,15.2,83.8,53,3.5,19
1950,0,6.7,17.4,81.3,10.8,62.6,53,4.9,39.8,,0,0
1951,0,0,3.1,2.8,26.7,53.9,0,30.1,249.3,48.5,0.7,0
1952,0,5.6,24.4,12.2,39.3,89.9,12.5,0,14.6,0,44.8,0
1953,0,16.1,23.2,5.6,3.6,3.5,19.4,437.1,6.2,153.7,0,13.5
1954,1.2,1.1,0,43.5,63.7,23.9,65.1,69.1,13,65.8,23,0.2
1955,15.1,2.5,2.2,0.9,62.8,14,52.6,126.8,139.6,3.8,14.1,0.1
1956,0.7,3.6,0,12.6,5.7,0,32.6,62.8,57.5,0.6,14.9,0.3
1957,0.4,65,60.6,159.8,75.7,78.8,0,1.3,53.3,42.7,17.5,2
1958,42.3,9.2,7.9,4.9,93.4,204.2,19.5,80.6,134.1,164.7,29.5,17.7
1959,21.1,40,2,5.4,120.3,80.7,23.7,14.8,75.7,38.4,0.6,3.4
