Year,January,February,March,April,May,June,July,August,September,October,November,December
1997,5,14,80.5,142.5,91.5,7,2.5,3,58,67.5,36,10.5
1998,0,73.5,38.5,0,0,5,0,39,102,234.5,40,5
1999,0,0,35,0,25.5,129.5,,,,,,
2000,24,12.5,35.5,8.5,27,70,0,3.5,9.5,44,5,25
2001,8,43,21.5,6,45,32,6,86,135.5,0,38.5,6
2002,0,3.5,2.5,7,26.5,39.5,96,23,176,190,39.5,0
2003,65.5,20,37.5,27.5,76.5,168,63,141.5,181.5,170.5,20,0
2004,22.5,11.5,250,81.5,26,36.5,17,136.5,256.5,28,11,16.5
2005,9,34,17.5,0,82.5,0,336,1.5,34,34,18,12.5
2008,40,3,3,21,19.5,18.5,171,218,73.5,14,8.5,4
2009,0,27,4,0,113.5,18.5,0,25,117.5,9.5,67,14
2010,26.5,46,14.5,57.5,87,284.5,254,21,178,3,1,0
2011,19,2,0,0,0,66.5,79,28.5,19.5,41,0,73
2012,1.5,97.5,10,4,57,84.5,5,14,56,8,48,1
2013,27,0,0,9.5,41,34.5,11.5,39,194,1,108.5,109.5
2014,17,5,42.5,1,18.5,0,13,8,240,61,58.5,58.5
2015,26.5,11,45,104,175,32.5,0,12.5,83,72,9,1
2016,33,0,40.5,67.5,60,38,13.5,75.5,29,16,32,9.5
2017,15.5,1.5,28.5,69.5,143,2.5,35.5,51.5,17.5,85,13,46.5
2018,14,69,13.5,56,172.5,226,2.5,0,224.5,66,21,15
