Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,11,22,0,15,10.5,11.7,55.7,17.5,69.5,86.4,27.1,10.4
1981,109.5,5.5,13.7,,99.2,72.1,25.5,61.3,48.3,55.7,1.7,
1982,,,,,80.4,31.9,40.5,70.3,35.3,122.8,41.6,8.5
1983,34.4,0,16.4,0,74.5,26.5,90.2,75,107.4,4,9.7,0
1984,127.6,22.5,0,3.5,22.5,111.7,51.2,52.6,21.6,25.4,0,42.5
1985,36,15.3,9,73.3,38.5,26.5,32.6,36.4,38.6,35.9,7.2,14.5
1986,0,7,0,48.4,53.4,163.7,32.5,52.8,38.1,57.2,54.5,46.5
1987,74,40,0,83,75.5,75,63,38.5,51,3,14,30.9
1988,38.5,8.5,9.5,39,47,58.6,63.5,85.9,58.5,11,10,0
1989,9,0,3,9,3,41,25,64.5,38.5,9.5,43,81.7
1990,18,51.5,26,43.5,78,11.5,75.5,71.5,87,21.5,2,2
1991,9.5,13.5,0,7,16,48.5,166,46.5,61,37,11,71.5
1992,191.5,46.5,15.5,17,117,25,15.5,43,12.5,19.5,51,13.5
1993,3,2,3.5,0,14.5,73.5,27.5,68.5,74.5,33,16.2,12
1994,0,0,0,13,22.5,101,122,57,60.5,33,0,42.5
1995,6,3,6.5,0,68,10.5,60.5,99.5,44,12,0,36
1996,2,9.5,0,1,43,34,23,53.5,56,7,3,1.5
1997,13,18,36,61.5,54,46,66.5,8.5,75,62.5,48.5,15
1998,0,3,5,0,1.5,95.5,7.5,74,12,44,3.5,0
1999,0,0,0,16,16,34,12,5,15,16,0,0
2000,0,1,9,22,30,132.5,18.5,86,39,16,18.5,0
2001,0,43.5,1.4,6.7,60,26.5,10.9,32.7,58.5,56.5,34,9
2002,0,1.8,0,2.3,0,3.5,81,43.5,30.5,39.7,8.4,0
2003,26.5,39.5,5,0,34.5,69.5,78.6,81.7,137.5,70.9,5,31
2004,21,20,38.5,24,74,101,99,42,68,4,18.5,0
2005,9.5,67,15.5,11,28.5,6,51,55.5,17.5,42,9,12
2006,28.5,0,8,37.5,35.3,39,124.8,56.5,133.5,48.7,0,21.8
2007,20.2,7,17,18.5,78.5,69,63.2,39,17,0,7,0
2008,0,0,0,10,49,29,72,123,36,25.5,0,0
2009,4,0,15,17.5,28.5,15,13,,,,,24
2010,20,72,3,66,34,,62.5,8,76.5,0,0,0
2011,2.5,0,8.5,3,0,5,69.4,38.3,26.5,17,1,0
2012,7.4,85.6,35.9,20.2,24.5,37.6,108.9,50.9,,4.6,12.5,7.4
2013,44.7,0,0,5.4,145,43.2,59.1,102.1,100.8,130.8,40,100.4
2014,21.3,0,22.2,13,51.2,54.8,88.9,47.8,113.6,13.5,40.1,41.5
2015,15,55.4,128,43.5,89.4,77.3,71.3,84.5,36.9,124.5,2,3
2016,30.8,0,27,14.1,74.5,38.5,16.5,95.9,50.9,18.9,55.7,13.5
2017,3.5,2,68.9,3.3,36.5,17,141,9,154.7,1,0,62.5
2018,1,23.3,0,,,,,,,,,
