Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,,,4.9,22.9,,6.6,2.4,11.5,,,0,30.9
1983,47.8,28,,,,17,75.4,,,4.2,0,0
1984,99.7,0,,0,0,41.3,109.4,,,,,
1985,37,8.8,14.2,68.5,18.9,88.7,33.6,7.9,,30.8,0,3.2
1986,0,3.6,0,30.5,95.7,165.9,0,17.4,91.5,107.8,12.6,54.8
1987,14,28,0,0,0,0,0,0,0,0,,5
1988,53,12,39,27,10,0,131,149,226,0,0,0
1989,11,8,0,59,41,12,18,79,103,0,10,51
1990,7,9,5,13,32,15,23,122,95,0,0,0
1991,21,8,3,0,18,116,22,26,191,8,32,51
1992,68,22,8,30,75,0,7,62,33,34,31,20
1993,4,16,6,7,45,139,0,10,53,0,7,1
1994,42,6,26,5,0,0,13,117,92,25,14,10
1995,0,0,,0,15,20,24,72,0,0,37,18
1996,7,0,0,0,0,20,17,74,92,56,22,2
1997,2,12,54,97,56,4,20,4,84,44,34,11
1998,0,30,26,0,0,11,0,181,130,78,19,0
1999,0,0,15,8,5,107,96,59,0,3,3,0
2000,2,12,0,10,0,16,0,0,56,55,6,0
2001,3,10,36,,,,43,15,,3,30.3,23
2002,0.2,0.5,0.2,11.6,36.4,27.6,215.7,28.3,94.5,71.5,8.3,0.3
2003,18,38,33,11.2,28,64,63.7,74.2,137.5,103,37.5,
2004,20,6,,58.2,,,,,206,,23,0
2005,24,57,12,2,92.2,3,184.5,2,52.4,107,13,15
2006,12,10,8,33,4.5,0,91,73,154,54.5,18.3,86
2008,34,10,1,19,46,0,182,83.5,170,22,,3
2009,40,16,10,3,46,13,5,83,110,53,40.5,21
2010,27.5,20.3,5.5,83.9,105,210.5,238.5,21.5,394.7,0,0,0
2011,13.5,0,0,0,11.5,78.5,45,0,33.8,4,0,27.1
2012,3,21.9,67,5.3,41,43.5,35,60,75.6,3,80.5,3
2013,37,2.2,7.6,20,50,58,90.3,63,391.5,29,82.5,78
2014,3,17,24,48.5,5,24,35,30.5,176.5,40,67,
2015,6,,89,36,115.5,96,5,28,29,42,30,0
2016,22,1.5,32.5,4,72.1,15.2,22.8,180.5,18,15,107.9,25
2017,7,7,55,84,23.5,10,13,15,177,79.5,11,
2018,3.5,6.5,13,33,3,4,37.3,40.5,295,52,24.5,29
