Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,,90.3,,0,40,0,0,56,11
1981,64,7,0,174,100.3,73,19,44.5,15,0,0,0
1982,0,12.3,9,43,147,17,,0,20,38.5,40.3,0
1983,66,37,10.5,,109,26,,74,,39,20,0
1984,98,0,,,154,0,0,,,,,
1985,113,0,31,168,143,267.9,38,0,41,190,29,
1986,0,6,11,,0,,,,,,,0
1997,,,,,,10,55,113,18,13.6,3.2,3.5
1998,0,30,10,0,0,0,0,11,11.1,,0,
1999,0,1,96,4.5,29.5,123,,,,,,
2000,,,,,,,,,,,70,4
2001,,,12.2,13,0,40,12,45,96.5,4,0,43.4
2004,,,103,36.6,7,26,9,12,142,8.5,39.5,2
2005,,,5,12.5,53.5,0,134,3.5,22,141,31,2.5
2006,,,13,0,36,22,54,27,222,57,0,75
2008,18,2,0,31,27,7,216.5,29.3,117,16,0,1
2009,3,13,9,9,82,0,0,60,,,,
