Year,January,February,March,April,May,June,July,August,September,October,November,December
1955,0,13.3,0,7.4,28.8,46.7,44.1,60.6,97.3,2,0,0
1956,0,0,0,21.1,137.9,31,28.5,23.1,43,2.4,1.3,25.9
1957,0,5.9,13,11.2,14,36.6,0,22,38,15,3,3
1958,13,6,0,6.1,46.5,113.5,49.5,111,171.5,191.5,34,14
1959,0,60,0,27,26,80.5,188.5,113,88,47,0,0
1960,5,35.5,0,16,10.5,10.5,26,143.5,176.7,68,56,28
1961,15,8,5.5,5,3,73,134,109,75,85,3,0
1962,0,0,0,28,8,138,0,44,185,32,10,11
1963,0,0,4,27,42,57,8,16,146,48,16,15
1964,20,3,11,9,106,7,104,83,74,14.5,31,22
1965,10,16,3,20,97,28,47,45,122,48.9,35,59
1966,80,29,4,25,132,66,112,88,129,75,0,9
1967,19,40,37,6,2,0,0,360,299,43,0,0
1968,25,28,15,40,8,33,64,63,135,76,0,10
1969,0,14,,0,14,0,45,88,,14,37,50
1970,15,29,0,27,56,64,69,39,157,0,0,0
1971,15,0,0,10,69,75,32,152,73,58,3,19
1972,6,7,33,18,42,76,104,11,33,37,9,0
1973,20,23,0,0,10,280,40,80,80,10,0,0
1974,0,0,0,10,60,0,10,30,50,2,0,0
1975,0,0,0,0,0,70,63,135,24,10,0,16
1976,10.1,0,10.3,49.4,120,27.5,207,85,105,34,143,26
1977,15.5,11,0,1.7,24.5,35.5,51,222,192,39,0,0
1978,20,8,4,65.5,45,112,71.4,91.5,150,126,21,8
1979,5,11,9.9,64,101,65,18,48,169,14,0,83
1980,2,27,0,12,36.6,50,148.7,142.8,194,137,44,8
1981,44,14,20.2,115,181.5,102.8,91,99.9,171.7,44.8,4,0
1982,0,14.1,6.1,97.3,85,0,76,66.3,145.5,41.5,38.5,
1983,32,50,29,0,,,,,,,,
1984,,,29,,,,41,,,,,
1985,35,5,19,72,98,82,119,80,88,54,0,1
1986,0,14,11,49,47,131.6,22,26,119,104,25,51
1987,38,53,0,54,57,0,0,0,252,5,11,8
1988,37,3,14,39,56,56,105,61,437,7,0,0
1989,6,0,0,12,3,3,44,157.5,139,35,25,35
1990,0,17,19,18,92,6,116,136,109,100,0,6
1991,0,8,0,26,13,86,56,98,117,35,7,67
1992,79,8,4,41,74,24,35,51,56,24,28,24
1993,0,4,14,3,45,136,35,47,189,19,0,5
1994,4,0,16,0,87,65,45,50,62,30,3,32
1995,11,0,14,0,0,29,31,154,18,0,0,28
1996,8,0,0,0,27,22,20,110,68.2,52.7,0,0
1997,24.2,15.3,85.8,64.9,89.6,112.2,57.2,28.5,61.7,40.5,37.5,24
1998,0,8,0,2.5,9.5,70,51.5,212.5,249,73.5,16,0
1999,0,0,0,28,3.5,51.5,35,48,107,87.5,0,0
2000,0,0,0,0,0,101,43,0,0,,,4
2001,6.6,21,27.9,20.5,16.5,27.5,6.5,52,249.5,29,10,8
2002,0,10.5,0,24.4,20.5,43,201.6,77.5,237,93.5,6,4
2003,18,6.9,11,7,41,35.8,67.5,134,281,104,0,1
2004,2,19,56,44.5,19.5,68.5,73,99,136,23,11,0
2005,14,31,21,2,41,6,372.1,42.5,,60,2,1
2006,3.6,0,19.3,12,34.4,17.2,119,37,94,62,0,49.4
2008,1,0,9,29,28,2,72,372,163,45,2,0
2009,0,0,45,1,41,28,94,71,178,46,35,12.8
2010,14,25,11.6,33,50,338,295,10,274,25,0,0
2011,0,0,0,8,0,146,56,44,8,13,6,0
2012,1,31,11,1,20,74,41,59,86,52,29,0
2013,21,1,0,4,98,112,103,144,328,52,55,45
2014,23,2,51,7,47,179,35,23,0,31,72,38
2015,18,32,147,32,117,50,2.5,32.7,73,79,,5
2016,3,9,0,0,14,31,11,,64,158,58,32
2017,1,,31,8,3.5,45,59,137,139.5,63,0,46
2018,0,32,0,18,18,72,20,56,360.5,35,5,20
