Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,27,,,,29.6,49.7,26.5,24.8,33.5,98.5,23,23
1981,56.5,8,12.5,50.3,73,14.7,21,88.1,59,30,4,3
1982,0,4,4,63.5,68.3,3,,30.3,50,90.5,23,7
1983,22.5,1,0,0,118.5,0,51,129,59.2,0,10,0
1984,109,0,0,6,29,76,34,78,34,27,2,33
1985,31,18,0,100.5,65.5,91.5,,43,25,53,8,47
1986,0,6,2,86,62,177,29,19,28,86,52,28
1987,73,35,4,69,71,42,39,37,89,8,11,22
1988,8,9,20,66,,29,79,87,42,18,2,0
1989,4,4,12,17,,42,,55,16,13,40,39
1990,39,35,2,44,50,26,111,46,66,51,,0
1991,7,25,0,0,6,79.6,81,33,69,22,8,111
1992,168,23,5,13,57,50,46,19,17,13,40,0
1993,10,0,1,31,8,144,8,9,18,21,17,15
1994,8,0,0,2,64,116,35,53,31,52,1,10
1995,23,1,0,0,20,93,55,107,29,15,1,21
1996,0,6,0,0,7,89,15,60,66,0,2,0
1997,6,0,15,51,30,28,19,30,39,53,12,0
1998,0,4,0,18,0,49,0,12,5,0,0,0
1999,0,0,0,0,6,14,12,1,67,48,0,0
2000,0,0,0,0,25,0,29,31,0,6,1,0
2001,0,33,0,34.5,48.1,17,87,39,173,3,6,3
2002,11,6,54,12,35,8,,,60,101,58,0
2003,5,27,4,0,82,41,16,74,94,91,0,0
2004,7,3,18,5,11,39,37,35,38,0,3,0
2005,7,43,3,61,8,14,56,24,0,24,,
2006,,,,,,,,24,,,,
2007,31,17,13,,0,10,0,,,,,
2009,,,,,,,,,97,14,20,18
2010,,,,,,31,169,0,0,0,0,0
2011,0,0,0,0,13,17,40,55,94,15,0,0
2012,0,77,4,23,26,74,84,50,0,0,,
2013,,,,,0,0,0,0,0,0,47,0
2014,0,0,0,0,0,0,0.2,0.5,1.2,0.15,78,17.4
2015,11,36,,,,,,,,,,
