Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,0,5.3,40,141.7,57,0,11.5,18.4,101.9,83.4,38.2,50.8
1983,30.4,67.3,44.9,0,278.9,6.3,111.3,159,116.7,80.8,57.3,
1984,150.7,7.5,,,101,105.5,,,,,,
1985,25.5,19.5,11.5,192,68,128.8,11,33,59.5,75,6.5,46
1997,,,,,,,27,5.3,,,,
1998,0.6,2.8,27.7,9.2,0,54.9,,28.4,115.5,78.9,35.4,
1999,0,2.7,11.6,9.5,89.7,101.2,121.9,29,75.8,45.9,0.7,
2000,3,7.5,9.7,12.2,138.1,39.7,9.5,62.4,103,159,27.6,
2001,11.4,15.1,42.5,65.9,76.6,93,117.7,61.1,283.1,52.1,69.6,
2002,4,18.1,3.1,21.2,17.5,166.2,61.5,56,313.4,172,16.9,
2003,42.5,13.6,71.8,6.3,49.2,107.6,62.7,206.9,463.1,160.5,8.3,
2004,8.8,10.3,50.4,92,31.3,88.1,44,101.5,418.1,58.2,5.9,
2005,9.6,112.6,38.8,13.1,47.1,3.3,339.8,31.1,69.7,308.8,18.8,
2006,0,6.5,12.1,11.3,109.1,12.3,20,25.5,265.5,133,29.7,
2008,52.2,6.1,15,52.3,135.8,18.5,134.8,273.1,350.1,155.8,3.7,
2009,,,6.9,39,68.2,39,0,20,253.5,95,79,35.7
2010,21.5,31.1,8,264.5,74.5,212.5,224.5,31.5,328,0,0,0
2011,29,0,16,13,18,81,36,29,24,127,26,32
2012,8,100,14,67,19,110,2,91,69.9,48.7,52.6,0
2013,45.5,0,9.3,14,88,18,93,96,480,12,35,165
2014,32,14,27,6,140,71,119,48,221,50,67,49
2015,50,42,140,52,212,77,0,30,59,125,44,10
2016,63,0,55,94,210,86,6,48,84,146,56,17.7
2017,17,3,151,64,67,56,10,30,113,114,6,36.7
2018,32,37,1,72,144,45,66,20,223,47,18,16
