Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,,,,,,7,31.5,55.5,0,,24,12
1957,3,20,8,7,79,18,6.5,12,18,22,0,4.5
1958,37.5,29,17.5,9,35,30.5,6,66.5,37,91.5,93,88
1959,37,64,10,41,25,29,43,19,55,87,6,12
1960,10,50,0,9,4,18,,,,,,
1962,,,,12,17.4,11.7,1.4,24,44,11,30.5,17
1963,22,5,0,34,55.5,6.6,0,24,115,13,82.5,147
1964,59,15,0,94,13,15,0.7,0,1.1,1.1,61,65
1965,18,23,0,74,48,31,0,128,17,24,35,138
1966,52,13,26,50.5,42,18,53,84,0,67,67,65
1967,,0,13,43,27,,,,,,29,0.5
1968,,17,,79,55,,,21,31,28,13.5,16
1969,17,13,0,7,6,29,10,,4,,39,14
1970,13,18,0,0,37,23.6,10,16,39,2,0,17.5
1971,4,6,12,2,22,128,9,47,27,21,,
1972,,,26,10,39,49,,23,18,20,,6
1973,83,,0,5,,53,,,,,0,
1974,14,0,8,,14,,,,,,,
1975,2,30,3,6,33,57,115.8,36,30,37.3,0,38
1976,2,0,15,33.3,54,43,221,76.3,109.9,88.8,80.5,81.4
1977,16,6.5,0,61,15,31,26.5,4,102,11.5,5,2.5
1978,6,10,0,14,41,0,27,38,83,4,1.5,10
1979,6,7,6,39.6,34.2,21,5,16,1,,23,14
1980,14.5,16.1,0,22,,,,5,0,70,32,18
1981,73,19,10,34.5,79.5,25,37.3,1,12,20,0.5,0
1982,0,8.2,13,66.1,,13,65.8,18,36,77.4,20.4,
1983,,,35,,,,,68,17,9,0,0
1984,174.6,0,0,,13,,4,,,,,
1985,4.1,10.5,5,67,,22,29,47,16,37.5,4,25
1986,0,0,0,74.5,12,75,5,7,18,,63,29
1987,65,33,3,24.5,15,38,41.3,32.2,50.5,0.2,11.1,20.7
1988,21,1,15.2,59,36.5,19,26,74.5,126.5,16,4,0
1989,8,0,4.5,21.5,30.5,,15.5,52.3,13,1,39,39.5
1990,14.5,49,16.5,23,108.5,3.5,50,73.5,45,65.5,1,9
1991,6.7,15,0,36,31.8,17.2,49.5,28.5,71.8,8.5,4.8,56.5
1992,146,16.8,19.5,25,205,18.8,32.5,23.5,20,28.5,60.5,16.5
1993,10.5,2,2,27,34.5,58,18,31,71.5,37.5,25,12.5
1994,4,0,12,20.5,110.9,54.5,21.5,29,17,28,6,36.5
1995,12.5,8,11.5,2.5,32.1,34.5,40.5,49.5,4,20.8,7,28.8
1996,5,14.5,0,1,18,18,30.5,20,53,10.6,0,3.5
1997,21.5,18.5,54,93.5,51,14,26.5,9.5,30,34,21,0
1998,0,0,8,7,9,11.5,11,30,0,14.5,0,0
1999,0,5.4,12,10.5,5,29.5,51,6.5,10,30,0,0
2000,0,0,5,0,14,53,8,2.5,0,32.5,29.5,19
2001,10,18,26.5,29,55,3,6.5,60,43.5,17.5,14,5.5
2002,2,36.5,0,48,34.2,21,84,31,40,74.5,48,0
2003,27,27,11,0,28,19,58,0,124,64,5,0
2004,6,46,57,12,50,104,55,36,92,19,,0
2005,0,69,66,33,25,0,78,0,11,38,7,12
2006,0,0,15,34,35,4,24,150,39,46,0,15
2007,14,9,42,8,77,64,84,30,18,3,6,0
2008,0,0,0,38,42,12,39,227,51,7,2,0
2009,0,0,0,4,14,11,0,99,46,18,67,52
2010,21,78,0,44,100,,,0,,,0,0
2011,10,0,0,4.5,11.5,1.5,3.3,7.5,13.5,7.5,23,0
2012,5,99,27,31,34,46.3,20.5,56,16,4,15,2
2013,66,0,0,6,36,43,55,19.5,63.5,69,29,132
2014,28,3,42,11,59,31,7.5,41,86,20,65.3,28
2015,34,35.5,154.5,53.5,112.5,41.5,6,5,24,130.5,4,2
2016,37.5,0,43,20.5,109,40.5,13.5,63,8,24,56,5.7
2017,2,2,75,14,12.5,18.6,73,18.5,47,14,0,46.5
2018,8,45.3,0,95.6,29.5,38,3,63,106,15,18,16
