Year,January,February,March,April,May,June,July,August,September,October,November,December
1962,7.7,0,30.9,,46,83.1,0,60,20,3,0,4.5
1963,19.5,18.2,0,65,132,27.4,6.5,4,0,9.6,0,0
1964,0,3,0,46.4,,64,7,5,184,5,0,5
1965,5,13,71,17,40,0,140,42,215,22,26,54
1966,41,44,25,84,234.5,155.5,39,91,50,115,2.2,0
1967,23,0,10,28,0,64,0,415,619,72.8,58,6
1968,16,17,16,58,140,105,65,25,140,155,12,6
1969,3,21,19,5,56,97,28,168.5,195,214.5,91,9
1970,15,20.5,7.5,17,8.5,90.5,114,121,267,6,10,2
1971,4,0,0,1,27.5,120,20,105,180.5,103.5,0,3
1972,1,19,18.5,18.5,214,84,141,16,89,21,9.5,10
1973,54,62,0,3,63,196,33,95,237,95,0,11
1974,0,0,29,11,14,9,52,9,141,0,0,10
1975,10,30,0,38,84,38,146,279,140,41,3,46
1976,12,2,71,78,67,11,156,168,138,113,105,29
1977,31,36,11,111.9,38,19,0,8,180.4,17,1,7
1978,20,3,0,47,35,17,18,67,334,98,2,5
1979,0,7,,8,4,104,49,97,76,3,0,55
1980,2,2,2,36,76,0,18,120,176,79,35,6
1981,92,9,19,75.9,221.2,124.6,,198.1,134,16.8,0,
1982,0,11.5,20.5,159.5,61,,0,5.5,119,66.5,8,75
1983,,35,0,0,212,4,98,143,0,0,0,7.7
1984,159,0,0,0,86,80,117.5,71.5,220,1.5,0,48
1985,30,8,15.5,92.5,54,97,13,24,8,16.5,0,26.5
1986,0,25.5,7,20.5,84,269.5,5,10,66.5,62,37,59
1987,86,10,14.5,30,115,128.5,,,,,5,10
1988,35,9,28,50.5,17.5,27,48.5,144.5,55,3,4,0
1989,33,6.5,0,14,8.5,60,53.5,76.5,14,20,8,63
1990,,9.5,53.5,25,27,6.5,135,49,137,36.5,0.5,1.5
1991,14,24,6,31.5,70,105.5,20,14.5,94,50.5,11,63
1992,113,12.5,5.5,68,107,39.5,0,82.5,56.5,89,33.5,3
1993,5.5,18,7,5,127,104,0,0,203.5,27,28,32.5
1994,102.5,1,36,9.5,10,69,10.5,2,161,23.7,12.5,15
1995,,,,,,,10,293,38,24,2.5,16.5
1997,,,,,,,,,,68,17.5,7.5
1998,21,11,25,1,0,25.5,13,90.5,102.5,71.5,57,3.5
1999,0,0,25,2,41.5,16.5,66,33.5,70.5,19,9.5,26
2000,1.5,1,2,23,137,53.8,7.5,77,70.5,119,2,19.5
2001,1.5,19,32,44,86,117.5,13.5,73.5,442,0,78,5
2002,0,7.5,0,10.5,31,121,257.5,48,343,199.5,17,0
2003,16,14.5,13,11.5,76.5,165.5,34.5,140,404,172,1.5,1
2004,4,11.5,116,130.5,35,48.5,63.5,178.5,351,38,1.5,7.5
2005,5.5,52.5,58,1.5,77,0,297.5,0,85.5,158.5,16.5,17.5
2006,0,5.5,13,29.5,55,32,144,48,,,,
2008,33,6,6.5,108,20.5,0.5,129.5,97.5,358.5,35.5,20,10.5
2009,7.8,4.5,4.6,0,26.5,100,0,21,243,41.5,70.5,45.5
2010,26.5,52,11.5,125.5,44,188,225,29,535,14.5,0,0
2011,19.5,0,4.5,15,3,61.5,59.5,54,12.5,7.5,24.5,39.5
2012,3,84.5,29,215,56.5,61.5,70,88,120,1,59,3.5
2013,55,0,1.5,17,185,91,89,61,372,6.5,50,118.5
2014,33.5,19,50.5,6,190.5,11,16.1,101,224.6,20,78.1,52.4
2015,37.1,50.3,91.5,75.5,147.5,93.1,0.3,41.1,52.3,92.4,24.8,6.2
2016,26.9,0,41.5,136,173.2,66.5,10.5,136.5,100,132.5,60.7,12.8
2017,26,1,113.7,76,66,48,31.5,88,34.5,99.2,5,24.2
2018,34.8,12.8,8.5,66,124,84.5,21.5,0,133,71.33,15.6,8.8
