Year,January,February,March,April,May,June,July,August,September,October,November,December
1967,,,,62,13.5,25,0,43.3,175,30,12,1.6
1968,9,26.5,48,40.5,38,2,68.2,0,0,,,
1972,,,,,,59,24,37,,,,
1974,,0,108,99.5,3,9,20,39,52,42,4,13
1975,11,11,0,0,30.9,93.8,76,106.7,34,5,0,46.4
1976,0,0,21,39.1,25,50,137,10,48,3,15,17
1977,0.2,0,0,48,48,38,8,23,13,4,5,0
1978,3,5,17,24,24,11,41,42,53,11,3,4
1979,7,12,10,39,13,50,20,14,17,7,5,42
1980,9,0,0,16,11,23,22.4,6,41,37.3,0,27
1981,76.9,0.5,31,7.7,41.5,59.4,,15,0,0,0,5
1982,0,0,0,37,36.8,,0,25,17,10,0.5,
1983,0.9,0,20.9,0,60,21,12.6,,0,0,0,0
1984,42,0,0,,,,,,,,0,1.3
1985,1.1,1.6,0.5,75.1,60.5,13.1,2.5,5.2,0,0.5,0,
1986,6,12,0,40.8,13.2,57,0,0,46.3,61,0,8
1987,83,19,0,26.5,,59,59,,,0,0,17
1988,16,5,20,58,125,20,20,0,50.5,0,0,0
1989,10,0,12,12,11,0,30,139,0,0,32,41
1990,0,39,0,,68,,41,0,,,0,0
1991,0,20,0,0,11,48,68,15,36,30,0,39
1992,143,11,0,7,69,129,78,11,18,0,40,10
1993,0,0,0,0,22,39,12,41,33,0,26,0
1994,0,0,0,0,47,61,13,30,0,18,0,0
1995,0,0,0,0,0,0,23,0,0,0,0,45
1996,0,0,12,0,0,0,43,0,34,0,0,0
1997,0,0,56,83,84,23,23,44,23,11,10,20
1998,0,0,,0,0,0,32,25,35,0,0,0
1999,0,0,0,0,0,12,0,18,0,10,0,0
2000,0,0,0,0,40.8,54.6,0,0,0,0,0,0
2001,0,0,0,0,0,24,0,20,68,0,0,0
2002,0,12,11,12,34,40,67,22,70,63,0,0
2003,11,11,23,0,22,22,12,58,60,36,0,
2004,0,11,0,0,33,42,0,11,59,0,,0
2005,0,19,22,18,35,0,61,0,0,11,0,11
2006,12,0,0,13,12,0,83,41,0,0,,0
2007,12,0,0,0,18,0,26,0,11,0,,0
2008,11,0,11,28,50,0,41,36,18,0,0,0
2009,0,0,,,,,,,82,65,0,101
2010,29,82,0,49,11,49,109,0,48,0,0,0
2011,16,18,0,18,72,29.5,43.5,9,56.5,30,33,0
2012,22,73,22,42,14,17,47,27,4,6,6,0
2013,169,0,0,15,165,88,57.5,24,116,39,39,133
2014,100,0,,6,105.5,76,75,22,13,,71,47
2015,109.9,,179.5,44,114.5,113.5,31.5,52,59.5,193,,22
2016,17,3,57,,,,100,39.3,42,13.6,56,0
2017,3,1.5,14.2,21.2,2.8,13.4,68.3,23.8,22.3,9.6,,
2018,23.7,37.8,0,,29.7,50.5,25.1,32.2,113.5,18.4,0,0
