Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,,,,,,10,5,51,3,,20,12.5
1957,2,25.5,13.5,5.5,96.5,44,8.5,10,80.5,23,0,1
1958,39,25,20,3.5,87,41,13,13,41,91.3,76,54
1959,36,78,10,49.5,51,32,70,41,49,89.5,2,12
1960,2.5,3,0,20.5,0,28,12,,,,,
1962,,,,7,68,16,11,31,72,5,3,35
1963,0,2,14,56,59,75,23,6,24,14,25,68
1964,15,32,6,42,59,44,41,42,47,6,46,34
1965,6,16,0,61,15,54,20,51,13,60,14,72
1966,58,0,66,66,,27,72,48,58,25,0,0
1967,37,0,87,8,26,20,18,42,58,18,10,30
1968,8,25,45,74,89,25,13,39,27,35,12,10
1969,5,20,0,22,37,80,8,6,30,20,47,30
1970,8,23,0,4,22,67,13,57,54,3,0,0
1971,0,0,9,2,57,136,8,54,24,44,0,2
1972,0,4,14,15,26,87,37,23,40,13,16,2
1973,102,13,0,13,52,181,,82,100,15,0,9
1974,9,0,5,32,5,0,0,49,0,10,0,0
1975,0,8,0,0,31,3,75,58,36,24,0,12.4
1976,0,0,15,17,18,0,152,0,70.2,36,84,48
1977,9,23,4,43,55,38,,0,26,8,2,4
1978,3,29,6,59,31,40,10,73,107,25,7,2
1979,17,2,2,49,28,15,12,73,4,0,0,79
1980,16,11,0,6,23,2,0,15,11,74,28.1,13
1981,62,3,69.5,23,99.4,27,58.2,55.3,9.2,18.1,0,1
1982,0,2,0,95,39,,,35,19,37.5,29,0
1983,13,0,1,0,118.4,22,40,1,19,6,29,0
1984,100,6,6,0,5,41,20,33,13,16,0,11
1985,25.6,34.5,15,110.4,68.7,213.7,150.4,80.4,173.5,55,3.6,47.8
1986,0,6.2,3.3,76.2,71.5,85.9,287.5,345.5,213.9,150.5,83.6,37.5
1987,73.3,45.6,3,36.6,115.4,48.2,53.9,35.2,92.7,0,7.2,23.6
1988,4,5.1,17,53.1,32,21.3,72.9,87.7,51.5,4.5,3.2,0
1989,2.5,0,3.7,26.7,8.3,38.7,14.9,47,8.3,0,41,53.9
1990,13.1,48.6,9.3,23.2,87.9,1.6,71.3,22.7,46.9,83.1,1.8,10.5
1991,5.3,14.5,0,6.3,50.4,47.9,68,26.1,57.5,12.6,5.7,45.1
1992,132.7,20.6,11.9,26.3,169.1,53.2,80.5,46.5,19.5,27.3,44.8,13.8
1993,8.5,0.4,9,4.1,13.3,128.5,15.3,31.2,118.5,23,47,15
1994,10.3,0,0.5,7.7,93,71,32.5,33,48.8,0,0,25.5
1995,5,0,6.8,1.3,26.5,20.5,36.6,96,10.5,8,1.5,23.5
1996,0,12.5,2,2,15.5,3,22,47,45,5.3,0,0
1997,14,21,44.5,74.3,59.2,93.9,21.5,24.5,28,50.5,16.2,5
1998,0,0,0,11.8,10.8,37.2,19.5,35.5,19,21.2,0.5,0
1999,0,0,4,2.8,11.8,49.9,43,17.3,3,24.5,0,0
2000,0,0,10.4,3.2,11.5,70.7,0.5,47.6,3,28.9,25.6,13
2001,8,20.5,21,37.3,27.5,16,46.5,23,45,21,12,8
2002,9,2,0,68,17,15,37.5,26,16,12.5,44.5,0
2003,1,0,21,0,28,64.5,94.5,65,59,0,,0
2004,0,,,,,,83.5,11,36,8,0,0
2005,14,81.3,64.5,0,41,3,86,5.1,1,1,0,3
2006,10,0,5.5,11,46,24,18,42,,63,0,3.5
2007,2.7,0,0,5,45,57,33,10,30,0,0,0
2008,0,0,0,0,0,0,29,193,29,0,,
2009,,,,,,17,,,112,9,0,6
2010,46,61,0,23,76,170,131.5,0,,8.5,0,0
2011,2,3,0,7,6,3.5,17.9,12.6,28.7,6.2,19.2,0
2012,2,86.9,20,,40.5,16.2,16.8,34,36,3.3,0,1.5
2013,54.8,0,0,12.2,34.9,32.1,47.2,6.9,33.5,63,25.6,
2014,17,0,26.5,2.5,66.8,68.9,46.8,50.4,84.9,25.5,92.1,17.7
2015,9.9,31.9,115,28.9,93.1,167,6.6,30.6,20.8,167.9,17.2,5.6
2016,1.5,32.3,31.8,25,94.9,14.7,23.1,50.9,16.6,40.3,,0
2017,2.6,3,52.6,14.3,10.4,12.7,73.4,20.4,57.5,38.3,0,43.6
2018,16.8,27.7,0,63.3,47.5,29.9,30.8,26.1,157.4,30.4,17.1,7.7
