Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,0,8,7,61,,27,66,,,59,59,4
1983,24,20,0,0,70.8,15,45,94,54,20,38.5,0
1984,43,11,0,0,11,5,21,27,52,0,12,0
1985,48,13,7,48,52,27,42,12,46,15,,
1987,21,24,0,42,68,41,47,49,39,0,2,31
1988,16,,22,42,0,16,75,183,20,0,0,4
1989,3,5,0,6,47,13,53,106,,8,68,94
1990,13,42,43,18,70,117,114,66,17,29,3,0
1991,5,32,0,0,41,31,129,75,35,21,2,108
1992,209,47,17,30,96,24,,,,,,
1993,12,0,20,11,18,70,54,56,61,20,4,
1994,6,0,41,21,61,84,38,42,4,18,2,55
1995,24,0,0,8,7,50,24,78,112,0,20,36
1996,0,4,0,0,25,27,118,11,68,0,6,18
1997,32,0,38,46,42,22,81,13,30,42,64,0
1998,0,8,0,11,6,,16,67,63,22,3,0
1999,0,0,8,5,14,57,57,72,24,40,0,0
2000,0,0,28,0,77,211,26,171,12,37,23,
2001,0,40,56,6,10,26,63,116,117,20,10,17
2002,4,0,0,22,,,,,128,88,4,0
2003,47,48,2,11,,104,94,101,46,44,22,0
2004,32,37,60,14,18,98,104,184,107,6,18,
2005,,0,0,0,4,6,184,66,48,0,0,16
2006,26,0,0,0,0,45,107,109,143,38,0,9
2007,34,10,24,0,0,6,219,,,,,
