Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,1.5,21,0,22,20.5,21.5,20,38.7,11,38.1,28.5,3.5
1981,103.6,7.5,23.9,113.5,55.5,16.4,50.5,34.6,26.2,67.7,0,1.5
1982,0,,0,14.7,41,48.8,1.5,35.7,,17.3,42,39
1983,36,23.5,3.5,0,92,,,65.5,,13.5,0,1
1984,103,6.5,,,44.7,19.3,75,,,,,
1985,43.5,,1.5,144.3,206.5,53,19,14.5,33,130,,
1986,1.5,,0,33.5,30,73.8,27.5,49,20.5,54,25,40.5
1987,13,37,0,14.5,95,27.5,60,103,140.6,11.5,14,2
1988,8.5,7,0,25,22.5,20.5,36,28.5,169.5,9,0,5.5
1989,9,20.5,0,73,0,7,25,52,10.5,0,42,45.5
1990,34.5,24,5,25.5,16.5,1,48,26.5,46.8,23,3,0
1991,5.5,20.5,1,1,23.5,89.5,39,54.5,64,6.5,4,44.5
1992,80.5,23,2,15.5,20,2.5,11.5,,28.5,24.5,10.5,27
1993,15.5,0,1.5,1.5,52,23,12.5,10,65.5,3,12.5,8.5
1994,9.5,0,30,13,7,33,40.5,3,73,31,6,25
1995,4,15.5,4,3.5,29.5,17,5,57,20.5,38,20,24.5
1996,18,2,0,0.5,11,2.5,51.5,134,13,26.5,14.5,0
1997,11,5.3,50.5,63.5,68,30.2,14,46.5,56,12.5,27,12
1998,1,2,4,0,13.5,21.5,8.5,8.5,65.5,5.3,8.3,1.5
1999,0,0,0,0,29.5,48,41.5,4.5,25.5,8.5,3.5,10.5
2000,2.5,6.5,12.5,0.5,39.5,51.5,28,16.5,25,44,17.5,6.5
2001,6.5,30,30.5,0,7,32,17.5,18.5,76,4,48.5,11.5
2002,0,3,0,5.5,34.5,18.5,164,7,63.5,71,14.5,0
2003,15,29.5,21,2.5,20,55,73.5,9.5,106.5,32.6,4,1
2004,16.5,5.5,21,64.5,3,64.5,59,65,91,8,,
2005,10.5,43.5,6,0,26,29,72,12.5,,5,1.5,1
2006,4.5,0,0,0,,28.5,104.5,19,90,16.5,,30
2008,6,,0,7,16,,,107.5,51,,,4
2009,0,0,8,0,52,0,50,2,89.5,26.5,25,19
2010,19.3,27.5,2,24.5,34.2,91.5,158.5,20.1,73.6,0,0,0
2011,5.5,0,0,0,9.5,12.9,31.2,17,3.5,2,1,8.6
2012,2,7.4,4.3,0,15.2,32,39.6,45,102,31,2,0
2013,28,0,0,20,92,18,29,5,137.5,47.8,56.5,
