Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,42,0,0,0,135,15,32,55,15
1981,88,29,41.3,35.5,45.2,20,16.2,4.1,53.8,46.6,0,0
1982,0,3,8.5,22.4,30.4,11,1,7.5,27,12.5,30,40.5
1983,49,60,67,0,48,4.5,34,,22.5,0,0,8.5
1984,82,,,,19,0,0,,,,,
1985,29,12,6,34,34,8.7,6,0,,27.2,2,0
1986,0,,,,,,,,,,,
2001,,,,,,,9,0,74.1,0,42,6.5
2002,0,8,25,7,49,20.5,0,29,128,0,57,0
2003,21,32,0,0,91,48,55,93,277,202,45,26
2004,22,7,48,72,13,11,47,91,185,25,40,0
2005,24,45,8,0,107,0,0,0,0,0,0,0
2006,0,0,0,49,3,4,46,0,181,38,0,101.5
2008,43,0,0,20,30,0,226.5,148,251,0,0,0
2009,0,20,0,0,22,,,,23,24,,
