Year,January,February,March,April,May,June,July,August,September,October,November,December
1974,,,,,,,44.4,29.7,51.2,6,11,1.5
1975,1.7,63.3,0,2.2,33.5,80,98.6,68.5,97.1,37.5,0,34
1976,2,0,29.7,25,44.7,37.5,132.5,45.3,78.1,37.5,55.2,27.5
1977,16,4.3,0,99,98.5,31.5,37,91.4,130.4,34.5,1,0
1978,8.5,12.5,11,29.8,77,31.8,74,74.9,285.6,56.5,2,9
1979,4,14.8,3.8,54.4,39,35.3,27.6,50.7,30.8,1,0,110
1980,8.5,8.5,0,18.5,56.8,19.5,76.5,54.5,55.9,88.5,28,18
1981,91.7,8.4,17.6,38.4,103,77.9,18.3,79.2,86.6,,0,2
1982,,11,0,80.5,50.7,23,29,38.5,81.6,81.2,0,2
1983,32.5,13,21,0,35,1,71.2,89.8,33.8,10.5,11.5,0
1984,140,7.1,0,0,69.9,62.7,59.7,64.2,121,17,0,5.5
1985,29.7,9.9,2.5,134.1,32.1,118.5,28.8,45.1,20,33.5,0,45.2
1986,0,2,3,72.9,13.2,111.7,0.2,36.8,156.5,85.5,47.8,27
1987,64.7,2,21.5,25.5,127,95.2,56.5,20.5,57.8,0,10,9.8
1988,18.5,0,19.8,49,42.5,33.5,78,177,246.5,6.5,2.5,0
1989,6,0,4,8,18,21,20,60,105.5,20,34,75.5
1990,4,54,13.5,4.5,81,23.5,79,189.5,137.5,93.5,0,0
1991,1,31.5,0,16.5,92,53,42,103.8,45.8,37.7,0,34.5
1992,135.5,23.2,18.7,43.3,187.8,55,35.1,109.5,41.5,36.5,37.4,9.9
1993,0.5,9.5,1,16.5,29.1,134.9,43,22.5,156.1,23.3,13,20
1994,7.9,0,2.8,27,75.5,126.4,59.3,31.8,109,61,22.6,21.9
1995,8.5,1.4,9,0,53.7,16.3,101.4,225.8,69.5,9.5,1,13.2
1996,3,9.1,0,3,4.7,89.1,16.2,121,42.5,41.7,1.4,0
1997,23,16,59.4,101.8,37.6,40.4,18,70.3,68,73.9,2.1,21
1998,0,0,3.6,11.8,10.1,86.7,38.5,37.2,109.5,85,0,0
1999,0,2.1,18.4,5.5,11.5,94,70,21,37.5,,0,17
2000,0,0,0,0,27,86.7,38.5,31.4,99.5,85,,
2001,0,0,47.4,28,10.1,53,107,73,139.5,0,0,0
2002,0,0,0,55.5,0,93,0,37,139.5,0,0,
2003,,,,,,,,,0,,,
2004,0,0,0,0,43,,140.5,127,48,0,0,0
2005,0,20,0,0,0,5,256,0,55,210,4,0
2006,0,0,0,0,43,,20,0,30,0,,
2007,0,0,0,0,0,0,91,0,0,0,0,
2008,,,,,,,,,,,,0
2009,0,2,0,0,49,,41.7,2.6,,,,
2012,2,111,21.8,29.5,87.6,77.4,103.8,46.6,36.9,13.8,17.6,0.2
2013,66.6,0,1.3,24.6,91.4,113.2,77.4,69.7,475.7,47.1,16.2,174.4
2014,29.7,2.2,30.7,45.2,94.5,201.6,129,54.6,369.9,78.1,144.5,23
2015,36.3,63.5,123.1,63.8,116.2,68.4,95.2,94.8,49,186.4,0.5,0.6
2016,43.2,0,27.5,17.1,157.5,58.8,53.6,80.2,19.3,86.5,78.2,5.1
2017,3,7.7,71.7,18.6,41.4,101.9,126.6,113.6,112.6,101.2,0,33.4
2018,33.3,41.9,0,126.7,60.9,149,147.4,36.5,354.9,29.3,34.6,4.9
