Year,January,February,March,April,May,June,July,August,September,October,November,December
1969,0,14,,30,45.1,,,,,,21.5,9
1970,,,,28,89.5,21.5,200.5,215,383.5,29,0,0
1971,4,9.5,0,0,100,538.5,52.5,177.5,514.5,418.5,,
1972,0,,,,,,,,,,,
1975,1,0,10.6,25,5.9,0,55,56,53,17,,12
1976,5,0,25,101,45,74.7,204.7,23,69,52.8,124,12
1977,12,19.5,6,18,5,24,0,18,75,8,0,0
1978,0,,,,,,,53.7,262.9,123.3,8.8,9
1979,1,0,4,27.4,1,,,10,68,0,0,
1980,,,,,,56.6,0,108.1,41.5,19,30.8,2.8
1981,66.6,17.7,24.1,89,87.9,84.7,49.8,86.4,43.7,,0,2.4
1982,0,0,8.2,36.6,162.7,,2.3,175.1,44.8,8.5,18.7,
1983,52.2,46,2.8,,49.1,6,99.9,40.3,47.6,20,2,17.5
1984,119.1,0,0,0,82.7,7.5,12.5,0,122.3,14.7,8.5,25.7
1985,39.8,14.3,8.6,74.5,,38.2,17,20,93.1,33.3,3.5,2
1986,1.5,13.5,8.7,53.7,161.7,287.7,0,0,88.3,51.1,9,52.8
1987,11,48.3,17.3,24.5,63.3,66.2,107.3,132.7,22.2,26,10.1,4.5
1988,20.2,16.3,2.2,20.5,75.1,40.7,112.7,226.1,153.7,26.4,0,0
1989,30.5,12.2,0,28.1,0,9.2,80.5,99.4,88.1,3.3,16.4,41.3
1990,22.8,31.4,23.6,35.9,11.3,0,39.8,56,78,14.5,0,0
1991,9.9,0,12.3,4.3,55.8,114,0,6.6,105.2,32,2.5,57.6
1992,74.2,18.9,4.2,43.5,90.8,24.4,4.7,20.9,81,23.5,30.9,30.4
1993,13.5,12.9,12.7,37.1,39.2,115.4,2.5,3.6,155.3,2.4,11.3,6.8
1994,63.5,5.3,22.6,12.5,54.8,21.8,23.6,80.5,62.4,46.2,20.6,25
1995,10.7,11,19.1,7.3,54.4,10.7,31.3,80.3,32.3,8.4,46.6,28.5
1996,2.3,0,2.5,6.2,,40.7,5.2,154.5,18.7,99.6,11.9,2
1997,7.1,27.7,113.5,78.5,68.8,63.5,76.3,0,78.5,116,19.2,3
1998,0,25.2,20.6,0,0,5.3,0,83.4,224.1,36.5,39.1,0
1999,0,0,42.8,15.2,48.9,125.8,46.2,108,60.5,22,0,11.9
2000,6.9,23,4,42,122.1,16.3,13.2,14.3,112.2,217.8,16.9,11.9
2001,17.9,31.9,22.4,26.6,5.2,57.4,3.5,68.2,244.4,5.8,19.9,
2002,0,2.2,0,11.9,44.1,32,204.6,3.2,137.1,66.8,15.8,0
2003,31.3,23.4,9.2,9.2,50.5,64.7,120.2,124.9,367.4,125.4,42.1,29.6
2004,20.7,7.3,86.4,45.6,25.7,37.1,60.8,138.3,228.4,6.2,,3.8
2005,31.4,37.1,1.5,5.5,82.9,,,,,,,3.5
2006,0,9.7,3.2,0,45.1,0,46.4,27.7,218.4,143.5,,112.7
2008,27.8,0,0,25.4,107.7,0,212.6,343.5,268,6.5,0,5
2009,6.5,5,5,0,71.5,6,68.5,4,28.4,113.3,51,29.1
2010,20.5,17.8,3.5,250.5,16,242,298,46,176.5,5.5,0,0
2011,18.5,0,3,0,4.5,46.5,53,2.5,3.5,3.5,0,32.5
2012,2,24,13,0,49.5,81,28,38,18.5,2.5,2,2
2013,25,1,13,24,103,11,51,20,248.5,2.5,40.5,61
2014,2,13,9.5,1.5,30,17,20,67,160.5,32,42.1,44.5
2015,26,21.05,56,146,91,34,20,0,48.5,54,9.5,2
2016,34,0,47.5,68.5,108,79,40,183.2,80.3,20.2,68.8,30
2017,20,17.5,58,38,87,137,23.6,16,267.5,37.5,0.7,71
2018,1,6,15,30,21,42,50.5,42,327.5,111,12,18
