Year,January,February,March,April,May,June,July,August,September,October,November,December
1983,,,,,,,,,136.3,34.5,0,3.3
1984,151.3,27,,,131.7,48.8,47.8,,,,,
1985,22.1,8.5,26.6,92.6,93.4,224.7,26.3,27.2,41.6,92.4,10,38.5
1986,0.3,2.1,0,21.9,169.3,,,,,,,
1997,,,,,,13.2,31.5,1.5,7.7,66.8,22.3,9.3
1998,0,15,34.6,0.5,0,3,17,156.6,96.6,6.1,34,
1999,0,0,49.8,0,13.7,85.8,59.2,31.2,67.2,26,1.6,16.5
2000,8.5,0,0.8,48.6,109.2,87.2,33,26.1,63.4,140.6,14.5,14.7
2001,14.8,25.3,18.2,11.2,50.2,102.7,1.2,30.9,170.3,0,32.9,4.8
2002,1.2,3.1,0,12.6,17.8,67.9,28.2,161,285.5,109.6,18.8,1.2
2003,20.8,18.3,28.8,22.7,20,124.6,65.1,55,229.6,189.8,8,6.3
2004,16.7,6,24.5,125,46.9,56.5,10.3,72.6,213.8,8,12,2.8
2005,12,56.8,16.5,33.1,101.1,0,300.2,1,29.5,100.3,10.3,12.8
2006,0,7,6.7,0,107.6,12.3,42.2,,292.5,54,19,101
2008,37.3,7.5,1.3,17.7,3.5,4.5,286.5,371.1,374.4,8.6,4.5,3.5
2009,11.61,10.8,95,0,60,17.5,0,11.7,231.2,68.8,30.7,16.4
2010,49.7,57.7,9.7,121.6,42.8,142.9,354.2,22,356.6,0,0,0
2011,13.9,0,0.7,0,39.2,48.6,74.7,0,29,18.6,0,30.3
2012,0.5,48.1,17.5,99.2,79.7,66.9,31.1,66,32.7,2,41.8,9.7
2013,24,0,2,15,85.5,19.8,95.7,70.1,306.2,11.6,41.1,94.6
2014,8.9,8.6,25.3,11.5,25,17.1,38.9,11,223.8,90,52.1,38.3
2015,10.8,18.3,97.7,215,108.7,128.8,15,0.2,92,48.9,,0.7
2016,17.6,0,25.7,36.1,201.6,34.6,44.39,76,91.6,37.1,38.4,39.8
2017,11.4,0,102.1,119.5,54.3,10.4,36.3,4.5,144.3,85.5,16.6,27.1
2018,9.8,42,5,,109.7,103.5,5.4,0,252.9,45.5,12,13.4
