Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,,,0,10,111,99.3,222,36,6
1981,91.3,13.3,23.7,135.3,112,157,76.3,177,122.4,,,
1982,0,20.2,47.9,140.2,64,0,,0,96,47,16.3,54.5
1983,21.8,34.6,48.8,,244,,114,206.4,75,38,9,9.1
1984,155.1,2.5,,0,127.5,90.6,73.8,,,,,
1985,35.9,11.5,8.5,144.5,137.1,79.6,32.3,,,,29.6,25.4
1986,6,12.5,6,,,,,,,,,
1997,,,,,,,20,17,71,47,17,4
1998,0,7,20,0,0,22,41,67,101,93,56,0
1999,0,0,24,0,59,103,154,53,107,22.2,0,2
2000,0,0,5,6,90,87,0,86,39,115,11,
2001,13,15,69,39,33,91,13,71,345,0,28.3,0
2002,0,18,0,6,17,59,120.8,23,247,283,18,0
2003,23,0,8,39,75,217,21,202,332,185,0,18
2004,0,18,45.2,181,5,66,33,89,212.3,30,3,0
2005,6,61,48,5,76,6,372,0,62,220,52,19
2006,0,0,16,50,38,41,62.3,60,,,,
2008,29,3,10,101,46,21,169,140,545,162,27,0
2009,10,8,15.7,6,81,43,0,18,18,95,33,31
2010,15,55,8,176,62,247,175,11,228,0,0,0
2011,15,0,7,20,6,46.5,34,19,4,5,15,35
2012,3,112,53,93,5,54.1,22.8,91.7,70,4,58,0
2013,50,3,6,13,141,54,105,,432,5,,136
2014,42,23.4,50,7,92.7,65,61,19,233,48,66,45
2015,40,58,89,111,162,183,7,18,16,77,40,2
2016,46,0,43,107,190,150,2,63,42,200,29,8
2017,0,0,102,,85,28,48,29,207,86,22,19
2018,82,18,17,102,267,43,39,9,148,32,18,8
