Year,January,February,March,April,May,June,July,August,September,October,November,December
1986,3,19.5,10.5,54,111,237.5,0,13,59.5,40.5,28,91.2
1987,29,33.1,15.2,24.7,101.7,111.9,76.5,45.8,70,5.8,10.8,17.2
1988,39.5,14.2,7.8,30.4,55,113,113.8,127.9,311.9,51,0,0.5
1989,15.5,12.2,0,42,0,38.2,58.2,143.2,4.6,0,8.6,74.8
1990,2.2,51.5,12.1,7.8,7.7,8,29.3,107.4,87.8,3.7,6,1
1991,20.7,21.5,2.7,10.2,85,155.3,6.6,5.3,86.5,26.3,8.5,29.6
1992,75.6,26,11.3,82.5,58.9,3.9,1.7,105.4,59.4,100,89.8,4
1993,10.5,14.4,15.5,0.5,196,190,6,0,91,29.5,46.5,10
1994,59.3,2,26.5,7,67,129.3,123,51.5,25.7,24,4.5,16.9
1995,9,2,8.5,5.5,38,40.9,29.9,153.5,54,35,4.5,17
1996,6.5,0,0,0.5,0,30,1,104.9,7.3,28,16.4,1.5
1997,,,,,,,,15,59.7,32.4,27.5,6.2
1998,0,44.5,23.4,0,0,42,0,19.6,131.2,20.5,69.5,0
1999,0,1,31.3,20,83,80.3,45.5,6,49,8.6,10.1,25.1
2000,16.4,6.6,2.8,27.6,34.2,38.8,19,9.7,27,60.2,16.1,15.4
2001,15.1,32.8,38.9,32,26,34.5,6.7,91.4,80.8,0,74.7,6.2
2002,0,0.5,0,6.3,18.7,9.2,119.7,5.7,162.4,119.2,35,2.5
2003,27.2,25,40.2,46.1,87.2,22.5,49,84,264.7,139.5,9.5,1.2
2004,19.5,8,182.5,207,44,133,35,120.5,186.5,0,9,14.5
2005,2.3,46,18,1.5,126.5,0.5,49.3,0,55,36,17,14.2
2006,0,6.5,11.5,62,160,5,51.5,5,177.7,62.5,3,87.9
2008,48,7,0.5,29.5,10,1,193,314.5,267,2,12.5,6.6
2009,2,12.5,6.5,0,51.5,1,0,111,87,23.2,0,36
2010,42.9,36.1,15.7,98.2,59.5,186,217.5,3,169.6,14.5,1,0
2011,34.7,0,0,0,3,30.5,49,0,91.5,15,0,40
2012,2,75,2,27.7,56.5,109,18,6,60.5,16.5,28,6.5
2013,60,0,0,34.7,52.5,0,116.9,29.5,291.5,4.5,47.8,119.8
2014,7,9.7,15.6,12,106,22.5,31,22.5,231.6,32.5,81.7,69.5
2015,58.5,12.9,79.5,219.4,288.5,76,5,58,24.8,106.5,15,5.5
2016,17,0,69.5,202.5,163.7,39.5,48,153.5,74.5,79,17,23.8
2017,19,3.5,21,57,107.5,128.5,31.5,40,55.3,85.3,36.5,46.5
2018,13,54.9,5,120,29,88.5,8,6.5,182.5,52,11,4.5
