Year,January,February,March,April,May,June,July,August,September,October,November,December
1949,20,70.7,10.2,204.5,92.3,64,25.7,23,34.3,86,15.3,12.5
1950,0,0,10,175.5,0,0,0,5,55.5,27.5,0,0
1951,0,,10.5,0,22.5,46.5,7.2,22.6,181,58.4,0,0
1952,0,5,44.1,9.8,25.2,137.4,0,0,105.4,0,70.5,0
1953,,18.2,43.4,16.3,14.1,0,76.2,449.1,30.5,292,0,21
1954,10.3,0,0,60.7,101.2,65.3,70.5,68.4,20,75.2,9,0
1955,30,314.5,2.5,1.5,70.5,1.5,21.5,54,169.9,25.3,50.6,0
1956,1.5,2.1,0,32,1,5.2,21.5,46.7,0,,12.5,0
1957,0,52,31.7,158.8,76.2,49.5,0,4,15.4,16.6,35,0.7
1958,59.7,25,12.5,3,22,95.5,18.1,19.5,178,241.5,47.7,12.5
1959,25.5,41.5,0,7.5,58.5,43,15.2,70.7,85,48.2,0,10
1960,0,29,8.5,15.2,8,36,6,88.5,85,101,28.2,19
1961,29.2,0,12.5,38.4,9,48.1,12.8,0,229.5,50,25.7,3.5
1962,5.5,20,20.5,53,34.3,63.3,0,61.8,70.8,2,1,38.1
1963,5,5.5,2,41,72.2,15.5,11.2,12,105.5,78.4,46,53.5
1964,8,3,30.5,53,111.3,0,28.5,1.5,117,4.7,22,8
1965,13,86.3,26,3,151.3,1,7.5,50.2,131,44.4,19.8,37.8
1966,16.1,16.2,16.8,24,288.9,278.7,66.9,41.5,91.2,83.7,0,0
1967,13.5,0,0,118.5,21.2,10,0,291.8,197,3.5,43.3,2.5
1968,21.2,7.2,7.2,7.8,4.5,12.5,128.2,34,69.5,2,0,0
1969,0,18.2,7.5,0,60,80.8,0,21.2,55.3,60.2,35,5
1970,39.5,24.5,0,5,13.5,100,96,87,175.6,5,0,2
1971,18,34,0,3,7,46.3,43,225,335,116,1,7
1972,1,15,18.3,46.7,182.9,329,101,9,145.5,19,16,3
1973,40.5,62,0,2,20,182,15,208.5,173,70.5,0,8
1974,5,0,80.5,340,15,59.5,14.5,4,63.5,17,4.5,3.5
1975,3.5,11,1,25,47.9,51.5,168.4,116,52,18,1,43
1976,3.5,0,9.5,50,78.5,103,130,77.5,163.5,141,86,18.9
1977,23.5,22.5,8,25,43,14.5,11.5,159.5,142.5,33,2.4,6.2
1978,34.5,13.5,1,47.5,116,45.8,6.2,23.1,232.5,73,6.8,22
1979,7.5,5.5,1,29.4,25.5,97.5,50.7,15,122.5,0,3.5,72.5
1980,7.8,11,0.8,0,81.5,10,84.5,84.9,22,86,67.8,5.7
1981,82.9,14,23,139.5,99,122,58,152,39,11.5,0,0.5
1982,1,10,8,95,83.5,5,0,1.5,94,22,44.5,57.9
1983,22.6,115.5,23.5,0,166.5,54,27,116,286.3,50.5,0,11.5
1984,128.2,15.2,5.5,0,44,17.5,36.5,24.5,52,19.4,17.7,14.5
1985,29.4,8.5,34.8,80,88.5,74.5,2.5,72,24.5,5,7.5,14
1986,3,19.5,10.5,56,111,237.5,0,13,59.5,40.5,28,91.2
1987,28.8,33,16,24.5,102,111.5,76.5,45.5,69,6,10.5,
