Year,January,February,March,April,May,June,July,August,September,October,November,December
1945,0,,,9.6,8.3,27.9,20.3,15.6,44.3,3,15.8,4.8
1948,7.6,5.7,6.2,2.2,8.6,23.4,12.2,8.3,58.9,19.4,1.8,0.8
1949,2.4,1.8,0,4.6,7.1,56.5,7.2,26.6,21.6,29.5,0,4.2
1950,0,0,14.2,4.2,22.5,5,31,68.2,25.5,,0,0
1951,0,0,11.6,1.8,12.8,10.6,5.6,7.8,22,15.3,9.3,1.3
1952,0,0,0,8.5,12,30,9,3.2,6.2,0,0.3,2
1953,0,7.5,0.3,0,0,13.5,30,28,0.3,18,0,15
1954,0.4,0,0,15,15,25,15,15,15,20,5,0
1955,0.2,0.6,0,0,20,0.3,50,40,15,0,15,0
1956,0,0,0,6,7,12,25,25,10,10,12,0
1957,0,25,0,0,15,5,15,10,25,6,5,0
1958,0,5,0,0,7,20,5,20,20,40,30,6
1959,0,30,0,0,30,5,25,25,30,30,10,5
1960,4,10,0,5,0,5,25,20,15,20,0,10
1961,10,10,12,0,6,35,20,65,10,0,0,0
1962,10,10,10,0,0,10,1,1,1,0,10,1
1963,1,0.6,1.2,1,1,10,1,10,120,10,10,10
1964,0,10,10,10,10,12,10,10,100,10.5,27,4
1965,3.5,3.5,1.5,4,12,13,23,9,33.5,8,6,12.5
1966,18,8.5,4.5,12,,,,,,,,
1967,,,11.5,24,0,13,24,22,53,21,1,2.5
1968,1.5,1.2,7.5,0.9,0.7,1.4,2.5,2.9,5.6,0.1,0.4,5
1969,1,3,0,0,5,38,53,33,2,3,25,20
1970,13,14,0,0,4,13,22,19,20,3,0,0
1971,1,0,0,0,14,33,36,41,24,27,0,3
1972,1,1,1,8,26,47,20,29,6,6,7,2
1973,2,14,0,1,7,28,23,28,44,34,0,5
1974,3,0,10,4,2,10,25,19,72,19,6,3
1975,2,4,0,0,8,4,37,33,3,15,0,14
1976,3,0,0,15,24,18,31,25,32,15,30,15
1977,19,1,0,9,5,12,18,19,22,8,0,0
1978,6,1,1,0,4,14,16,37,33,8,0,14
1979,4,3,0,12,5,17,20,19,0,0,4,20
1980,2,13,0,5,1,2,21,9,18,15,9,1
1981,21,14,6,21,40.3,24,11,13.8,21,15.2,0,2
1982,0,11,0,23,27,1,32,22,12,7,27.5,10
1983,6,21.5,2,0,39,10,20,16,48,7,0,0
1984,35,0,0,0,22,15,37,6,15,4,0,7
1985,10,10,0,28,12,35,5,4,22,28,,2
1986,1,0,0,7,10,40,17,18,20,13,2,14
1987,16,26,,12,9,15,20,13,34,1,8,7
1988,7,0,4,13,11,27,24,26,60,11,0,0
1989,0,1,0,0,13,17,19,31,16,8,19,28
1990,3,4,5,10,9,6,20,23,26,15,0,0
1991,1,9,0,0,14,13,16,21,19,8,0,18
1992,19,7,0,2,20,7,15,26,46,3,14,0.5
1993,5,,0,0,6.5,50.5,26,20.5,18.5,5,11.5,19
1994,0.5,0,12,21.5,2.5,24,8.5,14,9,12,0,13
1995,2,0,0,0,,13,18.5,66,3.1,15,1,4.5
1996,5,1,0,0,64,23,49,17,16.5,7,6,0
1997,5,13,22,13.5,7,25,20,28,19.5,17,22,20
1998,0,4,0,0,0,10,6,22.5,12,38.5,11,0
1999,,,,,,,,,12,4.8,0,0
2000,0,0,8,0,18,43.5,22,15,22,5,9.5,12
2001,25,5.5,12,17,10,17,21.5,60,21,10.5,6,4.5
2002,0,22,11,28,10,7.5,25,15,48,38,6.5,0
2003,6,0,0,0,1,10,25.5,26,37.5,58,1.5,3
2004,14.5,10,10,9,14,14.5,26,34.5,36,21,10,1.5
2005,13,,4.5,1,16,3,30,5.5,9,0,0,0.5
2006,0,,2.5,0,18,20,16,35,18,0,0,20
2007,10,1,0,7,7,35,77,11.5,6,0,0,0
2008,1.5,0,0,0,4,29,22.5,73,20,0.5,0,0
2009,0,0,2.5,0,16,22.5,26,29,0,9,0.5,5.5
2010,14,17,2,0,0,0,0,0,0,9,0.5,0
2011,0,0,0,0,0,0,21,0.5,3.5,1,0,
2012,,0,0,0,0,0,0,,,16,0.5,0.5
2013,,0,,,,,,,,,,
2015,3,25.5,18,26.5,23,23,28,31.5,12,30.5,4,0
2016,13.8,0,28,46,27,24,17,28.5,14.5,2,19,6.5
2017,2.5,0,4.5,4,29.5,27,40,37,52,0,0,33
2018,0,2,0,16,14,17,28,21,22,34,4,13
