Year,January,February,March,April,May,June,July,August,September,October,November,December
1977,30.5,16.5,5.2,6,75,37.5,10,41.5,111.6,11,0,12
1978,21.8,9,0,31,102.1,39,17,41.7,246.1,79,1.7,9.5
1979,11,9.8,7,25.5,8,70,38.5,67.1,251.6,0,1.5,81.4
1980,7.8,12.5,0.5,0,119,3,4,106.9,32,13,46.5,18.5
1981,80.5,30,41.5,190,218,155,35,93,62,52.5,0,5
1982,0,8.5,47,64.9,89.8,26,0,,57.5,33,12.5,65.8
1983,42.5,194,15.3,0,90,36,53,121.5,127.5,62.5,6.5,10
1984,126,,,,38.4,58.5,48.5,,,,,
1985,39.5,27.5,54,287.5,137,101.5,45.5,24.5,31,120,12.5,11
1986,8,0,11.5,0,135,175,0,0,0,67,18.5,
1997,,,,,,,12,0,60,58.5,43.7,42
1998,0,20.5,53,0,0,4.9,30,72,116,26.5,41.3,0
1999,0,1.5,27.7,6,22,27,64.9,0,58,25,6,14.5
2000,16.3,2,11.5,23,35.1,39,4,36,48,55.7,22.2,9.7
2001,19.7,22.5,49.8,15.5,44.5,53,21.5,32.5,65,1.5,65.5,23.5
2002,0.4,7.5,2,13,7,5.5,187,20,78.5,98.9,21,1.5
2003,13.5,23.5,12.3,30.3,50,96,269,,,,,
2004,7.4,0,36.6,170,78,0,,,158.2,132.3,18,0
2005,10.1,118.9,13.4,0,65.2,0,404.1,0,42.7,48.2,27.3,0
2006,0,0,0,17.4,83.6,0,0,98,45,15,0,74.6
2008,15.3,0,20,0,24.3,14.3,225.5,429.9,116.9,0.9,0,5
2009,0,0,0,16.4,158,0,17.8,0,199.6,48.5,45.8,
2010,26.4,60.1,,,,107,118.2,5.9,312.3,0.9,0,0
2011,19.1,1,13.4,0,32.8,44.3,48.4,15,77.4,4.7,1.2,65.6
2012,4.3,65.2,27.3,30.2,69.3,168,64,101,61.8,26.5,26.3,6.5
2013,20.5,0,1,34.9,170.5,34.3,45.2,16.3,194,13.6,25,83.2
2014,4.7,8.6,15.7,2,129,26.9,59.2,67.4,212.7,61.2,49.2,43.9
2015,15.4,20,102.5,124.2,139.4,93.2,2.5,23,55.9,54.5,10.3,2.1
2016,20.9,0,48.8,12.2,145.2,59.9,0.8,55.1,200.7,19,9.4,28.7
2017,16.7,1.4,42,49,89.3,48.8,5,107.1,183.3,49.7,22,43.4
2018,8.1,14.3,0.3,67.4,28.8,70.2,31.6,0,361,48.4,14.6,12.9
