Year,January,February,March,April,May,June,July,August,September,October,November,December
2000,6,30,19,5,12,276.5,10,39,118,312,165,0
2001,30,0,0,0,39,71,12,404,205,36,42,0
2002,0,0,0,0,0.4,86,356.5,77,293,201,137,0
2003,39,20,0,0,43.5,111,87,205,393,65,12,0
2004,9,0,23,46,6,33,138,65,157,334,48,0
2005,0,1.2,8,0,10,0,156,17,20,78.5,0,0
2006,0,0,0,22.5,0,0,38.5,45.5,138.2,0,3.5,3
2008,3,0,0,0.3,26.3,10.5,131.7,46.4,134.9,24.3,2.3,0
2009,0,0,2,0,11.7,0,9.8,9.9,59.6,3.7,31.8,2.5
2010,18.5,0,2,12.1,4.7,132.6,68.5,0,89.4,0,0,0
2011,0,0,0,0,0,104.3,79.8,8,0,4.7,0,0.1
2012,0,2.8,1.5,0,7.9,50.5,80.3,33.6,15.5,14.4,0,0
2013,0,0,0,20,90.8,0,19.2,53.4,323.2,0,3.3,12.2
2014,0,0,0,2,0.3,27.9,28.6,22,81,12,32,35
2015,21,30,98,108,64.6,18,0,29,65,77,0,0
2016,18,0,32,4,73,59,44,200,37,87,76,0
2017,0,0,36,0,2,16,15,96,153,52,0,42
2018,0,19,0,14,58,120,0,12,273,45,0,0
