Year,January,February,March,April,May,June,July,August,September,October,November,December
1998,1,12.5,22,0,0,30.1,5,33.5,135,113,43,4
1999,0,0,25,59,54,38,141,52,62,22,0,28
2000,1,0,8,1,158,93,12,80,36,115,5,25
2001,14,13,37,65,95,83.6,36,83,331,5,82,4
2002,2,9,0,10,17,128,139,16,321,185,6,0
2003,16,9,10,13,57,279,36,141,404,155,5,3
2004,4,9,73,201,14,80,62,159,302,15,0,2
2005,8,57,64,15,135,6,436,18,78,236,26,22
2006,0,4,21,21,26,4,107,53,,,,
2008,35,2,10,131,54,24,180,154,437,128.7,34,1.3
2009,7,0.4,0.5,15,60.2,78,0,33,165,85,91,41
2010,23,41.1,8,175,15.2,73,127.8,23.5,218,0,0,0
2011,12,0,1,0,0.5,51.6,0.9,17.2,0,25,14,38
2012,4.5,112,42,76,26,94,51.5,65.6,80.4,35,136.5,1
2013,46,1,2,9.5,164.5,29,111.5,,349.1,6.1,40.5,126.1
2014,33.6,11.6,30.3,2.2,223,37.7,32.5,45.7,275.6,37.5,76,44.1
2015,29.3,45.2,81.05,71.1,165,95.8,5,27,35.5,69.1,26.7,5.8
2016,32.8,0,51.8,82.4,195.4,126.5,5.8,72.5,78.2,253.1,31.2,9.3
2017,18,0.2,72.1,85.8,15,41.8,59.6,68.9,90.8,116.1,9.3,20.7
2018,69.7,15.8,2.2,58.3,225.7,82.4,74.7,8.1,175.9,29,11.4,6.2
