Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,,,5.5,8,14.5,116,12.5,83,106.5,0,1.5,31.5
1980,5,7,0,0,165.5,6.5,61,254.5,123,69,48.5,12.5
1981,76,29.5,35,136.5,86,50.5,30,131,98.5,36,0,1
1982,0,7.5,10.5,27.5,71.5,21,23,59,41.5,38.5,14,57
1983,29.5,49,19,0,93.5,31.5,101,122.5,141.5,30,1,5.5
1984,138.5,2.5,0,2.5,134.5,40,88,4.5,128.5,17.5,12,58.5
1985,44,19.5,15.5,92.5,58.5,41.9,14.5,32.5,100,59,7,9.5
1986,0,12,1,29.5,82,159.5,2.5,56,215,101,22,78
1987,19.5,32.5,8,18,67,125.5,28,52.5,109.5,27.5,9.5,12
1988,44.5,17,4,31,22.5,36.5,100.5,139,234.5,58.5,1.5,3
1989,16.5,12,0,31.5,6.5,53,68,129,136.5,8,12.5,45.5
1990,1.5,9.5,31.5,33,38,31,76.5,67,174,27,8.7,0
1991,24.5,12,0,3,12.5,100.5,68,,180.5,,6,66
1992,115,20,,,,,,,,,,
1993,16,10.5,31.5,9,43,193,0,0,181,62.5,34,6
1994,58,10,33,13.5,47.5,,110.5,43.5,67,41,23,40.5
1995,11,12,20,10.5,109,29,82.5,133.5,46,27.5,15.5,22.5
1996,3.5,0,4.5,1.5,13,35,58,210.5,,,,
1997,,,,,,,13,49.5,62.5,87.5,34.5,4
1998,0,28,25,1,0,7,5.5,70,145,20.5,26.5,
1999,0,0,25,0,9,74,84,127.5,13.5,8,8,20
2000,11.5,3.5,1,3.5,111,102,7.5,17,62.5,96.5,21,23
2001,27.5,16.5,25.5,14,50,75,3,85,286,18,14,
2002,0,3.5,0,11,8,82,221,,,,,
2003,8,25,11,8,103,121,78.5,,,,,
2004,37.5,11,85,22.5,22.5,78.5,176,,,,,
2005,16,77.5,7,5,30,0,274,,,,,
2006,0,10.5,5,36,65,7.5,129,,,,,
2008,16,2,4,22,35,35,165,362,270,11,3,6.5
2009,8,13,8,34,18,35,27,26.6,91.5,44.5,33,16
2010,39,24,10.5,142.5,20,136,330.7,28,168,22,0,0
2011,20,0,0,0,9,40,70,18,127,21,0,19.5
2012,2,20,11,0,45.5,43,16,24,27,3,17,0
2013,27,0,7,26,78.5,6,77.5,43.5,255,19,24.2,90.5
2014,3,6,24,15,33.5,26.5,9,49,277,59.5,34.5,49.5
2015,16,33,54,80,49,137.5,12,39.5,39,37,9.5,2
2016,26,0.5,19,4,43,44,38,178.5,39,15.5,76,10
2017,2,1.5,37,52,23.5,12,22.5,68,314,77.5,9,33.5
2018,6.5,9.5,0,22.5,58,147,57,23,410,28,11,
