Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,12.6,16.2,38.7,16.1,88.9,147.9,57.1,66.7,200.6,60.9,8.4,2.3
1949,20.1,22,11.4,90,60.4,53.2,16.5,15.5,141.1,26.9,0,25.1
1950,4.2,10.5,35.9,8.2,11.9,64.3,41.8,9.5,53.7,18.1,2.4,0
1951,4.6,0,26,0.2,70.3,51.2,62.6,64.2,256.3,104.7,8.3,2.3
1952,3.7,14.2,,11.4,13,5.3,5.3,0,96.5,0,17,7
1953,0,9,21,8.5,0,31,11.5,178,67,124.5,0,7.5
1954,0,13.5,0,37,45,13.7,22,37.5,31,33.5,7,0
1955,5,5.8,0,0,16.5,3,91.7,81.1,298.3,20,8.8,1.5
1956,1.5,0.4,1.7,10.8,58.5,5,30.2,52.8,80,22,9.2,0.8
1957,2.4,8.7,0.3,80.5,34.7,25.5,16,38.5,56.3,52.8,21.5,7.2
1958,28.7,24.8,4.7,4.5,53,120,24,46,227.7,152.7,25.7,11.5
1959,16.4,62.1,0.3,9.2,60.2,22.1,101.7,21,101,66,12.3,0.2
1960,3,19,15,10.7,101.2,26.8,57,102.7,179.2,69.4,29.8,20.5
1961,12.4,0.2,36,13.5,18.5,24.5,58.5,34,82.8,120,2.3,0.3
1962,2,0,5.5,1.8,22,95.9,0,16.4,82.5,46.5,26.5,22.1
1963,0.6,9,7.2,16.2,30.2,36.2,21.5,29.5,163.3,32.3,10.7,28
1964,17.5,0.5,32,46,72.5,22.6,22.2,14,84.5,25,32,5.8
1965,1.7,8,7,81,151.5,38,15,45.5,159,30,39,51.7
1966,27.8,14.7,24,84,109.6,49.7,6,87.5,55,11.5,0,0
1967,5.5,0,89,52,8.5,57,5.5,316.5,476,39.5,55.5,14
1968,13,9,20,183.5,119,75,67,178.5,45.5,78,19,4.5
1969,5.5,22.5,38.5,23,62,55.5,32,125,60,48,30,13
1970,22,39,4,63,93,44,129,106.5,212.5,24,0,5
1971,2,18,17,0,63,163,41.5,181,251,53.5,18,9
1972,5,18.5,71,10,94,302,116,36.5,116.5,64,38,6.5
1973,37.5,52,0,8.5,16.5,292.5,92,169.5,272,147,13.5,21.5
1974,8,0,17,6,13.5,86,3.5,14,159.5,27,1,28
1975,23,22,4.5,20.5,29.5,9,144,270,130,10,3,28
1976,5,8,39.5,87,92.5,158,330.5,70,81,78,95.5,63
1977,36,17.5,4.5,8.5,25,44,19,116,12.5,56,15,26
1978,23.5,6.5,3,13.5,16.5,40,39,36.5,143,121.5,24,9.5
