Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,2,13,0,2,8,0,26,14,13,29,15,0
1981,37,24,24,51,27.1,,0,18,53.9,37.9,0,0
1982,0,6.2,0,20.2,43,20.3,42.3,47,0,5.2,44.5,8
1983,8,36,,0,26,0,11,71,12,15,0,3
1984,42,5,0,0,23,5,20,10,70,15,0,14
1985,36,8,0,58,25,29,5,0,0,20,,10
1986,,3,,,,,,,,,,
1987,0,49.5,,0,0,0,0,0,0,10,0,0
1988,2,7,0,12,9,,9.2,0,0,0,0,0
1989,0,0,0,11,0,16,,0,0,0,10,19
1990,,,,,0,0,0,,,,,0
1991,9,7,0,0,7,12,19,0,5,0,3,18
1992,36,12,3,0,10,0,0,0,9,12,23,0
1993,0,10,0,0,0,44,18,0,0,0,6,
1994,0,0,0,0,18,0,0,0,0,0,0,
1995,,,,,,,8,25,28,20,3,9
1996,2,0,0,0,2,0,50,26,70,54,17,0
1997,10,2,41,30,118,3,19,0,15,5,17,2
1998,3,3,0,0,0,30,20,186,26,7,3,0
1999,0,0,0,0,80,,157,60,30,30,,50
2000,0,0,16,0,44,21,65,11,13,26,13,17
2001,0,0,14,0,0,10,60,30,0,0,0,
2002,,,0,0,0,0,12,0,17,20,0,0
2003,15,14,14,0,0,11,30,20,42,0,21,0
2004,,42,0,0,0,51,0,,8,19,0,0
2005,,3,11,0,0,0,20,40,0,0,0,
2006,0,0,0,0,0,0,0,0,21,30,0,42
2007,15,0,20,0,0,90,199,0,0,0,2,0
2008,0,0,5,10,18,0,3,27,29,0,0,0
2009,0,0,0,20,13,108,20,17,33,0,0,22
2011,0,0,0,0,0,0,0,0.1,3,,3,0
2012,2,6,0,0,0,17,0,,,,,
2013,0,0,0,0,0,,,,,0,60,
2015,0,0,150,37.5,65.5,25,57.5,25,75,37.5,0,0
2016,12.5,0,20,0,1.5,7.5,7.15,42.4,0,0,12.5,9
2017,0,10,0,,0,0,9.8,11,39.5,0.2,0,74
2018,0,0,0,14.5,25.5,14,10,9,42.5,47,0,0
