Year,January,February,March,April,May,June,July,August,September,October,November,December
1954,0,0,,,12.5,0,1,18.5,1,14.5,3,1.5
1955,7,9.5,0,0,47,2,22,37.3,10.9,17,18,0
1956,0,0,0,4,20,0,3,1,23,0,,
1957,,,17.5,30,10.3,17,0,20.5,51,34.5,11.5,4.5
1958,5.9,0.5,1,4.5,6,52,33.5,55.5,167,118.5,8,0
1959,0,34,5,,12,64,17,29.5,13.5,7.7,8.5,1.6
1960,7.5,29,0,4.6,2.5,1.5,12,39.8,40.4,34.2,16.5,32
1961,8,0,0,0,6.5,5,21.5,0,9,20,15,0
1962,0,0,0,18.8,11,18.2,0,10.3,25.1,2.2,4.7,28.7
1963,0,2.1,0,2.8,23.2,6.6,0,0,83.6,39.5,13.7,21.2
1964,0.3,15,1.5,5,0,0,19,2,8.5,13.6,32.5,6
1965,6,9.6,0,3.5,21.5,20.5,9.4,0,59.7,8.5,18.8,34.9
1966,56.4,8.5,2.4,16.7,85.6,10.8,1.2,12.7,11.2,4.7,0,6.5
1967,16.2,5.3,24.9,16.5,26.5,0,8.2,69.5,197,10.1,4.5,2.8
1968,,14.2,11.1,23.4,27.9,30.6,16.9,126.7,44.4,42.2,11.7,0
1969,,,0,10.3,3.8,14.3,0,20,10.7,6,25.6,7.2
1970,,20.4,0.3,1.8,83.3,24.1,13.7,36,30.4,1.3,0,0
1971,,0,0,0,17.3,80.5,10.2,34.3,63.3,48.6,0,6.5
1972,,0.2,17.5,0,8.4,25.7,14.4,5.9,26,11.2,24.5,0
1973,,19.8,0,3.1,18.3,81,37.5,20.6,127.4,52.9,0,0.4
1974,2.5,0,1.6,0.3,0.3,49,0,8,67.1,0.6,4.5,
1975,0.6,10.1,0,0,16.7,0.8,45,35.8,66.5,14.4,0,42.5
1976,6.4,0,0.8,52.2,19.7,4,52.9,0,41.3,21.4,121.7,27.9
1977,12.7,0.2,1.5,14,13,15.6,3.7,7.8,42.3,7.7,0,4
1978,0,0.5,0,8.5,15.3,55.7,14.5,31.1,69.7,17,7.5,
1979,2.3,4.3,7.5,3.5,,21,3,6,35.7,0,4.5,40.4
1980,2.8,20.4,0,0,15,1,11,20.3,16.3,58.1,121,11.3
1981,47.9,13.4,17.3,66,37.4,28.4,8.8,4.8,79,69.4,0,0
1982,0,1,0,16.5,13.9,1,3.9,0,8.7,54.2,23.1,5
1983,27.8,28.7,10,0,43.5,11.9,34,31,19.8,30,0,
1984,81.8,2.8,0,,22.5,38,23.5,,,,,
1985,29,4,11,21,37,,18,4.5,6,6,,2
1986,0,1,1,,5.5,17.5,2,0,48,33,3.5,28
1987,10.5,22,0,49.5,27,,9,,94.5,9,4,10.5
1988,,3,1,13,15,0,46,29.5,199,0,,
1989,3,0,0,0,,,1,23,34.5,0,13,54.5
1990,11,7,3,5.5,6.5,0,11.5,35,22,35,0,0
1991,4.5,8,0,11,21,109,15.5,0,57,0,2,29
1992,59,11,0.5,20.5,21.5,3.5,2.5,6,11.5,16,19,10
1993,3,0.8,3,5,66,47.5,0,22.5,54,6.3,8,0.5
1994,0.5,0,14.5,15.3,5.8,6.5,8,0,39,18.5,0,46
1995,0,0,0.5,0,12.5,2,44,38,31.5,18,2.8,12.5
1996,19,0,0,8,17,2.5,0.5,50,3.8,16.5,10,0
1997,1.5,12,82,43.6,54.3,5.5,0,0,69,5.5,25,7.5
1998,0.5,17,0.3,0,0.5,30,3,29,43,22.5,5,0
1999,0,4,2.9,0,0.3,2,22,1.5,41,2.5,0,8
2000,0,5,1,0.5,3.5,21.5,2,25,26.5,34.5,29,0.5
2001,4,29,0.5,0,9,0,1,19,39,6,12,4.5
2002,0,0.5,,,,,,,,,,
2008,7,0,0,0,10,0,3,38.5,100,0,10.5,0
2009,0,0,0,0,0.7,0,24,17,55,23,29,2
2010,37,22,20,21.2,20,157,147,18,138,0,0,0
2011,0,0,0,0,0,53,0,40,12,10,0,7
2012,19,11,1,0,10,15.5,83,0,35,18,25,0
2013,,,,3,,,0.3,,207.7,0,,
2014,9.5,1.2,11.3,0,1.5,10.7,11.9,41.8,64.7,4.4,75,28.8
2015,4.4,24.1,78.5,75.7,67.4,25.5,0,42.4,64.3,20.1,0.9,0.3
2016,24.5,0.5,29.4,2.8,69.8,30.3,1.8,119.7,23.7,23.8,42.2,13.5
2017,0.4,0.2,44.5,11.5,3.3,0,12.1,6.7,55.6,15,0.9,64.9
2018,0.3,2.8,0,17.5,3,68,14.5,0,66.9,47.5,3.8,27
